"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","10","    18,000","11290"," 성북동","348-3","1971","성북","37.36","2"
"2","2021","4","2","    62,500","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","6"
"3","2021","4","2","    60,000","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","7"
"4","2021","4","2","    49,000","11290"," 돈암동","1","1991","돈암현대아파트","41.58","3"
"5","2021","4","2","   114,000","11290"," 돈암동","636","2004","이수브라운스톤돈암","114.89","18"
"6","2021","4","6","    88,900","11290"," 돈암동","609-1","1998","한신","84.87","12"
"7","2021","4","7","    80,000","11290"," 돈암동","15-1","1999","돈암동삼성","84.59","12"
"8","2021","4","9","    85,450","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","11"
"9","2021","4","9","    85,450","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","11"
"10","2021","4","10","    65,500","11290"," 돈암동","609-1","1998","한신","68.13","3"
"11","2021","4","10","    94,000","11290"," 돈암동","609-1","1998","한진(609-1)","132.96","1"
"12","2021","4","10","    50,000","11290"," 돈암동","630","1994","동소문현대","84.72","4"
"13","2021","4","12","    42,000","11290"," 돈암동","624","1981","구현대","51.47","1"
"14","2021","4","13","    59,000","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","1"
"15","2021","4","14","   109,000","11290"," 돈암동","609-1","1998","한신","132.96","14"
"16","2021","4","14","    70,500","11290"," 돈암동","609-1","1998","한신","68.13","11"
"17","2021","4","14","    70,500","11290"," 돈암동","609-1","1998","한신","68.13","15"
"18","2021","4","15","    60,000","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","8"
"19","2021","4","16","    81,000","11290"," 돈암동","609-1","1998","한진(609-1)","84.87","16"
"20","2021","4","17","    84,000","11290"," 돈암동","603","2006","돈암동더샵아파트","84.817","15"
"21","2021","4","19","    68,900","11290"," 돈암동","631","1998","범양","59.79","2"
"22","2021","4","19","    62,000","11290"," 돈암동","609-1","1998","한진(609-1)","59.58","16"
