"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","7","2","   227,000","11710"," 잠실동","44","2006","레이크팰리스","84.82","21"
"2","2021","7","2","   239,000","11710"," 잠실동","19","2008","잠실엘스","84.8","26"
"3","2021","7","3","   179,000","11710"," 잠실동","44","2006","레이크팰리스","59.97","4"
"4","2021","7","3","   282,800","11710"," 잠실동","27","1978","주공아파트 5단지","82.51","12"
"5","2021","7","7","   250,050","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","13"
"6","2021","7","7","   250,050","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","12"
"7","2021","7","8","   334,000","11710"," 잠실동","40","2005","갤러리아팰리스","176.034","41"
"8","2021","7","8","   190,000","11710"," 잠실동","19","2008","잠실엘스","59.96","21"
"9","2021","7","8","   248,000","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","14"
"10","2021","7","8","   286,500","11710"," 잠실동","86","1986","아시아선수촌아파트","99.385","1"
"11","2021","7","9","   195,000","11710"," 잠실동","19","2008","잠실엘스","59.96","8"
"12","2021","7","10","   240,000","11710"," 잠실동","22","2008","리센츠","84.99","22"
"13","2021","7","12","   285,800","11710"," 잠실동","27","1978","주공아파트 5단지","82.51","8"
"14","2021","7","12","   300,000","11710"," 잠실동","44","2006","레이크팰리스","135.82","9"
"15","2021","7","13","   223,000","11710"," 잠실동","44","2006","레이크팰리스","84.82","26"
"16","2021","7","14","   279,800","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","3"
"17","2021","7","17","   304,000","11710"," 잠실동","44","2006","레이크팰리스","135.82","30"
"18","2021","7","20","   170,000","11710"," 잠실동","250-5","2010","파크인-수","143.7984","15"
"19","2021","7","20","    96,000","11710"," 잠실동","331","1990","현대","84.68","13"
"20","2021","7","22","   284,000","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","9"
"21","2021","7","23","   190,000","11710"," 잠실동","19","2008","잠실엘스","59.96","19"
"22","2021","7","23","   244,000","11710"," 잠실동","40","2005","갤러리아팰리스","123.291","10"
"23","2021","7","23","   248,050","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","6"
"24","2021","7","24","   228,000","11710"," 잠실동","19","2008","잠실엘스","84.8","21"
"25","2021","7","24","   190,000","11710"," 잠실동","22","2008","리센츠","59.99","4"
"26","2021","7","24","   245,000","11710"," 잠실동","22","2008","리센츠","84.99","17"
"27","2021","7","24","   214,500","11710"," 잠실동","44","2006","레이크팰리스","84.82","17"
"28","2021","7","24","   250,800","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","10"
"29","2021","7","3","   197,000","11710"," 신천동","7-18","2005","롯데캐슬골드","148.15","14"
"30","2021","7","5","   179,000","11710"," 신천동","17","2008","파크리오","59.86","23"
"31","2021","7","6","   290,000","11710"," 신천동","11","1984","장미3","134.16","3"
"32","2021","7","6","   179,000","11710"," 신천동","17","2008","파크리오","59.95","6"
"33","2021","7","9","   210,000","11710"," 신천동","7-18","2005","롯데캐슬골드","148.15","21"
"34","2021","7","10","   180,000","11710"," 신천동","17","2008","파크리오","59.95","7"
"35","2021","7","12","   179,000","11710"," 신천동","17","2008","파크리오","59.86","18"
"36","2021","7","12","   242,000","11710"," 신천동","17","2008","파크리오","84.97","23"
"37","2021","7","12","   188,000","11710"," 신천동","11-8","2006","더샵스타리버","142.17","36"
"38","2021","7","14","   223,000","11710"," 신천동","17","2008","파크리오","84.79","32"
"39","2021","7","15","   277,000","11710"," 신천동","11","1979","장미2","120","12"
"40","2021","7","16","   287,500","11710"," 신천동","17","2008","파크리오","144.77","28"
"41","2021","7","16","   178,000","11710"," 신천동","17","2008","파크리오","59.95","1"
"42","2021","7","16","   230,500","11710"," 신천동","7-14","2008","더샵스타파크","186.46","28"
"43","2021","7","17","   113,000","11710"," 신천동","11-9","1988","한신코아","52.51","12"
"44","2021","7","17","   226,000","11710"," 신천동","11","1979","장미2","82.45","5"
"45","2021","7","19","   224,000","11710"," 신천동","17","2008","파크리오","84.9","17"
"46","2021","7","19","   196,000","11710"," 신천동","17","2008","파크리오","84.9","1"
"47","2021","7","20","   226,000","11710"," 신천동","17","2008","파크리오","84.79","33"
"48","2021","7","20","   224,000","11710"," 신천동","17","2008","파크리오","84.79","8"
"49","2021","7","21","   248,000","11710"," 신천동","11","1979","장미2","99","12"
"50","2021","7","21","   215,000","11710"," 신천동","17","2008","파크리오","84.9","15"
"51","2021","7","22","   293,000","11710"," 신천동","11","1984","장미3","134.16","1"
"52","2021","7","23","   271,000","11710"," 신천동","17","2008","파크리오","121.63","21"
"53","2021","7","23","   222,000","11710"," 신천동","17","2008","파크리오","84.79","25"
"54","2021","7","24","   266,000","11710"," 신천동","17","2008","파크리오","121.63","32"
"55","2021","7","26","   270,000","11710"," 신천동","7-18","2005","롯데캐슬골드","190.63","33"
"56","2021","7","27","   240,000","11710"," 신천동","7-18","2005","롯데캐슬골드","166.7","26"
"57","2021","7","30","   259,000","11710"," 신천동","7-18","2005","롯데캐슬골드","187.65","25"
"58","2021","7","31","   224,000","11710"," 신천동","7","1979","장미1","82.45","3"
"59","2021","7","31","   200,000","11710"," 신천동","7","1979","장미1","71.2","9"
"60","2021","7","1","    90,000","11710"," 풍납동","510","2000","신성노바빌아파트","59.78","18"
"61","2021","7","3","    79,500","11710"," 풍납동","260","1999","현대리버빌1지구","43.2","13"
"62","2021","7","3","   114,500","11710"," 풍납동","510","2000","신성노바빌아파트","84.96","2"
"63","2021","7","6","    72,700","11710"," 풍납동","513","2010","금강캐스빌","84.07","2"
"64","2021","7","7","    98,000","11710"," 풍납동","220-2","1993","신동아파밀리에","84.63","7"
"65","2021","7","9","   109,000","11710"," 풍납동","508","1995","한강극동","59.26","6"
"66","2021","7","12","   183,000","11710"," 풍납동","514","2019","잠실올림픽공원아이파크","75.99","3"
"67","2021","7","12","   129,000","11710"," 풍납동","508","1995","한강극동","84.76","2"
"68","2021","7","13","   104,800","11710"," 풍납동","391","1987","극동","59.975","1"
"69","2021","7","23","    83,500","11710"," 풍납동","163","1998","대아(제101상가동)","60","4"
"70","2021","7","23","    78,000","11710"," 풍납동","260","1999","현대리버빌1지구","43.2","7"
"71","2021","7","24","   133,000","11710"," 풍납동","401-1","1994","쌍용","84.85","3"
"72","2021","7","24","   137,000","11710"," 풍납동","506","1995","동아한가람1","84.38","6"
"73","2021","7","25","   116,000","11710"," 풍납동","391","1987","극동","59.975","4"
"74","2021","7","30","   156,000","11710"," 풍납동","508","1995","한강극동","114.76","3"
"75","2021","7","7","   163,000","11710"," 송파동","162","2001","송파삼성래미안아파트","79.7","17"
