"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","1","   230,000","11470"," 신정동","329","1987","목동신시가지14","129.33","12"
"2","2021","9","1","    56,800","11470"," 신정동","929-25","2004","이지라이프","84.68","6"
"3","2021","9","2","   205,000","11470"," 신정동","318-12","2004","목동삼성쉐르빌Ⅱ","164.98","10"
"4","2021","9","3","   157,000","11470"," 신정동","1325","2019","목동파크자이(101동~108동)","84.977","5"
"5","2021","9","4","    68,200","11470"," 신정동","733-31","1987","수정","47.16","1"
"6","2021","9","4","   189,000","11470"," 신정동","1309","2004","롯데캐슬","131.47","14"
"7","2021","9","4","   109,500","11470"," 신정동","337","2000","목동우성2","84.96","2"
"8","2021","9","4","   189,000","11470"," 신정동","1309","2004","롯데캐슬","131.47","14"
"9","2021","9","6","   138,000","11470"," 신정동","1300","2003","명지해드는터","84.98","1"
"10","2021","9","7","   142,500","11470"," 신정동","1279","1997","목동현대3차","84.77","4"
"11","2021","9","9","    81,700","11470"," 신정동","1324","2016","신정숲속마을","84.99","13"
"12","2021","9","10","   170,000","11470"," 신정동","1323","2016","목동힐스테이트","84.93","19"
"13","2021","9","10","    70,000","11470"," 신정동","1277","2000","신트리4","59.44","14"
"14","2021","9","10","   136,000","11470"," 신정동","311","1987","목동신시가지10","53.82","7"
"15","2021","9","13","   110,000","11470"," 신정동","1276","2000","신트리3","84.8","1"
"16","2021","9","14","    88,000","11470"," 신정동","1322","2011","이펜하우스2단지","84.51","2"
"17","2021","9","15","    96,000","11470"," 신정동","1317","2011","이펜하우스4단지","84.96","8"
"18","2021","9","15","   125,000","11470"," 신정동","1316","2011","이펜하우스3단지","114.98","4"
"19","2021","9","16","   154,000","11470"," 신정동","1325","2019","목동파크자이(101동~108동)","84.993","4"
"20","2021","9","16","   180,000","11470"," 신정동","1323","2016","목동힐스테이트","84.98","11"
"21","2021","9","17","   215,500","11470"," 신정동","329","1987","목동신시가지14","108.28","9"
"22","2021","9","17","    62,800","11470"," 신정동","1219-1","2004","신일해피트리","69.66","4"
"23","2021","9","17","   136,000","11470"," 신정동","337","2000","목동우성2","113.91","11"
"24","2021","9","17","   121,500","11470"," 신정동","1252","1995","현대","84.84","7"
"25","2021","9","17","   104,000","11470"," 신정동","1295","2001","목동2삼성래미안","59.92","1"
"26","2021","9","18","   175,000","11470"," 신정동","318-12","2004","목동삼성쉐르빌Ⅱ","125.89","14"
"27","2021","9","22","   140,000","11470"," 신정동","1310","2005","동일하이빌1단지","115.321","11"
"28","2021","9","23","   152,500","11470"," 신정동","325","1988","목동신시가지11","66.24","1"
"29","2021","9","23","    59,900","11470"," 신정동","1281","2001","푸른마을2","49.16","8"
"30","2021","9","24","    70,000","11470"," 신정동","1277","2000","신트리4","49.08","5"
"31","2021","9","24","    94,000","11470"," 신정동","888-8","2007","이연에버리치","84.79","7"
"32","2021","9","26","    70,500","11470"," 신정동","1198-3","2004","대성유니드2차","80.86","1"
"33","2021","9","27","    67,500","11470"," 신정동","1293","2000","학마을1단지","49.99","8"
"34","2021","9","27","   122,000","11470"," 신정동","337","2000","목동우성2","84.96","14"
"35","2021","9","28","    67,850","11470"," 신정동","1293","2000","학마을1단지","49.99","5"
"36","2021","9","28","   132,000","11470"," 신정동","1296","2002","아이파크","59.82","18"
"37","2021","9","29","    50,000","11470"," 신정동","1281","2001","푸른마을2","49.16","1"
"38","2021","9","30","   158,000","11470"," 신정동","311","1987","목동신시가지10","70.2","2"
"39","2021","9","1","   262,000","11470"," 목동","962-1","2009","트라팰리스이스턴에비뉴","146.1","15"
"40","2021","9","1","   162,000","11470"," 목동","903","1986","목동신시가지3","64.98","7"
"41","2021","9","3","    45,000","11470"," 목동","736-4","1996","목화","83.83","6"
"42","2021","9","3","    51,200","11470"," 목동","766-1","1995","삼성(766-1)","75.34","1"
"43","2021","9","4","    70,000","11470"," 목동","729-12","2004","목동휘버스I","84.79","6"
"44","2021","9","4","   159,000","11470"," 목동","935","1998","진도1","84.96","18"
"45","2021","9","4","   154,000","11470"," 목동","200","1992","우성","84.63","12"
"46","2021","9","4","   259,500","11470"," 목동","962","2009","트라팰리스웨스턴에비뉴","127.65","20"
"47","2021","9","6","   215,000","11470"," 목동","404-13","2015","목동센트럴푸르지오","118.8208","24"
"48","2021","9","6","   164,000","11470"," 목동","929","1997","목동청구한신아파트","84.76","10"
"49","2021","9","7","   145,000","11470"," 목동","901","1985","목동신시가지1","51.48","14"
"50","2021","9","7","   192,000","11470"," 목동","934","1997","금호1","114.78","5"
"51","2021","9","9","   114,000","11470"," 목동","935","1998","진도1","59.84","13"
"52","2021","9","9","   155,000","11470"," 목동","905-22","2000","목동트윈빌","108.06","15"
"53","2021","9","11","   139,000","11470"," 목동","936","1999","진도2","59.46","10"
