"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","5","   127,000","11560"," 영등포동","647","2002","영등포푸르지오","84.908","9"
"2","2021","6","8","   130,500","11560"," 영등포동","647","2002","영등포푸르지오","84.908","7"
"3","2021","6","19","   117,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","2"
"4","2021","6","30","   126,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","5"
"5","2021","6","1","    11,450","11560"," 영등포동1가","145","2012","내이처해밀","15.076","3"
"6","2021","6","2","    10,500","11560"," 영등포동1가","144","2011","헤렌어반","14.512","2"
"7","2021","6","2","    10,500","11560"," 영등포동1가","144","2011","헤렌어반","13.216","5"
"8","2021","6","7","    41,000","11560"," 영등포동1가","94-2","2020","여의도더리브스타일","30.2696","5"
"9","2021","6","9","    12,100","11560"," 영등포동1가","145","2012","내이처해밀","14.89","10"
"10","2021","6","9","    11,500","11560"," 영등포동1가","145","2012","내이처해밀","14.89","13"
"11","2021","6","28","    12,500","11560"," 영등포동1가","145","2012","내이처해밀","14.24","8"
"12","2021","6","11","    14,500","11560"," 영등포동2가","28-117","2013","이지리움S","13.35","10"
"13","2021","6","10","    11,700","11560"," 영등포동3가","19-2","2014","포레스트힐시티","13.53","5"
"14","2021","6","14","    12,500","11560"," 영등포동3가","19-2","2014","포레스트힐시티","13.53","8"
"15","2021","6","2","   126,000","11560"," 영등포동7가","208","2020","포레나영등포센트럴","84.8025","16"
"16","2021","6","5","   115,000","11560"," 영등포동7가","46-1","1998","경남아너스빌","84.93","18"
"17","2021","6","16","    13,200","11560"," 영등포동7가","94-51","2012","훼미리하우스117","16.98","4"
"18","2021","6","17","   161,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.65","14"
"19","2021","6","19","   152,500","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.65","7"
"20","2021","6","24","    48,000","11560"," 영등포동7가","208","2020","포레나영등포센트럴","29.8886","16"
"21","2021","6","13","    15,000","11560"," 영등포동8가","51-1","2012","영등포메이준2011","12.11","11"
"22","2021","6","7","   176,000","11560"," 여의도동","36","2005","롯데캐슬엠파이어","126.75","6"
"23","2021","6","9","   196,000","11560"," 여의도동","42","1975","한양","105.72","4"
"24","2021","6","28","   188,000","11560"," 여의도동","36","2005","롯데캐슬엠파이어","163.86","11"
"25","2021","6","28","   195,000","11560"," 여의도동","43-4","2005","롯데캐슬아이비","137.09","3"
"26","2021","6","29","   247,000","11560"," 여의도동","50","1971","시범","118.12","12"
"27","2021","6","14","    39,800","11560"," 당산동2가","16-1","1999","당산대우","31.73","14"
"28","2021","6","17","    41,000","11560"," 당산동2가","16-1","1999","당산대우","32.62","22"
"29","2021","6","17","    40,250","11560"," 당산동2가","16-1","1999","당산대우","31.73","7"
"30","2021","6","30","    39,800","11560"," 당산동2가","16-1","1999","당산대우","31.73","21"
"31","2021","6","16","    87,500","11560"," 당산동3가","565","2014","당산계룡리슈빌3단지","49.993","16"
"32","2021","6","3","   156,000","11560"," 당산동4가","30-1","2000","당산현대5차","114.84","20"
"33","2021","6","4","   128,000","11560"," 당산동4가","91","1983","유원제일","84.78","4"
"34","2021","6","4","    87,800","11560"," 당산동4가","29","1999","한강아파트","59.4","17"
"35","2021","6","8","   129,000","11560"," 당산동4가","91","1983","유원제일","84.78","5"
"36","2021","6","10","   158,400","11560"," 당산동4가","96","2010","당산반도유보라팰리스","124.62","7"
"37","2021","6","11","   160,000","11560"," 당산동4가","30-1","2000","당산현대5차","114.84","22"
"38","2021","6","12","   123,000","11560"," 당산동4가","30-1","2000","당산현대5차","59.75","16"
"39","2021","6","15","   143,000","11560"," 당산동4가","96","2010","당산반도유보라팰리스","84.99","16"
"40","2021","6","19","   135,500","11560"," 당산동4가","30-1","2000","당산현대5차","84.69","3"
"41","2021","6","19","   155,700","11560"," 당산동4가","99","2017","당산롯데캐슬프레스티지","84.98","19"
"42","2021","6","26","   146,000","11560"," 당산동4가","30-1","2000","당산현대5차","84.69","24"
"43","2021","6","26","   126,600","11560"," 당산동4가","95","2002","당산금호어울림","84.25","9"
"44","2021","6","8","   184,000","11560"," 당산동5가","42","2003","당산삼성래미안4차","161.08","8"
"45","2021","6","17","   159,000","11560"," 당산동5가","13","2001","당산효성타운2차","84.38","16"
"46","2021","6","25","   184,000","11560"," 당산동5가","42","2003","당산삼성래미안4차","161.08","2"
"47","2021","6","25","    37,800","11560"," 당산동5가","11-33","2005","당산디오빌","29.23","7"
"48","2021","6","26","   158,000","11560"," 당산동5가","43","2020","당산센트럴아이파크","71.98","22"
"49","2021","6","27","   172,500","11560"," 당산동5가","43","2020","당산센트럴아이파크","84.98","14"
"50","2021","6","30","    34,000","11560"," 당산동5가","11-33","2005","당산디오빌","29.23","4"
"51","2021","6","2","    15,950","11560"," 당산동","121-200","2012","휴브리지빌딩","18.37","9"
"52","2021","6","3","    16,000","11560"," 당산동","121-130","2015","리버뷰","15.05","12"
"53","2021","6","17","   149,500","11560"," 당산동","376","2002","강변래미안","108.15","7"
"54","2021","6","17","    15,300","11560"," 당산동","121-130","2015","리버뷰","15.05","12"
"55","2021","6","17","    15,300","11560"," 당산동","121-130","2015","리버뷰","15.05","10"
"56","2021","6","26","    88,000","11560"," 당산동","121-41","2003","강변한솔그라치아","94.66","5"
"57","2021","6","8","    84,800","11560"," 도림동","165-1","2000","동아에코빌","59.93","21"
"58","2021","6","26","    43,500","11560"," 도림동","221-1","1997","도림청구","37.81","2"
"59","2021","6","6","    85,500","11560"," 문래동2가","35","1983","남성","58.52","7"
"60","2021","6","26","    85,500","11560"," 문래동2가","35","1983","남성","58.52","3"
"61","2021","6","3","   173,000","11560"," 문래동3가","54","2001","문래자이","121.53","23"
"62","2021","6","8","   110,000","11560"," 문래동3가","97","2006","문래금호어울림","84.99","4"
"63","2021","6","10","   164,500","11560"," 문래동3가","94","2003","문래힐스테이트","137.82","9"
"64","2021","6","12","   150,500","11560"," 문래동3가","94","2003","문래힐스테이트","119.47","9"
"65","2021","6","17","   149,000","11560"," 문래동3가","94","2003","문래힐스테이트","84.92","13"
"66","2021","6","22","    89,000","11560"," 문래동3가","77-2","1988","문래공원한신","58.96","4"
"67","2021","6","24","   120,000","11560"," 문래동3가","94","2003","문래힐스테이트","137.82","8"
"68","2021","6","12","    78,000","11560"," 문래동5가","14","1988","문래두산위브","65.46","12"
"69","2021","6","13","   126,000","11560"," 문래동5가","67","2017","문래모아미래도","84.81","7"
"70","2021","6","18","    90,000","11560"," 문래동5가","1","2000","문래대림","84.92","12"
"71","2021","6","22","    75,000","11560"," 문래동5가","14","1988","문래두산위브","65.46","1"
"72","2021","6","23","    90,000","11560"," 문래동5가","14","1988","문래두산위브","79.86","13"
"73","2021","6","26","    79,500","11560"," 문래동5가","14","1988","문래두산위브","65.46","1"
"74","2021","6","5","    91,500","11560"," 문래동6가","46","1986","현대1차","79.52","13"
"75","2021","6","9","    57,500","11560"," 문래동6가","56-1","1998","미주프라자","59.94","10"
"76","2021","6","17","    76,500","11560"," 문래동6가","45","1987","현대2차","59.31","3"
"77","2021","6","6","   110,000","11560"," 양평동1가","271","2021","영등포중흥에스클래스","59.97","8"
"78","2021","6","1","    85,800","11560"," 양평동2가","23","1990","양평벽산블루밍","71.04","9"
"79","2021","6","26","    64,000","11560"," 양평동2가","45","1999","상록수","59.67","2"
"80","2021","6","28","    73,000","11560"," 양평동2가","23","1990","양평벽산블루밍","51.24","11"
"81","2021","6","1","    77,500","11560"," 양평동3가","66","1998","삼호","59.96","8"
"82","2021","6","1","    95,000","11560"," 양평동3가","79-4","1990","현대2차","80.92","2"
"83","2021","6","5","    93,300","11560"," 양평동3가","101","2000","양평현대6차","59.98","7"
"84","2021","6","5","    93,500","11560"," 양평동3가","101","2000","양평현대6차","59.98","7"
"85","2021","6","8","    71,500","11560"," 양평동3가","104","2009","삼익플라주101동","59.92","8"
"86","2021","6","8","    98,000","11560"," 양평동3가","79-4","1990","현대2차","80.92","3"
"87","2021","6","14","   104,800","11560"," 양평동3가","101","2000","양평현대6차","84.94","4"
"88","2021","6","15","    97,500","11560"," 양평동3가","79-4","1990","현대2차","80.92","2"
"89","2021","6","17","    93,500","11560"," 양평동3가","101","2000","양평현대6차","59.98","3"
"90","2021","6","21","   120,000","11560"," 양평동3가","101","2000","양평현대6차","84.94","19"
"91","2021","6","25","   118,700","11560"," 양평동3가","101","2000","양평현대6차","84.94","10"
"92","2021","6","1","    81,000","11560"," 양평동4가","51-1","2000","경남아너스빌","59.84","10"
"93","2021","6","5","   102,000","11560"," 양평동4가","12","1993","성원","84.66","18"
"94","2021","6","11","    85,000","11560"," 양평동4가","94","2000","삼호한숲","59.9","7"
"95","2021","6","12","    96,000","11560"," 양평동4가","12","1993","성원","84.66","18"
"96","2021","6","17","    78,500","11560"," 양평동4가","51-1","2000","경남아너스빌","59.84","6"
"97","2021","6","29","   100,000","11560"," 양평동4가","12","1993","성원","84.66","16"
"98","2021","6","1","    88,000","11560"," 양평동5가","76","1996","양평한신","59.94","4"
"99","2021","6","1","   114,000","11560"," 양평동5가","76","1996","양평한신","84.87","9"
"100","2021","6","9","    92,600","11560"," 양평동5가","76","1996","양평한신","59.94","10"
"101","2021","6","16","    84,700","11560"," 양평동5가","9-1","1998","동보","59.4","10"
"102","2021","6","16","    92,800","11560"," 양평동5가","76","1996","양평한신","59.94","13"
"103","2021","6","26","    93,800","11560"," 양평동5가","76","1996","양평한신","59.94","13"
"104","2021","6","29","    92,000","11560"," 양평동5가","76","1996","양평한신","59.94","12"
"105","2021","6","18","    71,600","11560"," 양평동6가","95-4","2014","리츠뷰","58.08","10"
"106","2021","6","28","    91,000","11560"," 양평동6가","99","1999","한솔","84.13","15"
"107","2021","6","1","   161,000","11560"," 신길동","4955","2019","신길센트럴아이파크","84.99","14"
