"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","26","   120,000","11170"," 후암동","244-99","2002","화인","143.25","2"
"2","2021","6","14","   163,000","11170"," 원효로1가","41","2014","용산더프라임","84.976","12"
"3","2021","6","27","   173,000","11170"," 원효로1가","41","2014","용산더프라임","84.976","34"
"4","2021","6","30","   128,000","11170"," 원효로1가","17-66","2007","로얄카운티-3","130.93","6"
"5","2021","6","8","    98,500","11170"," 신창동","102","2005","세방리버하이빌","84.54","4"
"6","2021","6","12","   111,000","11170"," 신창동","102","2005","세방리버하이빌","84.54","3"
"7","2021","6","5","   140,000","11170"," 산천동","193","2001","리버힐삼성","84.98","14"
"8","2021","6","12","   149,000","11170"," 산천동","193","2001","리버힐삼성","114.48","8"
"9","2021","6","19","   140,000","11170"," 산천동","193","2001","리버힐삼성","84.98","4"
"10","2021","6","4","   124,000","11170"," 원효로4가","109-4","1971","풍전","100.46","4"
"11","2021","6","5","   115,000","11170"," 원효로4가","178","1999","강변삼성스위트","59.94","5"
"12","2021","6","8","   100,000","11170"," 원효로4가","109-4","1971","풍전","81.72","4"
"13","2021","6","9","   165,000","11170"," 원효로4가","118-16","1977","산호","78.06","12"
"14","2021","6","11","   157,000","11170"," 원효로4가","178","1999","강변삼성스위트","84.9","4"
"15","2021","6","19","    90,000","11170"," 원효로4가","109-4","1971","풍전","67.04","2"
"16","2021","6","25","   180,000","11170"," 원효로4가","118-16","1977","산호","86.12","7"
"17","2021","6","30","   124,500","11170"," 원효로4가","118-16","1977","산호","40.46","9"
"18","2021","6","5","   139,000","11170"," 효창동","286","2018","용산케이씨씨스위첸","59.98","15"
"19","2021","6","5","    68,000","11170"," 효창동","5-158","2002","효창아트빌2차","72.1","7"
"20","2021","6","11","    53,000","11170"," 효창동","5-495","1969","효창맨션","66.12","4"
"21","2021","6","16","   180,000","11170"," 효창동","287","2019","용산롯데캐슬센터포레","84.9204","10"
"22","2021","6","19","    74,500","11170"," 효창동","5-262","2004","예빌리지","84.83","3"
"23","2021","6","19","   140,000","11170"," 효창동","286","2018","용산케이씨씨스위첸","59.97","3"
"24","2021","6","21","   164,000","11170"," 효창동","286","2018","용산케이씨씨스위첸","84.92","18"
