"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","4","    78,000","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","59.895","9"
"2","2021","3","4","    64,000","11380"," 수색동","416-1","2003","진흥엣세벨","57.5033","2"
"3","2021","3","6","    90,000","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","84.951","13"
"4","2021","3","9","   107,000","11380"," 수색동","75","2009","DMC자이1단지","134.91","3"
"5","2021","3","16","   102,500","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","114.18","13"
"6","2021","3","1","    60,000","11380"," 녹번동","280-1","2002","녹번JR아파트","59.866","1"
"7","2021","3","2","   127,000","11380"," 녹번동","281","2015","북한산푸르지오","84.99","11"
"8","2021","3","5","   137,700","11380"," 녹번동","282","2019","힐스테이트녹번","84.9","12"
"9","2021","3","5","   100,000","11380"," 녹번동","282","2019","힐스테이트녹번","59.938","2"
"10","2021","3","9","    65,000","11380"," 녹번동","279-1","2001","해주드림빌","78.8","3"
"11","2021","3","13","   109,700","11380"," 녹번동","282","2019","힐스테이트녹번","59.9","7"
"12","2021","3","16","    47,000","11380"," 녹번동","141-8","2009","동호스카이","56.77","8"
"13","2021","3","16","   112,000","11380"," 녹번동","282","2019","힐스테이트녹번","59.938","14"
"14","2021","3","27","   109,800","11380"," 녹번동","283","2019","래미안베라힐즈","59.99","17"
"15","2021","3","27","    65,500","11380"," 녹번동","280-1","2002","녹번JR아파트","59.866","9"
"16","2021","3","1","    81,500","11380"," 불광동","633","2004","북한산현대홈타운","59.9765","8"
"17","2021","3","2","    24,000","11380"," 불광동","484-56","2015","정익제이원(4차)","24.2","10"
"18","2021","3","3","    84,000","11380"," 불광동","637","2010","북한산래미안아파트(2단지)","59.9932","15"
"19","2021","3","5","    85,000","11380"," 불광동","633","2004","북한산현대홈타운","59.9765","10"
"20","2021","3","5","    53,000","11380"," 불광동","346-3","2002","금상아파트","84.95","4"
"21","2021","3","6","    65,300","11380"," 불광동","71-16","2004","북한산대창센시티","59.85","2"
"22","2021","3","6","    83,800","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","84.369","2"
"23","2021","3","7","   119,000","11380"," 불광동","645","2018","불광롯데캐슬","84.98","17"
"24","2021","3","8","    41,000","11380"," 불광동","8-51","2003","월드그린","83.43","5"
"25","2021","3","10","    82,500","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","59.817","2"
"26","2021","3","10","    99,000","11380"," 불광동","638","2010","북한산래미안아파트(1단지)","84.9885","12"
"27","2021","3","13","    45,000","11380"," 불광동","241-23","1995","신우아파트","59.97","7"
"28","2021","3","13","    70,500","11380"," 불광동","636","2006","북한산한양수자인아파트","84.97","13"
"29","2021","3","14","    88,000","11380"," 불광동","248","1988","라이프미성","84.65","14"
"30","2021","3","16","   110,000","11380"," 불광동","645","2018","불광롯데캐슬","84.99","16"
"31","2021","3","16","   112,000","11380"," 불광동","645","2018","불광롯데캐슬","84.99","5"
"32","2021","3","17","   117,000","11380"," 불광동","643","2011","북한산힐스테이트7차","84.947","7"
"33","2021","3","18","    94,500","11380"," 불광동","633","2004","북한산현대홈타운","84.9956","9"
"34","2021","3","19","    80,000","11380"," 불광동","633","2004","북한산현대홈타운","59.9765","5"
"35","2021","3","25","    26,000","11380"," 불광동","484-56","2015","정익제이원(4차)","27.92","14"
"36","2021","3","27","    92,500","11380"," 불광동","248","1988","라이프미성","84.65","7"
"37","2021","3","4","    53,000","11380"," 갈현동","468-5","2017","베로니스","52.1","9"
"38","2021","3","10","    73,000","11380"," 갈현동","542-1","2000","현재트윈빌","170.1","1"
"39","2021","3","13","    71,600","11380"," 갈현동","538","1997","미미","84.9","6"
