"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","16","    80,000","11110"," 신교동","6-13","2002","신현(101동)","84.82","1"
"2","2021","8","5","   209,000","11110"," 사직동","9-1","2008","광화문스페이스본(106동)","163.33","13"
"3","2021","8","10","   160,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","158.99","4"
"4","2021","8","21","   165,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","136.4","8"
"5","2021","8","4","    96,000","11110"," 견지동","110","2008","대성스카이렉스","116.03","5"
"6","2021","8","14","    32,000","11110"," 익선동","55","2003","현대뜨레비앙","48.54","7"
"7","2021","8","2","    19,700","11110"," 연건동","195-10","2014","이화에수풀","16.98","4"
"8","2021","8","29","    20,000","11110"," 연건동","195-10","2014","이화에수풀","16.98","12"
"9","2021","8","2","   120,000","11110"," 명륜2가","4","1995","아남1","84.9","7"
"10","2021","8","10","    84,500","11110"," 창신동","23-76","2006","브라운스톤창신","84.67","12"
"11","2021","8","12","    67,700","11110"," 창신동","703","1993","창신쌍용2","54.7","3"
"12","2021","8","27","    69,700","11110"," 창신동","703","1993","창신쌍용2","54.7","9"
"13","2021","8","3","   127,500","11110"," 숭인동","76","2004","롯데캐슬천지인","111.73","17"
"14","2021","8","6","    13,000","11110"," 숭인동","202-3","2013","종로중흥S클래스","17.811","5"
"15","2021","8","6","    11,600","11110"," 숭인동","296-19","2012","삼전솔하임2차","15","7"
"16","2021","8","7","    12,500","11110"," 숭인동","202-3","2013","종로중흥S클래스","17.811","6"
"17","2021","8","16","    12,650","11110"," 숭인동","202-3","2013","종로중흥S클래스","17.811","7"
"18","2021","8","17","   112,000","11110"," 숭인동","76","2004","롯데캐슬천지인","84.95","26"
"19","2021","8","2","   197,000","11110"," 평동","233","2017","경희궁자이(3단지)","84.614","5"
"20","2021","8","5","   199,500","11110"," 평동","233","2017","경희궁자이(3단지)","84.836","14"
"21","2021","8","20","   205,000","11110"," 평동","233","2017","경희궁자이(3단지)","84.8359","8"
"22","2021","8","25","   234,500","11110"," 홍파동","199","2017","경희궁자이(2단지)","101.991","4"
"23","2021","8","27","   195,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","84.907","12"
"24","2021","8","28","   250,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","116.986","8"
"25","2021","8","30","   245,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","116.938","2"
"26","2021","8","28","    83,500","11110"," 교북동","101","1995","동아","59.98","8"
"27","2021","8","13","    20,000","11110"," 행촌동","41-1","1971","대성아파트","30.28","6"
"28","2021","8","21","    64,000","11110"," 평창동","596","1998","삼성","59.97","2"
"29","2021","8","24","    33,000","11110"," 평창동","595","1997","갑을아파트","64.88","11"
"30","2021","8","6","    49,000","11110"," 부암동","265-10","2002","프라임캐슬(케이빌라트)","88.89","1"
"31","2021","8","6","   169,500","11110"," 무악동","60","2008","인왕산아이파크","114.931","16"
"32","2021","8","14","   126,500","11110"," 무악동","60","2008","인왕산아이파크","84.858","3"
"33","2021","8","19","   128,960","11110"," 무악동","82","2000","현대","84.92","4"
"34","2021","8","21","   133,000","11110"," 무악동","60","2008","인왕산아이파크","84.858","14"
"35","2021","8","22","   164,500","11110"," 무악동","60","2008","인왕산아이파크","114.931","9"
"36","2021","8","28","   137,900","11110"," 무악동","82","2000","현대","84.92","6"
"37","2021","8","29","   137,500","11110"," 무악동","60","2008","인왕산아이파크","114.931","2"
