"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","1","    76,600","11260"," 면목동","1531","2007","마젤란21","78.941","11"
"2","2021","5","1","    69,000","11260"," 면목동","1527","2004","신성미소지움","80.1913","6"
"3","2021","5","1","    32,700","11260"," 면목동","1-41","1995","라이프미성","55.4","5"
"4","2021","5","1","    49,500","11260"," 면목동","136-2","2005","그린캐슬APT","88.39","6"
"5","2021","5","1","    69,500","11260"," 면목동","1513","2000","면목삼호101","83.08","7"
"6","2021","5","3","    69,500","11260"," 면목동","1500","1993","두산1","84.87","12"
"7","2021","5","3","     8,700","11260"," 면목동","538","2013","신영","14.43","6"
"8","2021","5","3","    64,700","11260"," 면목동","715","2002","늘푸른동아","59.65","11"
"9","2021","5","4","   102,800","11260"," 면목동","1537","2015","용마산하늘채","84.6147","5"
"10","2021","5","4","    84,800","11260"," 면목동","1505","2004","리치카운티","84.741","5"
"11","2021","5","4","   123,000","11260"," 면목동","1545","2020","사가정센트럴아이파크","84.956","10"
"12","2021","5","5","    39,000","11260"," 면목동","1517","2001","진로","84.36","5"
"13","2021","5","5","    64,700","11260"," 면목동","1515","1997","성원상떼빌","59.91","18"
"14","2021","5","5","    81,000","11260"," 면목동","1502","1994","현대","84.99","16"
"15","2021","5","5","    58,700","11260"," 면목동","1077-1","1990","용마한신","59.22","2"
"16","2021","5","7","    65,000","11260"," 면목동","1500","1993","두산1","59.76","9"
"17","2021","5","7","    74,000","11260"," 면목동","1529","2006","경남아너스빌","59.858","12"
"18","2021","5","8","    25,250","11260"," 면목동","193-1","1988","면목한신","27","3"
"19","2021","5","8","    37,800","11260"," 면목동","193-1","1988","면목한신","35.3","4"
"20","2021","5","11","    80,000","11260"," 면목동","1511","1995","두산3","84.77","9"
"21","2021","5","13","    44,000","11260"," 면목동","193-1","1987","면목한신","45.44","2"
"22","2021","5","15","    94,000","11260"," 면목동","1548","2020","쌍용더플래티넘용마산","59.9676","7"
"23","2021","5","16","    38,700","11260"," 면목동","1077-1","1990","용마한신","35.44","6"
"24","2021","5","18","    54,500","11260"," 면목동","193-1","1988","면목한신","44.5","6"
"25","2021","5","18","    89,900","11260"," 면목동","1548","2020","쌍용더플래티넘용마산","59.9676","8"
"26","2021","5","18","    79,000","11260"," 면목동","1528","2005","면목동금호어울림아파트","84.0827","4"
"27","2021","5","19","    59,000","11260"," 면목동","668-1","2005","SM해그린","81","6"
"28","2021","5","19","    59,700","11260"," 면목동","472-8","2009","아람플러스","84.955","7"
"29","2021","5","21","    36,500","11260"," 면목동","193-1","1988","면목한신","35.3","13"
"30","2021","5","22","    76,500","11260"," 면목동","1529","2006","경남아너스빌","59.858","10"
"31","2021","5","22","    77,000","11260"," 면목동","1502","1994","현대","84.81","10"
"32","2021","5","22","    78,500","11260"," 면목동","1502","1994","현대","84.81","17"
"33","2021","5","22","    72,500","11260"," 면목동","1516","1997","면목삼익아파트","84.99","9"
"34","2021","5","24","    37,500","11260"," 면목동","136-2","2005","그린캐슬APT","84.68","1"
"35","2021","5","26","    77,000","11260"," 면목동","1502","1994","현대","84.81","16"
"36","2021","5","28","    53,500","11260"," 면목동","193-1","1988","면목한신","44.5","13"
"37","2021","5","28","    31,000","11260"," 면목동","1543","2019","한양수자인사가정파크","23.1074","1"
"38","2021","5","30","    36,500","11260"," 면목동","193-1","1988","면목한신","35.3","7"
"39","2021","5","2","    12,000","11260"," 상봉동","113-1","2014","포시티","14.855","17"
"40","2021","5","4","    65,000","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","2"
"41","2021","5","4","   220,000","11260"," 상봉동","501","2016","상봉듀오트리스","257.26","41"
"42","2021","5","4","    92,500","11260"," 상봉동","499","2006","건영캐스빌","84.6475","16"
"43","2021","5","7","    84,000","11260"," 상봉동","499","2006","건영캐스빌","84.6475","5"
"44","2021","5","7","    93,000","11260"," 상봉동","499","2006","건영캐스빌","84.6475","12"
"45","2021","5","8","    66,800","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","6"
"46","2021","5","8","    44,000","11260"," 상봉동","210-2","2005","해동훼미리","84.72","4"
"47","2021","5","10","    44,500","11260"," 상봉동","210-2","2005","해동훼미리","84.38","4"
"48","2021","5","10","    23,000","11260"," 상봉동","101-19","2019","상봉베스트원","28.28","10"
"49","2021","5","11","    87,500","11260"," 상봉동","499","2006","건영캐스빌","84.6475","6"
"50","2021","5","11","    87,000","11260"," 상봉동","63","1996","건영2차아파트","84.96","10"
"51","2021","5","14","    89,500","11260"," 상봉동","499","2006","건영캐스빌","84.6475","3"
"52","2021","5","15","    86,000","11260"," 상봉동","499","2006","건영캐스빌","84.6475","3"
"53","2021","5","17","    10,000","11260"," 상봉동","115-61","2015","주함해븐타워","14.4","17"
"54","2021","5","19","    95,000","11260"," 상봉동","81-5","2003","한일써너스빌","84.55","25"
"55","2021","5","19","    64,300","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","6"
"56","2021","5","20","    15,000","11260"," 상봉동","101-19","2019","상봉베스트원","12.95","9"
"57","2021","5","21","    11,800","11260"," 상봉동","113-1","2014","포시티","14.855","11"
"58","2021","5","24","    84,500","11260"," 상봉동","496","2002","우정아파트","81.783","11"
"59","2021","5","25","    94,000","11260"," 상봉동","81-5","2003","한일써너스빌","84.848","18"
"60","2021","5","27","    61,700","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","4"
"61","2021","5","27","    61,700","11260"," 상봉동","484","1996","엘지,쌍용아파트","68.12","4"
"62","2021","5","29","    92,700","11260"," 상봉동","497","2003","태영데시앙1","84.9353","22"
