week,actor_kor
2/26/2012,22
3/4/2012,26
3/11/2012,19
3/18/2012,29
3/25/2012,32
4/1/2012,23
4/8/2012,27
4/15/2012,23
4/22/2012,27
4/29/2012,29
5/6/2012,28
5/13/2012,21
5/20/2012,25
5/27/2012,25
6/3/2012,29
6/10/2012,34
6/17/2012,30
6/24/2012,27
7/1/2012,28
7/8/2012,29
7/15/2012,28
7/22/2012,30
7/29/2012,31
8/5/2012,28
8/12/2012,33
8/19/2012,38
8/26/2012,30
9/2/2012,28
9/9/2012,26
9/16/2012,25
9/23/2012,42
9/30/2012,36
10/7/2012,31
10/14/2012,30
10/21/2012,31
10/28/2012,28
11/4/2012,36
11/11/2012,26
11/18/2012,27
11/25/2012,27
12/2/2012,30
12/9/2012,30
12/16/2012,32
12/23/2012,41
12/30/2012,34
1/6/2013,34
1/13/2013,48
1/20/2013,35
1/27/2013,34
2/3/2013,34
2/10/2013,34
2/17/2013,42
2/24/2013,46
3/3/2013,37
3/10/2013,38
3/17/2013,35
3/24/2013,31
3/31/2013,42
4/7/2013,35
4/14/2013,33
4/21/2013,38
4/28/2013,37
5/5/2013,34
5/12/2013,38
5/19/2013,41
5/26/2013,39
6/2/2013,41
6/9/2013,56
6/16/2013,39
6/23/2013,38
6/30/2013,44
7/7/2013,54
7/14/2013,63
7/21/2013,46
7/28/2013,100
8/4/2013,81
8/11/2013,73
8/18/2013,46
8/25/2013,47
9/1/2013,39
9/8/2013,39
9/15/2013,41
9/22/2013,60
9/29/2013,49
10/6/2013,43
10/13/2013,67
10/20/2013,51
10/27/2013,33
11/3/2013,60
11/10/2013,35
11/17/2013,42
11/24/2013,52
12/1/2013,39
12/8/2013,45
12/15/2013,57
12/22/2013,35
12/29/2013,46
1/5/2014,49
1/12/2014,47
1/19/2014,49
1/26/2014,52
2/2/2014,40
2/9/2014,37
2/16/2014,37
2/23/2014,42
3/2/2014,39
3/9/2014,44
3/16/2014,36
3/23/2014,31
3/30/2014,37
4/6/2014,30
4/13/2014,28
4/20/2014,30
4/27/2014,39
5/4/2014,38
5/11/2014,33
5/18/2014,35
5/25/2014,30
6/1/2014,38
6/8/2014,33
6/15/2014,34
6/22/2014,38
6/29/2014,37
7/6/2014,39
7/13/2014,30
7/20/2014,35
7/27/2014,31
8/3/2014,35
8/10/2014,35
8/17/2014,45
8/24/2014,34
8/31/2014,53
9/7/2014,42
9/14/2014,35
9/21/2014,37
9/28/2014,33
10/5/2014,39
10/12/2014,33
10/19/2014,34
10/26/2014,37
11/2/2014,31
11/9/2014,39
11/16/2014,39
11/23/2014,39
11/30/2014,35
12/7/2014,37
12/14/2014,40
12/21/2014,42
12/28/2014,44
1/4/2015,36
1/11/2015,39
1/18/2015,34
1/25/2015,41
2/1/2015,39
2/8/2015,38
2/15/2015,49
2/22/2015,42
3/1/2015,37
3/8/2015,40
3/15/2015,40
3/22/2015,43
3/29/2015,38
4/5/2015,34
4/12/2015,35
4/19/2015,39
4/26/2015,40
5/3/2015,38
5/10/2015,38
5/17/2015,38
5/24/2015,41
5/31/2015,38
6/7/2015,36
6/14/2015,42
6/21/2015,45
6/28/2015,43
7/5/2015,44
7/12/2015,41
7/19/2015,41
7/26/2015,43
8/2/2015,40
8/9/2015,37
8/16/2015,40
8/23/2015,43
8/30/2015,42
9/6/2015,43
9/13/2015,37
9/20/2015,38
9/27/2015,45
10/4/2015,37
10/11/2015,42
10/18/2015,40
10/25/2015,41
11/1/2015,36
11/8/2015,37
11/15/2015,47
11/22/2015,40
11/29/2015,39
12/6/2015,40
12/13/2015,39
12/20/2015,41
12/27/2015,43
1/3/2016,43
1/10/2016,43
1/17/2016,41
1/24/2016,41
1/31/2016,43
2/7/2016,46
2/14/2016,40
2/21/2016,40
2/28/2016,39
3/6/2016,37
3/13/2016,38
3/20/2016,38
3/27/2016,38
4/3/2016,36
4/10/2016,40
4/17/2016,33
4/24/2016,33
5/1/2016,42
5/8/2016,38
5/15/2016,37
5/22/2016,37
5/29/2016,34
6/5/2016,36
6/12/2016,36
6/19/2016,54
6/26/2016,46
7/3/2016,39
7/10/2016,40
7/17/2016,33
7/24/2016,42
7/31/2016,40
8/7/2016,36
8/14/2016,38
8/21/2016,38
8/28/2016,42
9/4/2016,41
9/11/2016,46
9/18/2016,41
9/25/2016,36
10/2/2016,40
10/9/2016,37
10/16/2016,46
10/23/2016,43
10/30/2016,37
11/6/2016,35
11/13/2016,41
11/20/2016,39
11/27/2016,45
12/4/2016,39
12/11/2016,44
12/18/2016,37
12/25/2016,39
1/1/2017,40
1/8/2017,40
1/15/2017,38
1/22/2017,41
1/29/2017,42
2/5/2017,38
2/12/2017,39
