date,won_per_dollar
2000/01/04,1134.50
2000/01/05,1125.80
2000/01/06,1130.10
2000/01/07,1139.10
2000/01/08,1145.90
2000/01/10,1145.90
2000/01/11,1135.30
2000/01/12,1137.30
2000/01/13,1147.00
2000/01/14,1138.50
2000/01/15,1127.10
2000/01/17,1127.10
2000/01/18,1122.10
2000/01/19,1124.40
2000/01/20,1128.90
2000/01/21,1132.20
2000/01/22,1127.60
2000/01/24,1127.60
2000/01/25,1126.20
2000/01/26,1125.90
2000/01/27,1126.80
2000/01/28,1126.10
2000/01/29,1122.10
2000/01/31,1122.10
2000/02/01,1125.40
2000/02/02,1125.00
2000/02/03,1131.00
2000/02/07,1129.00
2000/02/08,1129.00
2000/02/09,1130.10
2000/02/10,1125.50
2000/02/11,1121.10
2000/02/12,1116.80
2000/02/14,1116.80
2000/02/15,1119.70
2000/02/16,1127.40
2000/02/17,1125.30
2000/02/18,1127.80
2000/02/19,1130.20
2000/02/21,1130.20
2000/02/22,1131.00
2000/02/23,1134.40
2000/02/24,1133.70
2000/02/25,1139.10
2000/02/26,1141.00
2000/02/28,1141.00
2000/02/29,1131.80
2000/03/02,1132.40
2000/03/03,1122.70
2000/03/04,1120.90
2000/03/06,1120.90
2000/03/07,1120.10
2000/03/08,1117.40
2000/03/09,1120.10
2000/03/10,1120.30
2000/03/11,1119.60
2000/03/13,1119.60
2000/03/14,1120.80
2000/03/15,1120.10
2000/03/16,1118.00
2000/03/17,1117.60
2000/03/18,1117.80
2000/03/20,1117.80
2000/03/21,1118.00
2000/03/22,1117.80
2000/03/23,1114.60
2000/03/24,1112.00
2000/03/25,1108.70
2000/03/27,1108.70
2000/03/28,1110.20
2000/03/29,1111.20
2000/03/30,1111.40
2000/03/31,1108.30
2000/04/01,1106.40
2000/04/03,1106.40
2000/04/04,1111.20
2000/04/06,1113.20
2000/04/07,1113.10
2000/04/08,1109.60
2000/04/10,1109.60
2000/04/11,1107.80
2000/04/12,1109.40
2000/04/14,1109.40
2000/04/15,1109.90
2000/04/17,1109.90
2000/04/18,1114.80
2000/04/19,1110.50
2000/04/20,1109.10
2000/04/21,1109.70
2000/04/22,1109.10
2000/04/24,1109.10
2000/04/25,1108.40
2000/04/26,1108.70
2000/04/27,1108.50
2000/04/28,1110.40
2000/04/29,1110.30
2000/05/02,1110.30
2000/05/03,1110.30
2000/05/04,1109.60
2000/05/06,1111.00
2000/05/08,1111.00
2000/05/09,1109.80
2000/05/10,1109.60
2000/05/12,1109.40
2000/05/13,1111.90
2000/05/15,1111.90
2000/05/16,1114.10
2000/05/17,1115.40
2000/05/18,1115.00
2000/05/19,1116.90
2000/05/20,1123.00
2000/05/22,1123.00
2000/05/23,1125.70
2000/05/24,1132.80
2000/05/25,1137.20
2000/05/26,1129.60
2000/05/27,1135.20
2000/05/29,1135.20
2000/05/30,1138.50
2000/05/31,1133.80
2000/06/01,1130.00
2000/06/02,1131.90
2000/06/03,1125.80
2000/06/05,1125.80
2000/06/07,1119.50
2000/06/08,1114.40
2000/06/09,1114.50
2000/06/10,1115.60
2000/06/12,1115.60
2000/06/13,1113.40
2000/06/14,1114.50
2000/06/15,1115.20
2000/06/16,1114.60
2000/06/17,1116.50
2000/06/19,1116.50
2000/06/20,1119.00
2000/06/21,1119.80
2000/06/22,1119.10
2000/06/23,1118.80
2000/06/24,1119.70
2000/06/26,1119.70
2000/06/27,1118.70
2000/06/28,1117.90
2000/06/29,1117.00
2000/06/30,1114.80
2000/07/01,1115.40
2000/07/03,1115.40
2000/07/04,1113.20
2000/07/05,1114.60
2000/07/06,1116.40
2000/07/07,1118.90
2000/07/08,1117.00
2000/07/10,1117.00
2000/07/11,1118.70
2000/07/12,1116.30
2000/07/13,1115.40
2000/07/14,1114.00
2000/07/15,1112.40
2000/07/18,1112.40
2000/07/19,1113.50
2000/07/20,1113.30
2000/07/21,1112.10
2000/07/22,1112.30
2000/07/24,1112.30
2000/07/25,1113.40
2000/07/26,1114.90
2000/07/27,1115.80
2000/07/28,1114.50
2000/07/29,1116.20
2000/07/31,1116.20
2000/08/01,1117.10
2000/08/02,1116.20
2000/08/03,1115.70
2000/08/04,1114.80
2000/08/05,1115.30
2000/08/07,1115.30
2000/08/08,1116.20
2000/08/09,1116.90
2000/08/10,1114.70
2000/08/11,1114.10
2000/08/12,1114.80
2000/08/14,1114.80
2000/08/16,1114.90
2000/08/17,1115.00
2000/08/18,1114.60
2000/08/19,1114.70
2000/08/21,1114.70
2000/08/22,1114.60
2000/08/23,1114.30
2000/08/24,1114.60
2000/08/25,1114.20
2000/08/26,1114.20
2000/08/28,1114.20
2000/08/29,1113.00
2000/08/30,1111.20
2000/08/31,1108.80
2000/09/01,1109.40
2000/09/02,1106.80
2000/09/04,1106.80
2000/09/05,1105.00
2000/09/06,1104.90
2000/09/07,1106.10
2000/09/08,1109.00
2000/09/09,1108.90
2000/09/14,1108.90
2000/09/15,1113.50
2000/09/16,1117.90
2000/09/18,1117.90
2000/09/19,1130.60
2000/09/20,1127.70
2000/09/21,1121.00
2000/09/22,1129.00
2000/09/23,1132.70
2000/09/25,1132.70
2000/09/26,1124.70
2000/09/27,1121.70
2000/09/28,1114.60
2000/09/29,1114.70
2000/09/30,1115.00
2000/10/02,1115.00
2000/10/04,1116.20
2000/10/05,1121.50
2000/10/06,1118.10
2000/10/07,1116.50
2000/10/09,1116.50
2000/10/10,1116.60
2000/10/11,1118.00
2000/10/12,1123.30
2000/10/13,1122.30
2000/10/14,1128.70
2000/10/16,1128.70
2000/10/17,1125.90
2000/10/18,1130.20
2000/10/19,1138.60
2000/10/20,1140.30
2000/10/21,1128.60
2000/10/23,1128.60
2000/10/24,1133.60
2000/10/25,1135.30
2000/10/26,1136.50
2000/10/27,1139.70
2000/10/28,1133.70
2000/10/30,1133.70
2000/10/31,1136.70
2000/11/01,1140.60
2000/11/02,1135.50
2000/11/03,1134.70
2000/11/04,1132.60
2000/11/06,1132.60
2000/11/07,1131.90
2000/11/08,1134.40
2000/11/09,1137.30
2000/11/10,1134.40
2000/11/11,1133.10
2000/11/13,1133.10
2000/11/14,1137.90
2000/11/15,1136.40
2000/11/16,1134.70
2000/11/17,1137.80
2000/11/18,1140.40
2000/11/20,1140.40
2000/11/21,1147.30
2000/11/22,1165.90
2000/11/23,1167.10
2000/11/24,1184.30
2000/11/25,1195.20
2000/11/27,1195.20
2000/11/28,1186.80
2000/11/29,1185.00
2000/11/30,1195.30
2000/12/01,1212.10
2000/12/04,1210.90
2000/12/05,1213.80
2000/12/06,1211.50
2000/12/07,1193.80
2000/12/08,1204.70
2000/12/11,1189.70
2000/12/12,1185.50
2000/12/13,1187.00
2000/12/14,1196.70
2000/12/15,1200.70
2000/12/18,1204.90
2000/12/19,1205.90
2000/12/20,1206.00
2000/12/21,1214.70
2000/12/22,1224.70
2000/12/26,1232.10
2000/12/27,1249.10
2000/12/28,1266.90
2000/12/29,1252.00
2001/01/02,1259.70
2001/01/03,1267.80
2001/01/04,1285.40
2001/01/05,1249.30
2001/01/08,1267.80
2001/01/09,1264.60
2001/01/10,1257.90
2001/01/11,1261.60
2001/01/12,1276.60
2001/01/15,1281.20
2001/01/16,1285.90
2001/01/17,1284.40
2001/01/18,1277.20
2001/01/19,1286.50
2001/01/22,1276.70
2001/01/26,1270.90
2001/01/29,1275.30
2001/01/30,1279.50
2001/01/31,1265.50
2001/02/01,1261.30
2001/02/02,1259.70
2001/02/05,1251.90
2001/02/06,1258.60
2001/02/07,1257.00
2001/02/08,1263.40
2001/02/09,1268.80
2001/02/12,1261.30
2001/02/13,1265.20
2001/02/14,1256.40
2001/02/15,1252.10
2001/02/16,1246.90
2001/02/19,1242.40
2001/02/20,1248.00
2001/02/21,1243.30
2001/02/22,1235.70
2001/02/23,1244.30
2001/02/26,1246.60
2001/02/27,1247.80
2001/02/28,1245.70
2001/03/02,1249.80
2001/03/05,1261.40
2001/03/06,1274.30
2001/03/07,1266.30
2001/03/08,1269.70
