Purchase Date,Sale ID,Qty,Unit Price,COST
8-Jul-16,84706,1,2.35,2.35
8-Jul-16,86521,1,5.95,5.95
11-Jul-16,89553,1,0.8,0.8
11-Jul-16,89549,1,2.85,2.85
12-Jul-16,97432,1,4.95,4.95
13-Jul-16,89550,1,4.95,4.95
14-Jul-16,16797,1,5.95,5.95
14-Jul-16,18049,1,2.35,2.35
14-Jul-16,89550,1,0.28,0.94
15-Jul-16,15855,1,1.75,1.75
15-Jul-16,17207,1,5.95,5.95
18-Jul-16,18250,1,2.25,2.25
19-Jul-16,28357,1,1.75,1.75
20-Jul-16,32755,1,4.95,4.95
25-Jul-16,50481,1,2.85,2.85
25-Jul-16,89548,1,0.8,0.8
25-Jul-16,53345,1,5.95,5.95
26-Jul-16,56195,1,2.5,2.5
28-Jul-16,68975,1,1.75,1.75
