year,Taiwan,Singapore,Iran,Saudi Arabia,Turkey,United States,Canada,United Kingdom,Germany
1990,211052,26251,8678,1063,3394,325388,25443,36054,31274
1991,281349,30178,10670,1016,4054,315828,23179,35848,35314
1992,295986,31917,5998,1081,4356,333850,24317,36284,33375
1993,145344,36141,5795,1134,4810,325366,26225,35923,34750
1994,137463,33341,3675,863,3452,332428,30171,40999,41399
1995,130147,38577,2655,824,5280,358872,34475,46923,46634
1996,114729,43338,3971,900,5065,399300,42120,51373,48101
1997,104144,55805,4317,892,5610,424258,46948,58568,51648
1998,108880,92672,5552,1294,6420,405735,46343,51871,46247
1999,110563,75335,5608,1118,4951,396286,50678,53902,47318
2000,127120,82871,8967,1153,5891,458617,56304,57895,51093
2001,129410,71240,7116,925,6227,426817,59720,60080,52916
2002,136921,79403,7743,1266,10325,459362,67041,66696,59723
2003,194586,76432,7330,753,7990,421602,66183,60600,58809
2004,304908,85202,7202,1024,8645,511170,77597,65981,68663
2005,351438,81751,6389,1377,8976,530633,86402,72581,74962
2006,338162,88386,6579,1488,8969,555704,92791,75397,76407
2007,335224,93951,6155,2258,11625,587324,98116,78656,85330
2008,380628,96622,7854,3040,12409,611327,109249,91165,97691
2009,380628,96622,7854,3040,12409,611327,109249,91165,97691
2010,406352,112855,8387,3875,16320,652889,121214,97510,98119
2011,428208,124565,9532,6904,17298,661503,122223,104644,99468
2012,548233,154073,6568,7970,19290,697866,128431,110172,102262
2013,544662,174567,5342,10219,19698,722315,133640,120874,100803
2014,643683,201105,6512,10093,22382,770305,146429,131080,100624
2015,518190,160153,5706,9553,23166,767613,145547,123274,100182
