"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호6127","품목보고번호2001043909816","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한12개월","제품명37.4","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","먹는물","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6126","품목보고번호2001043909841","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명37.4","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","정제수","산소","먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호6125","품목보고번호20020623009486","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명A+ 망고 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙액함유절편","알로에베라겔분말",NA,NA,"3","4","5","6","7","8","9","10","11","12","13","14","15","백설탕","액상과당","망고엑스","구연산","젤란검","구연산삼나트륨","비타민C","젖산칼슘","β-카로틴","시트러스향","천연망고향","망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6124","품목보고번호20020623009513","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명A+ 블루베리 프리미엄 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙액함유절편","블루베리농축액",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"백설탕","구연산","젤란검","구연산삼나트륨","비타민C","젖산칼슘","레드칼라","치자청색소","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6123","품목보고번호20020623009274","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명A+ 저당알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙","함유절편",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"구연산","비타민-C O","구연산삼나트륨","젤란검","젖산칼슘","그린칼라","치자황색소","수크랄로스","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호6122","품목보고번호20020623009807","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명A+ 프리미엄 석류 알로에 (칠레용)","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙","백설탕","알로에베라겔즙액함유절편","","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"수크랄로스","구연산","구연산삼나트륨","젤란검","젖산칼슘","레드칼라","합성향료","정제수",NA,NA,NA,NA,NA,"","","","","","","석류향","",NA,NA,NA,NA,NA
"7","번호6121","품목보고번호20020623009217","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명A+석류알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙액함유절편","백설탕",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"구연산","벌꿀","비타민C","구연산삼나트륨","젤란검","젖산칼슘","치자황색소","레드칼라","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호6120","품목보고번호20020623009207","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명A+알로에드링크","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙","함유절편",NA,NA,"3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"백설탕","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호6119","품목보고번호20020623009574","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명A+홍삼알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","알로에베라겔즙액함유절편","홍삼농축액",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"액상과당","구연산","구연산삼나트륨","젤란검","젖산칼슘","수크랄로스","카라멜색소","알로에향","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호6118","품목보고번호20070443110592","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명1AB 프로틴워터20","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","정제수","기타가공품","","분리유청단백","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"인산","구연산(무수)","과.채가공품","구연산삼나트륨","DL-사과산","비타민C","합성향료","아세설팜칼륨","수크랄로스","혼합제제",NA,NA,NA,"","","사과농축액","","","","사과향","","","아와컷 CP",NA,NA,NA
