"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호4812","품목보고번호202307321141","업소명청 나라","품목유형혼합음료","유통/소비기한해당없음.","제품명딸기라떼","분류식품","업체명","청 나라","소재지","전라남도 나주시 우정로 72(더클래스빌딩 7층 B호 빛가람동)","1","2","딸기농축액","우유",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4811","품목보고번호201005430663","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한품질유지기한:제조일로부터24개월","제품명딸기맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","알로에베라잎(껍질제외)","절편",NA,NA,"3","4","5","6","7","8","9","10","11","12","13","14","15","16","알로에분말","액상과당","벌꿀","구연산","겔코겔","젖산칼슘","구연산삼나트륨","탄산칼슘","레드색소(CR150)","슈가향(HF-37128)","딸기향(2810461)","딸기향(SF-11360)","딸기에센스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4810","품목보고번호2014049317134","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명딸기모히또","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"구연산","과.채가공품","합성향료","식품첨가물혼합제제","구연산삼나트륨","식품첨가물혼합제제","과.채가공품","비타민C","수크랄로스","식용색소적색제40호",NA,NA,NA,NA,"산도조절제","레몬주스농축액","딸기향","모히토향","산도조절제","시트러스향","딸기농축액","","감미료","",NA,NA,NA,NA
"4","번호4809","품목보고번호1987055800381","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명딸기쉐이크","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","우유","설탕","","","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"혼합분유","당류가공품","딸기농축액","수크랄로스","아세설팜칼륨","식용색소적색제40호","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,"혼합탈지분유","밀크프리","65Bx","감미료","감미료","","딸기향","딸기향","",NA,NA,NA,NA,NA
"5","번호4808","품목보고번호20000614238463","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명딸기에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","딸기농축액","설탕","","","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","합성향료","합성향료","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수",NA,NA,"","","","","","","","프로필렌글리콜,합성향료,트리아세틴,천연향료,정제수,주정","정제수, 아라비아검, D-소르비톨액, 자당지방산에스테르, 글리세린, 정제가공유지, 주정","","","",NA,NA
"6","번호4807","품목보고번호20000360372281","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명딸기워터","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","딸기농축액","기타과당","딸청징농축액","","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"설탕","구연산","구연산삼나트륨","효소처리루틴","정제소금","염화칼륨","젖산칼슘","합성향료","합성향료","정제수",NA,NA,NA,NA,"","","","","","","","딸기향1","딸기향2","",NA,NA,NA,NA
"7","번호4806","품목보고번호2008033218017","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명땅스식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","엿기름","설탕",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4805","품목보고번호20070464034225","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명땅콩새싹신아유","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","땅콩 또는 견과류가공품","설탕","새싹땅콩견과액(고형분7.5%)","유기농밝은갈색설탕","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","천일염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"해조칼슘","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4804","품목보고번호1997046417238","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명땡큐365","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","히솝엑기스","오리나무농축액",NA,NA,"3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"액상과당","구연산삼나트륨","비타민B2","허브향","헛개나무열매","농축액","감초엑기스","구연산","효소처리스테비아","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4803","품목보고번호2006036821420","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명땡큐단호박식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","정제수","백설탕",NA,NA,"3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","호박가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
