"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호...45","성분 및 원료","비고","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호4187","품목보고번호199306250065","업소명현대약품(주)","품목유형혼합음료","유통/소비기한병제품 : 15개월, 합성수지재 : 1년","제품명미에로화이바","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","액상과당","폴리덱스트로스","결정과당","비타민C","구연산","오렌지향HKG-0431","구연산삼나트륨","오렌지향HKG-1819/1","코치닐추출색소","DL-알라닌","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4186","품목보고번호1993062500625","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명미에로화이바","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","폴리덱스트로스","액상과당","결정과당","구연산삼나트륨","구연산","비타민C","정제수","락색소","감귤추출물","오렌지향","오렌지향","","","","","","","","","[감귤추출물HD]","[HKG-0431]","[HKG-1819-1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4185","품목보고번호20190413079136","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미에로화이바","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","액상과당","폴리덱스트로스(고시형)","결정과당","구연산","오렌지향","구연산삼나트륨","비타민C","오렌지향","감귤추출물","락색소","정제수","","","","","HKG-0431","","","HK-1819/1","","JS-15997","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4184","품목보고번호1993062500615","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명미에로화이바 4000","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10",NA,"액상과당","데스트린","비타민C","구연산(무수)","오렌지향 HKG-0431","구연산삼나트륨","오렌지향 HKG-1819/1","L-글루타민산나트륨","코치닐추출색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4183","품목보고번호1993062500612","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미에로화이바 레몬","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4182","품목보고번호1993062500617","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명미에로화이바 복숭아맛","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","폴리덱스트로스","액상과당","결정과당","구연산삼나트륨","구연산","비타민C","DL-알라닌","DL-사과산","말토덱스트린","시트러스추출물","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","17","복숭아향(SW-12628)","복숭아향(SC-41075)","복숭아향(SKF-27539)","복숭아향(SK-59492)","복숭아향(SKF-27538)","정제수",NA,NA,NA,NA,NA,NA
"7","번호4181","품목보고번호1993062500624","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명미에로화이바 복숭아향","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9",NA,NA,"말토덱스트린","폴리덱스트로스","액상과당","결정과당","비타민C","DL-알라닌","DL-사과산","카라멜색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4180","품목보고번호1993062500616","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명미에로화이바 사과맛","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","액상과당","덱스트린","비타민C","구연산","사과향SK-61779","구연산삼나트륨","안식향산나트륨","사과향SW-6387","DL-사과산","사과향SK-61778","과라나추출액KE-473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,NA,"카라멜색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4179","품목보고번호1993062500619","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명미에로화이바 업","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","액상과당","난소화성말토덱스트린(고시형)","비타민C","구연산","오렌지향HKG-0431","구연산삼나트륨","안식향산나트륨","오렌지향HKG-1819/1","DL-알라닌","L-카르니틴","코치닐추출색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4178","품목보고번호20100543066240","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명미에로화이바레드","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","폴리덱스트로스","구연산","구연산삼나트륨","합성착향료","자색고구마색소","비타민C","스트러스추출물","블렌드","락색소","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
