"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호4177","품목보고번호1993062500636","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터15개월","제품명미에로화이바플러스","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","폴로덱스트로스","L-카르니틴","액상과당","결정과당","수크랄로스","구연산","구연산삼나트륨","비타민C","말토덱스트로스","시클로덱스트린","L-알라닌","코치닐추출색소","오렌지향(HKG-0431)","오렌지향(428-00012-38)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4176","품목보고번호20100543066221","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명미에로화이바후레쉬","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"폴리덱스트로스","구연산","구연산삼나트륨","오렌지향","비타민C","수크랄로스","씨트러스추출물블렌드","락색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4175","품목보고번호20100543066515","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET,CAN : 24개월","제품명미오제주","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","올리고당","감귤농축액","구연산","합성향료","비타민C","홍화황색소",NA,NA,NA,NA,NA,NA,NA,"","","","청귤농축액 55Brix, 청귤과즙으로 5%,","","감귤향,레몬향","","300P",NA,NA,NA,NA,NA,NA,NA
"4","번호4174","품목보고번호1971061800158","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명미자언니네 단호박식혜","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","서양호박","쌀","엿기름","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","[단호박]","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4173","품목보고번호1971061800159","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명미자언니네 생강식혜","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","엿기름","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4172","품목보고번호1971061800162","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명미자언니네 수정과","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","통계피","생강","갈색설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4171","품목보고번호1980053801832","업소명남양유업주식회사 경주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미초 스트로베리자스민","분류식품","업체명","남양유업주식회사 경주공장","소재지","경상북도 경주시 산업로 4443-7(용강동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"발효식초","프락토올리고당","구연산(무수)","비타민 C(고시형)","스테비올배당체","딸기농축액","액상차","혼합제제","혼합제제","정제수",NA,NA,NA,NA,NA,"과일발효식초","","","","레바텐 97%","50 brix","자스민차농축액","자스민향 717103","스트로베리향 D18-06008","",NA,NA,NA,NA,NA
"8","번호4170","품목보고번호20010515081390","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미초 스트로베리자스민","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"정제수","구연산(무수)","스테비올배당체","프락토올리고당","딸기농축액","자스민추출액","발효식초","비타민C","자스민향","스트로베리향",NA,NA,NA,NA,NA,"","","","","","자스민차농축액","과일발효식초","","","",NA,NA,NA,NA,NA
"9","번호4169","품목보고번호20040275056584","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명미친부스터","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"정제수","L-아르지닌","과.채가공품","프락토올리고당","구연산","히비스커스농축액","γ-시클로덱스트린","수크랄로스","오렌지향","히알루론산혼합제제","생선콜라겐","흰강낭콩추출물","비타민미네랄혼합제제",NA,NA,"","","블러드오렌지농축과즙","","함수구연산","","감마시클로덱스트린","","","","피쉬콜라겐","흰강낭콩추출물분말","비타민미네랄믹스",NA,NA
"10","번호4168","품목보고번호20110084489126","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명미친젤리","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"정제수","에리스리톨","혼합제제","칼라만시주스","시트러스향","구연산","수크랄로스","비타민C","혼합제제","아프리카망고씨앗추출물분말","타우린","혼합제제",NA,NA,NA,"","","슈퍼겔/수퍼겔","깔라만시주스","","함수구연산","","","아미노산혼합제제/아미노믹스","아프리칸(와일드)망고종자추출분말","","비타민B혼합제제/비타민B군믹스",NA,NA,NA
