"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고16","비고17","비고18","비고19","비고20","비고21","비고22","번호23","번호24","번호25","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고23","비고24","비고25"
"1","번호4017","품목보고번호19970443044405","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명백세버섯진액 골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9","10","11","12","13","이소말토올리고당","벌꿀","기타과당","프락토올리고당","신령버섯균사체추출물","영지버섯자실체추출물분말","차가버섯추출물분말","허브추출물","노루궁뎅이버섯추출물분말","표고버섯균사체분말","구연산","효소처리스테비아","정제수","이소말토올리고당M200","사양벌꿀","액상과당","프락토올리고당F250","아가리쿠스버섯추출농축액","","","복합허브추출물E","노루궁뎅이분말","","함수구연산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4016","품목보고번호2019046794816","업소명송악농협식품사업부","품목유형혼합음료","유통/소비기한24개월","제품명백수오담은 구기자 진액","분류식품","업체명","송악농협식품사업부","소재지","충청남도 아산시 송악면 도송로 372","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"액상차","프락토올리고당","오미자농축액","대추농축액","인삼열매농축액","구연산","비타민C",NA,NA,NA,NA,NA,NA,"","프락토올리고당(70brix,국내산)","오미자농축액(60brix)국내산","대추농축액(국내산)","인삼열매농축액(국내산)","함수구연산","비타민c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4015","품목보고번호20180504025149","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한24개월","제품명백수오담은 구기자 진액","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"액상차","프락토올리고당","오미자농축액","대추농축액","인삼열매농축액","구연산","비타민C",NA,NA,NA,NA,NA,NA,"구기자혼합추출액[고형분1%이상, 구기자(국내산)70%,백수오(국내산)29.99%,생녹용(국내산)0.01%]","프락토 올리고당(70brix,국내산)","오미자농축액(60brix,국내산)","대추농축액(국내산)","인삼열매농축액(국내산)","함수구연산","비타민c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4014","품목보고번호200703582241210","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명백옥습관 글루타치온","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","오렌지농축액","프락토올리고당","건조효모","생선콜라겐","레몬농축액","혼합제제","구연산(무수)","효소처리스테비아","잔탄검","엘라스틴가수분해물","비타민C","히알루론산","","","","글루타치온 2.5%","저분자 피쉬콜라겐","레몬추출농축액","오렌지향","","","","","","","14","15","L-아르지닌","우유단백질","","우유세라마이드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4013","품목보고번호201104700241","업소명백제명가영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명백제명가 산삼배양근추출액","분류식품","업체명","백제명가영농조합법인","소재지","충청남도 부여군 라복서로57번길 9-8","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"산삼배양근","가시오갈피","홍삼","대추","감초","홍삼농축액","구기자나무열매","벌꿀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4012","품목보고번호20190391582162","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명밸런스 에너지 보틀","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","레드자몽농축액","포도당","자일리톨","타우린","생강농축액","고량강뿌리줄기추출물","액상과당","강황농축액","향료","향료","인산","글루콘산아연","","","무수결정포도당","","","","갈랑가(아시아생강)추출물","","","드링크향1","천연인헨서","","","14","15","향료","변성전분","드링크향2","","16","17","18","19","20","21","22","향료","니코틴산아미드","판토텐산칼슘","비타민C","혼합제제","수크랄로스","기타 농산가공품","씨트러스향","","","","아미노액티브BCAA","","LJG컴파운드408",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4011","품목보고번호20110493072248","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명밸런스랩 웨이크업","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12","13","포도농축액","프락토올리고당(고시형)","L-아르기닌","블루베리농축액","구연산","아로니아농축액","합성향료","비타민 C(고시형)","수크랄로스","마카뿌리분말","글루콘산아연(고시형)","식품첨가물혼합제제","정제수","적포도과즙농축액, 칠레산, 68Brix","","영양강화제","미국산, 68Brix","산도조절제","폴란드산, 67Brix","모히또향#1, 합성향료","영양강화제","감미료","페루산","영양강화제","엽산분말 AF1(엽산, 옥수수전분)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4010","품목보고번호20000614238533","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뱅쇼에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","구연산","과.채가공품","와인향","와인향","적포도발효농축액(기능성원료인정제2014-30호)","계피엑기스","구연산삼나트륨","비타민C","아세설팜칼륨","수크랄로스","식용색소적색제40호","","","","레몬주스농축액","주정, 정제수, 합성향료, 프로필렌글리콜","주정, 프로필렌글리콜, 천연향료","","","","","","","","14",NA,"식용색소청색제1호",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4009","품목보고번호2008033218021","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉동 1년","제품명버거형의 어쩌다식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4008","품목보고번호2020042406537","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명버닝레드","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","L-아르지닌","구연산(무수)","사양벌꿀","라즈베리향","블랙엘더베리농축액","효소처리스테비아","과.채가공품","수박추출물","오르니틴염산염","L-아스파트산","아미노산혼합분말","마카추출분말","","L-아르기닌","","","라즈베리향혼합제제","엘더베리농축액","","세븐베리농축액","수박추출분말","","","","","14","15","타우린","곡류가공품","","맥아추출물/프루트맥스 브라운900 더블유에스","16","17","18","19","20","21","22","기타가공품","과라나추출물분말","수크랄로스","복분자추출물분말","글루콘산아연","니코틴산아미드","비오틴 혼합분말","복합황금추출물","과라나추출분말","","복분자추출분말","","","비오틴혼합제제","23","24","25","비타민B1염산염","비타민B2","비타민B6염산염","","",""
