"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","성분 및 원료18","성분 및 원료19","비고18","비고19","번호20","번호21","번호22","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고20","비고21","비고22"
"1","번호3927","품목보고번호2019041307919","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명보성 홍차 밀크티","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","홍차추출액","우유","탈지분유","가당연유","카라기난","자당지방산에스테르","자당지방산에스테르","홍차분말","합성향료","설탕","덱스트린","기타소금","탄산수소나트륨","합성향료","합성향료","합성향료","정제수","","","","","D-12A","P-1670","S-570","보성 홍차분말","홍차향분말","","","히말라야암염","","SK-H5170","SK-19-07731","DJ1-4502","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3926","품목보고번호1996051900641","업소명주식회사 보성녹차인 1공장","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명보성녹차 알로에","분류식품","업체명","주식회사 보성녹차인 1공장","소재지","전라남도 보성군 미력면 농공길 28-20","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"알로에베라(고시형)","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤라검","알로에향","알로에향","녹차농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3925","품목보고번호19990555093407","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명보침기보","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","동식물혼합추출물","프락토올리고당","기타과당","구기자엑기스","대추농축액","오미자농축액","칡농축액","구연산","합성향료","L-아르지닌","구아검","구연산삼나트륨","혼합허브추출물","덱스트린","카라멜색소","비타민B6염산염","","동식물혼합발효추출액, 고형분 0.4%","","","","","","","함수구연산","허브향","L-아르기닌","","구연산나트륨","복합허브추출물","말토덱스트린","","","18","19","비타민B2","니코틴산아미드","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3924","품목보고번호19860443015432","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보타니크 프리미엄 로얄젤리 드링크","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","프락토올리고당","자일리톨","로얄젤리분말","벌꿀류","γ-시클로덱스트린","합성향료","구연산(무수)","잔탄검","니코틴산아미드","안식향산나트륨","수크랄로스","비타민 B12 혼합제제분말","비타민B1염산염","비타민B2","L-아르지닌","화분추출물분말","","","","효소처리로얄젤리분말","마누카꿀","감마시클로덱스트린","허니향","","","","","","비타민 B12 혼합제제","","","","","18","19","비타민C","비타민 D3 혼합제제분말","","비타민 D3 혼합제제","20","21","22","비타민 E 혼합제제분말","글루콘산아연","엽산","비타민 E 혼합제제","",""
"5","번호3923","품목보고번호19780614001440","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복분자","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"과.채가공품","기타과당","수크랄로스","구연산","구연산삼나트륨","효소처리루틴","포도과피색소","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,"가당복분자청징농축액","","","","","","","복분자향1","복분자향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3922","품목보고번호198804420041707","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명복분자","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"프락토올리고당","정제수","라즈베리농축액","콩코드포도농축액","기타가공품","레몬농축액","칡농축액","천연향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,"올리고당","","","","복분자딸기농축액","","칡농축엑기스","천연레몬라임향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3921","품목보고번호19890445014348","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명복분자","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"복분자농축액","포도농축액","DL-사과산","이소말토올리고당","액상과당","비타민C","포도과피색소","석류향","파인애플향","카르복시메틸셀룰로오스나트륨","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3920","품목보고번호19970464172175","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명복분자","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"복분자농축액","농축사과과즙","기타과당","사양벌꿀","구연산","구연산삼나트륨","정제염","코치닐추출색소","효소처리스테비아","복분자향","정제수",NA,NA,NA,NA,NA,NA,"(65Brix)","(72Brix)","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3919","품목보고번호2014060761422","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명복분자","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"과당옥수수시럽","사과농축액","복분자농축액","카라멜색소","복분자향","비타민 B1라우릴황산염(고시형)","비타민C혼합분말","레드칼라","구연산","수크랄로스","가공소금","구연산삼나트륨","DL-사과산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3918","품목보고번호20050555180566","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명복분자","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","액상과당","복분자농축액","사과농축액","벌꿀","적포도농축액","구연산","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
