"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호...42","성분 및 원료","비고","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고11","비고12","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17"
"1","번호6107","품목보고번호198506140552990","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명BCAA 블랙 아미노워터","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","정제수","에리스리톨","식품첨가물혼합제제","구연산","식품첨가물혼합제제","과.채가공품","식품첨가물혼합제제","효소처리스테비아","구연산삼나트륨","정제소금","","","BCAA","","자몽향","레드자몽농축액","분말카라멜색소","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6106","품목보고번호198506140553060","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명BCAA 퓨어 아미노워터","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","정제수","에리스리톨","식품첨가물혼합제제","구연산","식품첨가물혼합제제","과.채가공품","효소처리스테비아","식품첨가물혼합제제","구연산삼나트륨","정제소금","","","BCAA","","레몬향 엠에프-120457","","효소처리스테비아-알에이","화이트클라우디","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호6105","품목보고번호2017014715529","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명BEAUTY NONI","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","노니추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6104","품목보고번호20000614238489","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 딸기&용과에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","딸기농축액","과.채가공품","과당","설탕","구연산","비타민C","구연산삼나트륨","잔탄검","수크랄로스","아세설팜칼륨","","레드용과퓨레","","","","","","","","",NA,NA,NA,"11","12","13","14","15","16","합성향료","합성향료","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","","","프로필렌글리콜,합성향료,천연향료,주정","","","",NA,NA,NA
"5","번호6103","품목보고번호20000614238362","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 딸기에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","딸기농축액","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","합성향료","합성향료","혼합제제","","","","","","","","","","프로필렌글리콜,합성향료,트리아세틴,천연향료,정제수,주정",NA,NA,NA,"11","12","13","14",NA,NA,"혼합제제","식용색소적색제40호","식용색소황색제4호","정제수",NA,NA,"정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","","","",NA,NA,NA,NA,NA
"6","번호6102","품목보고번호20000614238363","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 망고에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","망고농축액","설탕","기타과당","구연산","비타민C","구연산삼나트륨","잔탄검","수크랄로스","아세설팜칼륨","혼합제제","","","","","","","","","","프로필렌글리콜,주정,합성향료,트리아세틴,천연향료",NA,NA,NA,"11","12","13",NA,NA,NA,"식용색소황색제4호","식용색소황색제5호","정제수",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA
"7","번호6101","품목보고번호20000614238359","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 복숭아아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","복숭아농축액","홍차추출분말","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","합성향료","","","","","","","","정제수,규소수지,유화제1,유화제2,CMC","프로필렌글리콜,주정,정제수,합성향료,트리아세틴,천연향료","",NA,NA,NA,"11","12",NA,NA,NA,NA,"혼합제제","정제수",NA,NA,NA,NA,"프로필렌글리콜,주정,합성향료,천연향료","",NA,NA,NA,NA,NA,NA,NA
"8","번호6100","품목보고번호20000614238467","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 블랙레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","레몬농축액","라임농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","오징어먹물색소","혼합제제","","","","","","","","","오징어먹물추출물분말","합성향료,천연향료,주정,프로필렌글리콜",NA,NA,NA,"11","12","13","14","15","16","혼합제제","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제4호","식용색소청색제1호","주정,천연향료,합성향료","주정,프로필렌글리콜,정제수,합성향료,천연향료,글리세린,트리아세틴,갈색설탕","주정,정제수,합성향료","","","","17","정제수",""
"9","번호6099","품목보고번호20000614238360","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 블루레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","레몬주스농축액","라임농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","","","","","","","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","합성향료,천연향료,주정,프로필렌글리콜",NA,NA,NA,"11","12","13","14","15",NA,"혼합제제","혼합제제","혼합제제","식용색소청색제1호","정제수",NA,"주정,천연향료,합성향료","주정,프로필렌글리콜,정제수,합성향료,천연향료,글리세린,트리아세틴,갈색설탕","주정,정제수,합성향료","","",NA,NA,NA,NA
"10","번호6098","품목보고번호20000614238468","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명BG 블루베리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","구연산","블루베리주스농축액","청포도농축액","향료제제","향료","향료","아세설팜칼륨","구연산삼나트륨","","","","","","프로필렌글리콜, 합성향료, 트리아세틴, 천연향료, 젖산","천연향료, 합성향료","주정, 프로필렌글리콜, 향료","","",NA,NA,NA,"11","12","13","14",NA,NA,"비타민C","수크랄로스","식용색소적색제40호","식용색소청색제1호",NA,NA,"","","","",NA,NA,NA,NA,NA
