"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호3113","품목보고번호201706286305","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명스무디A","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","3","4","5","6","감귤농축액","백설탕","잔탄검","구연산(무수)","감귤향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3112","품목보고번호20020623009533","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명스웨그 모히또","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","레몬농축액","기타 농산가공품","아세로라농축분말","레몬향","백설탕","구연산","","애플민트 추출물","","","","","7","8","9","10","11","12","비타민C","펙틴","수크랄로스","시트러스향","레몬라임향","정제수","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3111","품목보고번호20020623009917","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스웨그 알로에 키위","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","알로에베라겔즙","키위농축액","기타과당","사양벌꿀","구연산","구연산삼나트륨","알로에베라겔즙액 함유절편","65Brix","","","","","7","8","9","10","11","12","젤란검","젖산칼슘","비타민C","카로틴베이스 35468","시트러스향","수크랄로스","","영양강화제","","","시트러스향","합성감미료","13","14","15","키위향","키위향","정제수","키위향","키위향",""
"4","번호3110","품목보고번호20020623009906","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스웨그애플망고","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","백설탕","과.채가공품","유화제","구연산","구연산삼나트륨","비타민C","","애플망고농축액 65Brix","아와컷","","","","7","8","9","10","11","12","β-카로틴","수크랄로스","아세설팜칼륨","아라비아검","젤란검","식품첨가물혼합제제","수용성베타카로틴","합성감미료","","","","CMC","13","14",NA,"애플망고향","정제수",NA,"HF-AI10050","",NA
"5","번호3109","품목보고번호19890445014666","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명스위트 메론","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","멜론농축액","액상과당","구연산","효소처리스테비아","비타민C","카르복시메틸셀룰로오스나트륨",NA,NA,NA,NA,NA,NA,"7","8","9","10",NA,NA,"시트러스향","혼합제제","메론향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3108","품목보고번호201005430661120","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스위트 애플망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","정제수","설탕","과.채가공품","구연산","향료","구연산삼나트륨","","","애플망고퓨레/애플망고100%/대만산","","애플망고향","","7","8","9","10",NA,NA,"비타민C","카로틴","수크랄로스","아세설팜칼륨",NA,NA,"","","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3107","품목보고번호20060464002391","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명스위트 제주청귤","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","귤착즙액","한라봉농축액","설탕","에리스리톨","구연산","구연산삼나트륨","청귤착즙액","60Brix","","","함수","","7","8","9","10",NA,NA,"정제소금","스테비텐후레쉬","합성향료","정제수",NA,NA,"","","청귤향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3106","품목보고번호20120567001292","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스위트몬스터 워터젤리 사과","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","에리스리톨","폴리덱스트로스","홍삼농축액","사과농축액","혼합제제","유산균배양액","","","","","검분말","팽이버섯유산균발효액","7","8","9","10","11","12","비타민C","구연산","젖산칼슘","수크랄로스","정제수","사과향","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3105","품목보고번호20080614259604","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한12개월","제품명스위트몬스터 워터젤리 사과","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","정제수","발효식초","에리스리톨","폴리덱스트로스","과.채가공품","식품첨가물혼합제제","","","","","사과농축과즙액","검믹스","7","8","9","10","11",NA,"식품첨가물혼합제제","구연산","수크랄로스","젖산칼슘","카라멜색소",NA,"사과향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3104","품목보고번호20120567001291","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스위트몬스터 워터젤리 청포도","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","에리스리톨","백포도농축액","폴리덱스트로스","혼합제제","유산균배양액","비타민C","","","","검분말","팽이버섯유산균발효액","","7","8","9","10","11","12","홍삼농축액","구연산","젖산칼슘","수크랄로스","정제수","청포도향","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
