"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호2933","품목보고번호20040275056740","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한24개월","제품명쌩쌩벌꿀녹용","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","정제수","기타과당","사양벌꿀","대추농축액","효소처리스테비아","벌꿀향","비타민C","황금혼합추출물","녹용추출분말","","고과당","","","스테비텐후레쉬","","","복합황금추출물","녹용추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2932","품목보고번호20040275056742","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한24개월","제품명쌩쌩벌꿀홍삼","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","정제수","기타과당","사양벌꿀","대추농축액","효소처리스테비아","벌꿀향","비타민C","황금혼합추출물","홍삼향","","고과당","","","스테비텐후레쉬","벌꿀향DK-8335","","복합황금추출물","","10","홍삼농축액","홍삼농축액10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2931","품목보고번호2019040221433","업소명성이바이오(주)","품목유형혼합음료","유통/소비기한제조일로부터 24 개월","제품명쌩쌩팍","분류식품","업체명","성이바이오(주)","소재지","강원도 원주시 지정면 지래울로 184(성이바이오주)","1","2","3","4","5","6","7","8","9","식물혼합농축액","비타민미네랄혼합제제","오렌지농축액","사과농축액","자일리톨","구연산(무수)","효소처리스테비아","감귤농축액","정제수","제이비비20농축액(JBB20)","","","","","","","","","10","잔탄검","","11","12","13","14","프락토올리고당","액상차","천연오렌지향","누에고치단백가수분해물","","발효유자액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2930","품목보고번호20130415052242","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명써큐란 아르기닌 6000","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","정제수","L-아르지닌","구연산","프락토올리고당","블루베리농축액","Red grape농축액","난소화성말토덱스트린(고시형)","블루베리향","글루콘산아연","","","","프락토올리고당F250","","적포도농축액","화이바솔-2","혼합제제, FG2013-1118","","10","비타민E혼합제제분말","","11","12","13","14","효소처리스테비아","과라나추출물분말","니코틴산아미드","타우린","레바텐프리미엄","과라나추출분말","","","15","16","17","18","19","20","21","구연산삼나트륨","황금혼합추출물","수크랄로스","잔탄검","비타민B6염산염","비타민B1질산염","비타민C","","복합황금추출물-2","","켈트롤","","",""
"5","번호2929","품목보고번호2010054306695","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명썬베리알로에 오리지널","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","알로에베라겔함유절편","알로에분말","액상과당","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","합성착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","합성착향료",NA,"11",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2928","품목보고번호19980449002593","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한함성수지제 : 제조일로부터 9개월까지 , 금속캔: 제조일로부터 12개월까지","제품명썬키스트 레몬워터","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","에리스리톨","비타민C","레몬농축액","수크랄로스","아세설팜칼륨","효소처리루틴","정제소금","L-글루탐산나트륨","구연산(결정)","","","","","","","","","","10","DL-사과산","","11","12","13","14","구연산삼나트륨","효소처리스테비아","레몬향","복숭아향","","스텐비텐후레쉬","","","15","16",NA,NA,NA,NA,NA,"시트러스향","정제수",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA
"7","번호2927","품목보고번호20100543066582","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터 9개월,  CAN: 제조일로부터 12개월","제품명썬키스트 레몬워터","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","에리스리톨","당시럽","과당","비타민C","레몬농축액","합성향료","구연산삼나트륨","정제소금","","","","","중국산","이스라엘산, 레몬과즙으로 환산기준 1%","레몬향,복숭아향,시트러스향","","","10","구연산","","11","12","13","14","DL-사과산","코코넛농축","염화칼륨","염화마그네슘","","코코넛농축과즙,인도네시아산","","","15","16","17","18","19","20",NA,"히알루론산","스테비텐후레쉬","니코틴산아미드","수크랄로스","아세설팜칼륨","비타민B6염산염",NA,"","감미료","","감미료","감미료","",NA
"8","번호2926","품목보고번호20020623009859","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명썬키스트 모과생강","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","모과추출농축액","귤껍질추출농축액","생강추출농축액","배과즙","당시럽","구연산(결정)","사양벌꿀","구연산삼나트륨","효소처리루틴","40˚Bx","진피추출농축액","40˚Bx","9˚Bx","67˚Bx","","78.5˚Bx","","스테비텐루틴","10","수크랄로스","","11","12","13","14","카라멜색소","생강향","오렌지향","정제수","분말","천연생강향","오렌지향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2925","품목보고번호20100543066601","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명썬키스트 모히또 저칼로리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","과당","구연산","합성향료","라임농축액","구연산삼나트륨","펙틴","정제소금","수크랄로스","","","","시트러스향, 라임향, 사과향, 레몬향, 애플민트향","이탈리아산, 배합함량: 라임 100%, 라임과즙으로 환원기준 1%","","","국산","감미료","10","효소처리루틴","","11",NA,NA,NA,"아세설팜칼륨",NA,NA,NA,"감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2924","품목보고번호20100543066554","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명썬키스트 블루하와이 저칼로리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","결정과당","파인애플농축과즙","오렌지농축과즙","구연산","유화제","레몬농축과즙","합성향료","코코넛크림분말","","","필리핀산,배합함량:파인애플100%,파인애플과즙으로 환원기준 1%)","미국산,배합함량:오렌지100%,오렌지과즙으로 환원기준 1%)","","","이스라엘산,배합함량:레몬100%,레몬과즙으로 환원기준 1%)","오렌지향,파인애플향,블루하와이향","","10","구연산삼나트륨","","11","12","13","14","펙틴","정제소금","효소처리루틴","아세설팜칼륨","","","","감미료","15","16",NA,NA,NA,NA,NA,"수크랄로스","식용색소청색제1호",NA,NA,NA,NA,NA,"감미료","착색료",NA,NA,NA,NA,NA
