"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호2893","품목보고번호20080395120429","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아데스 아몬드 초콜릿","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","정제수","설탕","땅콩 또는 견과류가공품","코코아분말","혼합제제","혼합제제","혼합제제","스테비올배당체","혼합제제","혼합제제","","","아몬드 페이스트","코코아파우더","아데스 아몬드 원제 제1A부","아데스 아몬드 원제 제1C부","아데스 아몬드 원제 제1D부","","드라이비타민E 아세테이트 50% 함유제제","아데스 아몬드 초콜릿 원제 제2A부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2892","품목보고번호2018045245431","업소명(주)아로마에프아이","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아띠야미 석류 피쉬콜라겐 1000","분류식품","업체명","(주)아로마에프아이","소재지","충청북도 음성군 대소면 내산길 21-25","1","2","3","4","5","6","7","8","9","10","곤약분말","혼합제제","생선콜라겐","에리스리톨","아세설팜칼륨","수크랄로스","구연산","구연산삼나트륨","석류농축과즙","석류향","","","피쉬콜라겐","","","","","","","","11","12","13","염화칼륨","규소수지","정제수","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2891","품목보고번호1993062500652","업소명현대약품(주)","품목유형혼합음료","유통/소비기한12개월","제품명아로골드D","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","액상과당","사과농축액","결정과당","펙틴","구연산","구연산삼나트륨","비타민 C(고시형)","비타민 B1염산염(고시형)","비타민 B2(고시형)","비타민B6염산염","","","","","","","","","","","11","12","13","비타민B12, 혼합제제","비타민D3혼합제제","이노시톨","","","","14","15","16","17","18","19","20","21","니코틴산아미드","판토텐산칼슘","타우린","수크랄로스","드링크향","드링크향","오렌지향","정제수","","","","","드링크향S110752","드링크향S040902","오렌지향H080305",""
"4","번호2890","품목보고번호20020623009616","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아로골드D","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","사과농축과즙","과라나추출물분말","액상과당","구연산","구연산삼나트륨","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","이노시톨","72Brix","","","산도조절제","산도조절제","영양강화제","영양강화제","영양강화제","영양강화제","","11","12","13","니코틴산아미드","판토텐산칼슘","타우린","","","","14","15","16","17","18","19",NA,NA,"수크랄로스","드링크향","오렌지향","정제수","비타민D3혼합제제","비타민B12, 혼합제제",NA,NA,"합성감미료","합성착향료","합성착향료","","영양강화제","영양강화제",NA,NA
"5","번호2889","품목보고번호20020623009636","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아로골드D플러스","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","사과농축과즙","과라나추출물분말","액상과당","구연산","구연산삼나트륨","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","비타민D3혼합제제","72brix","","","산도조절제","산도조절제","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제","11","12","13","이노시톨","니코틴산아미드","판토텐산칼슘","","","","14","15","16","17","18","19",NA,NA,"타우린","수크랄로스","드링크향","오렌지향","정제수","비타민B12, 혼합제제",NA,NA,"","합성감미료","합성착향료","합성착향료","","영양강화제",NA,NA
"6","번호2888","품목보고번호1993062500651","업소명현대약품(주)","품목유형혼합음료","유통/소비기한15개월","제품명아로골드D플러스","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","액상과당","사과농축액","결정과당","펙틴","구연산","구연산삼나트륨","비타민 C(고시형)","비타민 B1염산염(고시형)","비타민 B2(고시형)","이노시톨","","","","","","","","","","","11","12","13","니코틴산아미드","판토텐산칼슘","타우린","","","","14","15","16","17","18","19","20","21","수크랄로스","드링크향","드링크향","오렌지향","정제수","비타민B6염산염","혼합제제","혼합제제","","드링크향S110752","드링크향S040902","오렌지향H080305","","","비타민D3혼합제제","비타민B12혼합제제"
"7","번호2887","품목보고번호19970570162348","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아로골드Mg","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","정제수","설탕","글루콘산마그네슘","사과농축액","비타민C","구연산","합성향료","수크랄로스","구연산삼나트륨","비타민B1염산염","","","","","","","시트러스향","","","","11","12","13","비타민B12혼합제제분말","비타민B6염산염","비타민D3혼합제제","","","","14","15",NA,NA,NA,NA,NA,NA,"합성향료","합성향료",NA,NA,NA,NA,NA,NA,"사과향 HF-AF-12001","사과향 HF-AF-19210",NA,NA,NA,NA,NA,NA
"8","번호2886","품목보고번호1993062500655","업소명현대약품(주)","품목유형혼합음료","유통/소비기한12개월","제품명아로골드Mg","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","설탕","글루콘산마그네슘","사과농축액","비타민 C(고시형)","구연산(무수)","혼합제제","수크랄로스","비타민 B1염산염(고시형)","비타민B6염산염","혼합제제","","","","","","비타민D3혼합제제","","","","비타민B12혼합제제","11","12","13","사과향","사과향","시트러스향","HF-AF19210","HF-AF12001","","14",NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"9","번호2885","품목보고번호20000614238279","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아로니아에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","아로니아농축액","백설탕","구연산","수크랄로스","비타민C","블루베리향","블루베리향","블루베리향","식용색소적색제40호","식용색소청색제1호","폴란드산, 65브릭스","","","","","에프씨아로마","삼정향료","MSC","","","11","12",NA,"정제수","구연산삼나트륨",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2884","품목보고번호201701471552","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명아로니아진액골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","액상과당","아로니아농축액","포도농축액","타우린","아로니아향","구연산","덱스트린","니코틴산아미드","DL-사과산","레드칼라",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","비타민 B1라우릴황산염(고시형)","수크랄로스","정제수",NA,NA,NA,"14","15",NA,NA,NA,NA,NA,NA,"비타민C","STEVIOSIDE 스테비오사이드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
