"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호5797","품목보고번호2009037514929","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명celltox water","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3","정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5796","품목보고번호20000614238304","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 꿀배에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","과.채가공품","사양벌꿀","설탕","배퓨레","","","4","5","6","7","8","9","10","수크랄로스","아세설팜칼륨","DL-사과산","비타민C","향료","식용색소황색제4호","정제수","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5795","품목보고번호198904450141022","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명delaffe 꿀유자레몬에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","레몬농축액","유자농축과즙액","설탕",NA,NA,NA,"4","5","6","7","8","9","10","사양벌꿀","수크랄로스","효소처리스테비아","구연산","구연산삼나트륨","비타민C","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","시트러스향 분말","허니향","유자향","정제수",NA,NA,NA,NA
"4","번호5794","품목보고번호20000614238539","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 레드자몽에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","자몽주스농축액","설탕","구연산삼나트륨","적자몽주스농축액","","","4","5","6","7","8","9","10","구연산","비타민C","향료","향료","수크랄로스","아세설팜칼륨","식용색소적색제40호","","","","","","","","11","12",NA,NA,"식용색소황색제4호","정제수",NA,NA,"","",NA,NA
"5","번호5793","품목보고번호20000614238537","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 매실사과에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","매실농축액","사과농축액","수크랄로스","","","","4","5","6","7","8","9","10","아세설팜칼륨","설탕","구연산","구연산삼나트륨","비타민C","혼합제제","카라멜색소 Ⅲ","","","","","","주정, 정제수, 천연향료, 합성향료, 프로필렌글리콜, 정백당, 트리아세틴, 카라멜색소Ⅳ","","11",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA
"6","번호5792","품목보고번호19890445014898","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명delaffe 블루레몬에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","레몬농축액","라임농축액","알룰로오스",NA,NA,NA,"4","5","6","7","8","9","10","구연산","수크랄로스","비타민C","아세설팜칼륨","시트러스향 분말","식용색소청색제1호","혼합제제",NA,NA,NA,NA,NA,NA,NA,"11","12",NA,NA,"혼합제제","정제수",NA,NA,NA,NA,NA,NA
"7","번호5791","품목보고번호20000614238536","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 제로 자몽허니블랙티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","정제수","에리스리톨","구연산","","","","4","5","6","7","8","9","10","향료","과.채가공품","홍차추출분말","사양벌꿀","구연산삼나트륨","비타민C","아세설팜칼륨","","적자몽농축액","","","","","","11","12","13",NA,"향료","수크랄로스","혼합제제",NA,"","","정제수, 규소수지, 소르비탄지방산에스테르, 글리세린지방산에스테르, 카르복시메틸셀룰로오스나트륨",NA
"8","번호5790","품목보고번호20000614238541","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 제로 피치얼그레이티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","복숭아농축액","홍차추출분말","에리스리톨","","","","4","5","6","7","8","9","10","구연산","비타민C","향료","향료","향료","향료","수크랄로스","","","","","","","","11","12","13",NA,"아세설팜칼륨","혼합제제","정제수",NA,"","정제수, 규소수지, 글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","",NA
"9","번호5789","품목보고번호20000614238535","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명delaffe 제로 핑크레몬아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","정제수","에리스리톨","구연산","","","","4","5","6","7","8","9","10","혼합제제","향료","레몬농축액","구연산삼나트륨","비타민C","아세설팜칼륨","향료","정제수, 아라비아검, D-소르비톨액, 자당지방산에스테르, 글리세린, 정제가공유지, 주정","","","","","","","11","12","13","14","혼합제제","수크랄로스","홍차추출분말","식용색소적색제40호","천연향료, 자당지방산에스테르, D-소르비톨액, 아라비아검, 글리세린","","",""
"10","번호5788","품목보고번호198904450141017","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명delaffe 제로복숭아아이스티","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","복숭아농축액","홍차추출분말","에리스리톨","","","","4","5","6","7","8","9","10","수크랄로스","효소처리스테비아","구연산","구연산삼나트륨","혼합제제","비타민C","복숭아향","","","","","폼크린200","","","11","12",NA,NA,"홍차향","정제수",NA,NA,"","",NA,NA
