"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17","번호18","성분 및 원료18","비고18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29"
"1","번호2683","품목보고번호20000614238480","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아임e)수박에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","수박농축액","설탕","DL-사과산","비타민C","혼합제제","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","","","","","정제수, 아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","","","주정,프로필렌글리콜,합성향료,트리아세틴","주정,정제수,합성향료","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2682","품목보고번호20000614238484","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아임e)피치얼그레이","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","복숭아농축액","홍차추출분말","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","향료","향료","향료","향료","혼합제제","","","","","","","","","주정,합성향료,천연향료","","","정제수,규소수지,글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","13","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2681","품목보고번호19860443015344","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아임더닥터 콜라겐워터6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","콜라겐","자일리톨","복숭아농축액","레몬농축액","복숭아향","구연산(무수)","황금혼합추출물","효소처리스테비아","석류농축액","비타민C","우유단백질","","피쉬콜라겐","","","","합성향료","구연산","복합황금추출물","","","","밀크세라마이드","13","엘라스틴가수분해물","","14","15","16","17","알로에베라겔분말","비오틴 혼합분말","병풀추출","히알루론산","알로에베라겔200:1분말","","병풀추출물분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2680","품목보고번호20040275056908","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명아임뷰힐 알지뮨","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-아르지닌","프락토올리고당","석류농축액","히비스커스농축액","구연산","글루콘산아연","수박추출물","비타민C","펙틴","효소처리스테비아","석류향","","","","","히비스커스쥬스농축액","무수구연산","","수박과피추출물","","","스테비텐후레쉬","","13","생선콜라겐","피쉬콜라겐","14","15","16","17","황금혼합추출물","마카추출분말","비타민미네랄혼합분말","5종혼합유산균","복합황금추출물","","비타민미네랄믹스","","18","엽산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2679","품목보고번호20040275056489","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아임새콤청포도에이드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"정제수","갈색설탕","올리고당","청포도농축액","구연산(무수)","청포도향","구연산삼나트륨",NA,NA,NA,NA,NA,"","유기농황설탕","프락토올리고당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2678","품목보고번호20040275056488","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아임쏘리사과","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"정제수","올리고당","갈색설탕","사과농축액","과.채가공품","구연산(무수)","사과향","구연산삼나트륨",NA,NA,NA,NA,"","프락토올리고당","유기농황설탕","사과과즙농축액","당근혼탁농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2677","품목보고번호198804420041055","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명아임오케이","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","10","11","12","정제수","열대과일혼합농축액","덱스트린","프락토올리고당","기타가공품","백포도농축액","시트러스믹스농축과즙","기타가공품","HK표고버섯균사체(기능성원료인정제2010-35호)","과.채가공품","잔탄검","천연 레몬라임향","","","화이바솔-2L","올리고당","미배아대두발효추출물","","시트러스혼합농축액","수용성커큐민","","아스파라거스혼합발효즙","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2676","품목보고번호1987055800389","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명아임유어에너지","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","구연산","식염","구연산삼나트륨","기타가공품","염화칼륨","젖산칼슘","수크랄로스","메타인산나트륨","아세설팜칼륨","식용색소청색제1호","혼합제제","75 Bx","함수구연산","","","콜라겐","","","감미료","","감미료","착색료","후르츠믹스향 SF-36225","13","혼합제제","믹스후르츠향 HF-AF15853","14","15",NA,NA,"혼합제제","정제수",NA,NA,"시트러스향 SF-19188","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2675","품목보고번호20040275056487","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아임파인땡큐망고","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","설탕","망고퓌레","사과퓌레","기타과당","파인애플주스농축물","애플망고향","비타민C","구연산삼나트륨",NA,NA,NA,"","","망고퓨레","사과퓨레","액상과당","파인애플주스농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2674","품목보고번호20110084489529","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아주 나이스샷","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-아르지닌","프락토올리고당","구연산","사과농축액","혼합제제","오자농축액","분말결정포도당","혼합제제","과라나추출물분말","테아닌","효소처리스테비아","","","","함수구연산","풋사과농축액","아미노산혼합물","","함수결정포도당","청사과향","과라나추출분말","L-테아닌","","13","타우린","","14","15","16","17","니코틴산아미드","향료","곡류가공품","혼합제제","","천연레몬향","프루트맥스브라운900더블유에스","","18","혼합제제","비타민B12혼합제제","19","20","21","22","23","24","25","26","27","28","29","쌀배아추출물","비타민B6염산염","비타민B1염산염","비타민B2","수크랄로스","구연산삼나트륨","수박분말","L-카르니틴","오르니틴염산염","산화아연","글루콘산마그네슘","쌀배아추출액","","","","","","수박추출분말","","","",""
