"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호2663","품목보고번호20030211151122","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명아쿠아솔루션","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","홍삼농축액(고시형)","흰목이버섯추출액","프락토올리고당","석류농축액","Red grape농축액","타우린","생선콜라겐분말","구연산(무수)","자몽종자추출물","젖산칼슘","히알루론산","석류향","정제수","","","액상","","적포도농축액","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2662","품목보고번호201904130793","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일부터  12 개월","제품명아쿠아스 플레이버워터 복숭아","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"에리스리톨","비타민C","구연산","DL-사과산","구연산삼나트륨","정제소금","복숭아농축액","효소처리스테비아","복숭아향","정제수",NA,NA,NA,"","","","","구연산나트륨","","","스테비텐(Reb-D)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2661","품목보고번호2019041307912","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아쿠아스 플레이버워터 자몽","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"에리스리톨","비타민C","구연산","DL-사과산","구연산삼나트륨","정제소금","자몽농축액","효소처리스테비아","합성향료","합성향료","정제수",NA,NA,"","","","","구연산나트륨","","","스테비텐(Reb-D)","자몽향#10","자몽향#11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2660","품목보고번호2019041307943","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아쿠아스 플레이버워터 청포도","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"에리스리톨","비타민C","구연산","DL-사과산","구연산삼나트륨","정제소금","백포도농축액","효소처리스테비아","합성향료","합성향료","정제수",NA,NA,"","","","","구연산나트륨","","","스테비텐(Reb-D)","청포도향#6","청포도향#4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2659","품목보고번호200302570114","업소명(주)아너텍","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명아쿠아에이스","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"타우린0","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2658","품목보고번호20100543066875","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아쿠아이온밸런스","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","기타과당","합성향료","구연산","구연산삼나트륨","정제소금","DL-사과산","염화칼륨","합성향료","젖산칼슘","만니톨","자몽농축액","","","","그레이프후르츠향","","","국산","","","시트러스향","","","자몽청징농축액, 이스라엘산, 배합함량 : 자몽 100%, 자몽과즙으로 환원기준 : 0.036%","14","15","16","17","18","19","비타민C","염화마그네슘","감귤추출물","아라비아검","글루코노-δ-락톤","L-글루타민","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2657","품목보고번호20130415052250","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아쿠아콜라겐 3500","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","생선콜라겐","석류농축액","레몬농축액","석류향","과일혼합분말","프락토올리고당","이소말토올리고당","비타민C","엘라스틴가수분해물","효소처리스테비아","토마토추출물분말","우유단백질","","저분자피쉬콜라겐","","","석류향FAC-30713, 향료","베리믹스과일혼합분말","프락토올리고당F250","","","엘라스틴가수분해물분말","","화이트토마토추출분말","밀크세라마이드","14","15","16","17","18","19","병풀추출","구연산","황금혼합추출물","분말비타민A혼합제제","글리신","L-프롤린","병풀추출분말, 사용가능부위 : 잎","","복합황금추출물-2","분말비타민A아세테이트325혼합제제","","","20","21","22","23","24","25","유산균혼합분말","L-시스틴","건조효모","비오틴","판토텐산칼슘","히알루론산","뉴트리원5종혼합유산균","","","","",""
"8","번호2656","품목보고번호19990364004119","업소명블루원","품목유형혼합음료","유통/소비기한2년","제품명아쿠아헬리우스","분류식품","업체명","블루원","소재지","경기도 화성시 서신면 염전길 30-14(1동 1층,2층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"소프트","드링크","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2655","품목보고번호20040275056605","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아티초크 PRO 400","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"과채주스","대추농축액","감초농축액","펙틴","도라지농축액","홍삼농축액","헛개나무추출물분말","효소처리스테비아",NA,NA,NA,NA,NA,"아티초크액","","","펙틴JMJ","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2654","품목보고번호20040275056816","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아티초크 골드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","난소화성말토덱스트린(고시형)","히비스커스농축액","유자농축액","석류농축액","아티초크분말","타우린","비타민C","식품첨가물혼합제제","L-아르지닌","효소처리스테비아","L-카르니틴","자몽종자추출물","","","히비스커스쥬스농축액","","","아티초크추출분말","","","히비스커스향","","","","","14","15","16",NA,NA,NA,"비타민B1염산염","비타민B6염산염","니코틴산아미드",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
