"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호2623","품목보고번호20100543066194","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명알로에 스탠다드 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라겔절편","알로에분말","액상과당","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","수크랄로스","베타카로틴(고시형)","적양배추색소","망고향","망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2622","품목보고번호20100543066193","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명알로에 스탠다드 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"알로에베라겔절편","알로에","액상과당","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","수크랄로스","레드칼라","복숭아향","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2621","품목보고번호20100543066192","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명알로에 스탠다드 파인애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라겔절편","알로에분말","액상과당","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","탄산칼슘","수크랄로스","베타카로틴(고시형)","카라멜색소","파인애플향","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","정제수",NA,NA,NA,NA,NA,NA,NA
"4","번호2620","품목보고번호20100543066148","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명알로에 요거트 딸기","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라잎(껍질제외)","절편","식물성유산균분말","혼합탈지분유","딸기농축액","백설탕","벌꿀","대두다당류","구연산","구연산삼나트륨","스크랄로스","펙틴","강력드라이이스트골드","딸기에센스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","딸기향",NA,"16","17","요구르트향","정제수",NA,NA
"5","번호2619","품목보고번호20100543066145","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명알로에 요거트 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라잎(껍질제외)","절편","식물성유산균분말","혼합탈지분유","망고농축액","백설탕","벌꿀","대두다당류","구연산","구연산삼나트륨","수크랄로스","펙틴","강력드라이이스트골드","강력옥수수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","망고향",NA,"16","17","요구르트향","정제수",NA,NA
"6","번호2618","품목보고번호20100543066146","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명알로에 요거트 코코넛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라잎(껍질제외)","절편","식물성유산균분말","혼합탈지분유","코코넛 주스","백설탕","벌꿀","대두다당류","구연산","수크랄로스","피나콜라다향","코코넛향","요구르트향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2617","품목보고번호20100543066147","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명알로에 요거트 파인애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라잎(껍질제외)","절편","식물성유산균분말","혼합탈지분유","파인애플농축액","백설탕","벌꿀","대두다당류","구연산","구연산삼나트륨","수크랄로스","펙틴","강력드라이이스트골드","식용색소황색4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","파인애플향",NA,"16","17","요구르트향","정제수",NA,NA
"8","번호2616","품목보고번호19960458039665","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에 음료","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","설탕","알로에베라겔즙","덱스트린","구연산","젖산칼슘","알로에베라겔농축분말","비타민C","구연산삼나트륨","탄산칼슘","젤란검","혼합제제","혼합제제","혼합제제","","","","","","","100:1, 알로에베라겔로 7%","","","","","치자그린-비에스엘","드링크에센스 K-70188","화이트그레이프에센스","15","혼합제제","청포도향 FAC-04041",NA,NA,NA,NA,NA,NA
"9","번호2615","품목보고번호20110149027319","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에 저분자 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"알로에농축액","청포도농축액","생선콜라겐펩타이드분말","비타민C","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2614","품목보고번호1986044301562","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명알로에 주스(Aloe Juice)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"알로에베라겔분말","가시오갈피농축액","카라겔","황금복합추출물","자일로올리고당","프락토올리고당","프로폴리스추출물(고시형)","구연산","시클로덱스트린","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
