"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12"
"1","번호2574","품목보고번호1988044200445","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명알로에사랑","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","알로에베라(고시형)","청포도즙","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2573","품목보고번호19930571069444","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에샘 석류","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","알로에베라겔주스","사양벌꿀","구연산","","","함수","4","5","6","7","8","9","10","11","12","구연산삼나트륨","비타민C","젤란검","젖산칼슘","오렌지추출물","시트러스향","식용색소적색제40호","석류향","정제수","","","","","","","","",""
"3","번호2572","품목보고번호20100543066803","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에석류맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","정제수","알로에베라겔즙","백설탕","","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","","4","5","6","7","8","9","10","11","12","과.채가공품","구연산","젖산칼슘","합성향료","혼합제제","젤란검","구연산삼나트륨","수크랄로스","기타과당","알로에베라겔파우더, 멕시코산, 알로에로 환산시 15%","","","석류향","코치닐추출색소, 적양배추색소, 덱스트린","","","감미료",""
"4","번호2571","품목보고번호2021055909212","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","알로에겔고형분","구연산","젖산칼슘","알로에겔","","","4","5","6","7",NA,NA,NA,NA,NA,"에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA
"5","번호2570","품목보고번호20100543066801","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에오리지널","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","정제수","알로에베라겔즙","백설탕","","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","","4","5","6","7","8","9","10","11",NA,"젖산칼슘","구연산","합성향료","과.채가공품","젤란검","기타과당","구연산삼나트륨","수크랄로스",NA,"","","포도향","알로에베라겔파우더, 멕시코산, 알로에로 환산시 14%","","","","감미료",NA
"6","번호2569","품목보고번호20100543066571","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET, CAN : 제조일로부터 24개월","제품명알로에음료","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","정제수","알로에베라겔즙","알로에베라겔분말","","태국산/알로에베라겔절편,알로에베라겔즙액주스,구연산","100:1(알로에베라겔파우더200:1 50%, 덱스트린50%)","4","5","6","7","8","9","10","11",NA,"액상과당","백설탕","구연산","젖산칼슘","구연산삼나트륨","수크랄로스","젤란검","합성향료",NA,"","","","","","","","포도향,알로에향",NA
"7","번호2568","품목보고번호2007062004730","업소명주식회사 일백","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에즙","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2",NA,"알로에베라겔즙","프락토올리고당",NA,"알로에베라겔즙[멕시코/알로에베라겔절편50%,알로에베라겔주스49.9%,구연산0.0983%,무수아황산0.0017%]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2567","품목보고번호2007062004751","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24개월","제품명알로에콜라겐젤리스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","알로에혼합추출물","프락토올리고당","생선콜라겐","고형분1%이상/100%남해산","","","4","5","6","7","8","9","10",NA,NA,"청포도농축액","덱스트린","검 베이스 혼합제제","사과농축액","청포도향","구연산","효소처리스테비아",NA,NA,"","말토덱스트린(국산)","","","","","",NA,NA
"9","번호2566","품목보고번호2002062300919","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한CAN- 제조일로부터 24개월, 유리병.PET- 제조일로부터 18개월","제품명알로에플러스","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","알로에베라겔즙액함유절편","구연산","액상과당",NA,NA,NA,"4","5","6","7","8","9","10",NA,NA,"알로에향","구연산삼나트륨","젖산칼슘","비타민C","젤란검","스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2565","품목보고번호20110149027360","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로타임 알로에 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","알로에베라겔즙","생선콜라겐펩타이드분말","로커스트콩검",NA,NA,NA,"4","5","6","7","8","9",NA,NA,NA,"잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
