"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15"
"1","번호2444","품목보고번호2007055811125","업소명농업회사법인주식회사 한농","품목유형혼합음료","유통/소비기한6개월","제품명엄마손맛식혜","분류식품","업체명","농업회사법인주식회사 한농","소재지","경상북도 문경시 농암면 승리동길 9","1","2","3","4","엿기름","멥쌀","백설탕","정제수","","","정백당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2443","품목보고번호199805601327","업소명미래참푸드","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명엄마애(愛)참식혜","분류식품","업체명","미래참푸드","소재지","경상북도 경산시 압량읍 내리길19길 53-8","1","2","3","4","엿기름","멥쌀","백설탕","정제수","대맥70%(국산), 소맥30%(미국산)","국산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2442","품목보고번호199805601325","업소명미래참푸드","품목유형혼합음료","유통/소비기한60일","제품명엄마야참식혜","분류식품","업체명","미래참푸드","소재지","경상북도 경산시 압량읍 내리길19길 53-8","1","2","3","4","엿기름","멥쌀","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2441","품목보고번호2020061408394","업소명(주)정옥","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명엄마의 단술","분류식품","업체명","(주)정옥","소재지","경상남도 하동군 진교면 관곡송림길 8","1","2","3","4","정제수","엿기름","설탕","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2440","품목보고번호20200614083100","업소명(주)정옥","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명엄마의 수정과","분류식품","업체명","(주)정옥","소재지","경상남도 하동군 진교면 관곡송림길 8","1","2","3","4","정제수","갈색설탕","계피","생강",NA,NA,NA,NA,"5","대추",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2439","품목보고번호1992044300347","업소명(주)팔도","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명엄마의 정성을 담은 식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","엿기름추출액","고형물","백설탕","멥쌀","고형물 6.5%이상","","","","5","생강추출액","","6","7","8","9","10","11","12","13","14","효소처리 스테비아","시트러스추출분말","출분말","알파아?라아제","α-아밀라아제","알파아?라아제","비타민C","정제수","α-아밀라아제","","","","","펑가밀(Fungamyl 800 L)","","","","BAN 480L",NA,NA,NA
"7","번호2438","품목보고번호20110149027257","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엄마의마음 석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","석류농축액","생선콜라겐","로커스트콩검","잔탄검","65 brix, 스페인산","베트남산","","","5","분말한천(고시형)","","6","7","8","9",NA,NA,NA,NA,NA,"타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2437","품목보고번호20110149027258","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엄마의마음 타트체리콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","체리농축액","콜라겐","로커스트콩검","잔탄검","타트체리농축액, 터키산","피쉬콜라겐, 베트남산","","","5","분말한천(고시형)","","6","7","8","9",NA,NA,NA,NA,NA,"타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2436","품목보고번호20160211126124","업소명강화 농가의 부엌 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명엄마의손맛 옛날식혜","분류식품","업체명","강화 농가의 부엌 영농조합법인","소재지","인천광역시 강화군 불은면 중앙로 742-2(L동 1층 농업기술센터)","1","2","3","4","정제수","설탕","쌀","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2435","품목보고번호19960458039214","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명엄마의정성을담은알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","정제수","백설탕","알로에베라겔즙","알로에베라겔농축분말","","","","100:1(알로에베라겔로서 33%)","5","구연산","","6","7","8","9","10","11","12","13","14","혼합제제","혼합제제","혼합제제","젖산칼슘","탄산칼슘","젤란검","비타민C","구연산삼나트륨","혼합제제","드링크에센스 K-70188","화이트그레이프에센스","청포도향 FAC-04041","","","","","","치자그린-비에스엘","15","스테비올배당체",""
