"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","성분 및 원료6","성분 및 원료7","비고6","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2404","품목보고번호2013037221939","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명에노스&뉴카노스","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","산화칼슘","퉁퉁마디","미역귀","고구마줄기","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2403","품목보고번호2013037221937","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명에노스&미가엘미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","탄산나트륨","탄산칼륨(고시형)","염화칼륨(고시형)","백설탕","정제수","","","","","","6","7","이산화규소","천연첨가물","","(아마란스 차가버섯 자실체 추출물, 보검선인장추출액, 쇠뜨기 추출물)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2402","품목보고번호2009037514910","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제품 상단 표시일까지","제품명에니 워터","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2401","품목보고번호2012057308054","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명에니펄진주수","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","3",NA,NA,"정제수","염화칼륨","혼합제제",NA,NA,"","","진주분말1%,사과산0.9%,구연산0.3%,프로필렌글리콜20%,정제수77.8%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2400","품목보고번호201005740066","업소명(주)큐비엠","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에뜨레 1500","분류식품","업체명","(주)큐비엠","소재지","경상북도 울릉군 북면 울릉순환로 2614","1","2",NA,NA,NA,"해양심층수미네랄탈염수","염화마그네슘",NA,NA,NA,"국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2399","품목보고번호201504901911","업소명주식회사지케이에이치","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명에바쎄","분류식품","업체명","주식회사지케이에이치","소재지","전라북도 정읍시 송산1길 142-37(송산동)","1","2",NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2398","품목보고번호20060392223299","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에버봄 디에스","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","정제수","자몽혼합농축액","D-소르비톨액","오렌지농축액","락티톨","","레드자몽혼합농축액(54Bx)","","","","6","7","구연산(결정)","난소화성말토덱스트린(고시형)","","","8","9","10","11","12","마테추출물분말","식물혼합추출물분말","유산균혼합분말","비타민C","탱자발효추출액","","식물혼합추출물분말-S(품목보고번호 20160119610)","9종알파혼합유산균","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2397","품목보고번호20060392223274","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에버봄 비비","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","정제수","포도과즙 혼합농축액","D-소르비톨액","락티톨","구연산(결정)","","청포도혼합농축액","","","","6","7","난소화성말토덱스트린(고시형)","치커리추출물","","치커리추출물이눌린","8","9","10","11","12","기타가공품","과.채가공품","마테추출물분말","녹차추출물분말가루","혼합제제","그린커피빈추출분말","풋사과추출분말","","","치자그린","13","14","15","16","17","18","19","비타민C","유산균혼합분말","식물혼합추출물분말","탱자발효추출액","침향나무수지가침착된수간목분말","프로바이오틱스(고시형)","프로바이오틱스(고시형)","","9종알파혼합유산균","식물혼합추출물분말-S,품목보고번호20160601196-10","","침향분말","Lactobacillus plantarum ATG","Lactobacillus plantarum ATG-K8"
"9","번호2396","품목보고번호20060392223298","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에버봄 애프터","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","정제수","크랜베리혼합농축액","D-소르비톨액","라즈베리농축액","락티톨","","","","","","6","7","구연산(결정)","마테추출물분말","","","8","9","10","11","12","아사이팜열매주스","비타민C","난소화성말토덱스트린(고시형)","유산균혼합분말","식물혼합추출물분말","","","","9종알파혼합유산균","식물혼합추출물분말-S(품목보고번호 20160119610)","13",NA,NA,NA,NA,NA,NA,"탱자발효추출액",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"10","번호2395","품목보고번호20060392223276","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에버봄 피티","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","정제수","홍삼혼합농축액","D-소르비톨액","고형차","레드비트농축액","","","","보이차추출분말","유기농","6","7","락티톨","구연산(결정)","","","8","9","10","11","12","난소화성말토덱스트린(고시형)","녹차추출물분말가루","레몬밤잎추출분말","마테추출물분말","비타민C","","","","","","13","14","15","16","17","18","19","유산균혼합분말","식물혼합추출물분말","탱자발효추출액","침향나무수지가침착된수간목분말","프로바이오틱스(고시형)","프로바이오틱스(고시형)","프로바이오틱스(고시형)","9종알파혼합유산균","식물혼합추출물분말-S,품목보고번호: 20160119610","품목보고번호:20140309120-7","침향분말","Lactobacillus plantarum ATG","Lactobacillus plantarum ATG-K8","Lactobacillus rhamnosus ATG"
