"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16"
"1","번호2324","품목보고번호19860443015553","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명엘릭솔 후코이단","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","정제수","기타발효음료","기타과당","기타 수산물가공품","기타가공품","황금혼합추출물","구연산","효소처리스테비아","","식물추출엑기스","액상과당","감태","감태 후코이단-엘(L)2","복합황금추출물","무수구연산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2323","품목보고번호20110149027420","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘아모르 ABC콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","과채주스","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","사과당근비트혼합농축액[63brix, 사과농축액(터키산) 40%, 당근농축액(터키산) 40%, 레드비트농축액(터키산) 20%","베트남산","","","","","","","9","10","히알루론산","엘라스틴가수분해물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2322","품목보고번호20110149027230","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘아모르 늙은호박 콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","늙은호박추출액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","20 brix, 국내산","","","","","","","","9","10","히알루론산","벌꿀","","","11","히비스커스분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2321","품목보고번호20110149027154","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘아모르 석류콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","65 brix, 스페인산","","","","","","","","9","10","히알루론산","엘라스틴","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2320","품목보고번호20110149027388","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘아모르 아르지닌 젤리 6000","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","L-아르지닌","구연산(무수)","청포도농축액","비타민혼합분말","비타민C","타우린","로커스트콩검","잔탄검","국내산","","스페인산","","","","","","9","10","분말한천(고시형)","타마린드검","","","11","카라기난","","12","13","L-카르니틴","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2319","품목보고번호20110149027299","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘아모르 타트체리 콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","체리농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","타트체리농축액, 터키산","피쉬콜라겐, 베트남산","","","","","","","9","10","히알루론산","엘라스틴","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2318","품목보고번호201001501444","업소명(주)제이알지코리아","품목유형혼합음료","유통/소비기한2년","제품명엘이엠엘(LEML:Life Energy Mineral Liqu)를 엘이엠엘(LEML:Life Energy Mineral Liqueur) 로 중국 전용 수출 제품으로 요청합니다(국내판매안함)","분류식품","업체명","(주)제이알지코리아","소재지","부산광역시 동래구 아시아드대로255번길 9(5층 온천동)","1","2",NA,NA,NA,NA,NA,NA,"정제수","식용진주수용액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2317","품목보고번호19890445014450","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18월","제품명엘키요마루바이탈","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","헛개나무열매추출농축액","효모추출분말","쌀배아대두발효분말","굴추출물분말","재첩추출물분말","밀크시슬추출물분말","덱스트린","결정과당",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","DL-사과산","비타민 B1(고시형)",NA,NA,"11","염삼염",NA,"12","13","비타민B2인산에스테르나트륨","니코틴산",NA,NA,"14","15","16","비타민B6염산염","갈근농축혼합액","정제수",NA,NA,NA
"9","번호2316","품목보고번호20090473152304","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월 까지","제품명엠뉴 레몬밤 시크릿드링크","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","과채주스","알룰로오스","수크랄로스","구연산","구연산삼나트륨","비타민 C(고시형)","식품첨가물혼합제제","식품첨가물혼합제제","레몬밤농축액","","","구연산(결정)","구연산나트륨","","레몬향","레몬밤향","9",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2315","품목보고번호20070358224875","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명엠뉴 매일 맑음","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","정제수","보이즌베리주스","사양벌꿀","블루베리농축액","아로니아농축액","배농축액","블루베리향","도라지농축액","","보이즌베리농축액","","","","","","","9","10","효소처리스테비아","비타민B1염산염","","","11","비타민C","","12",NA,"다시마농축분말",NA,"다시마추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
