"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","성분 및 원료20","비고20","번호21","성분 및 원료21","비고21"
"1","번호2204","품목보고번호20090473152344","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 24개월 까지","제품명오리지널 깔라만시 클렌즈","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","과채주스","프락토올리고당","사과농축액","당시럽류","생선콜라겐","구연산","비타민 B2(고시형)","아미노산혼합분말","고추추출물분말","정제수","칼라만시주스","","","메이플시럽","","","","아미노산믹스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2203","품목보고번호20110618121266","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명오리지널 선셋골드 깔라만시","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9",NA,"정제수","백설탕","음료베이스","혼합제제","구연산","펙틴","구연산삼나트륨","비타민C","카로틴",NA,"","","선셋골드 칼라만시","칼라만시향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2202","품목보고번호2020028014713","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오리지널 아몬드","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","정제수","캐슈견과","아몬드","설탕","바닐라빈","유산균","구연산칼륨","로커스트빈검","젤란검","레시틴","","베트남,미얀마","미국산","","","","","","","해바라기","11","정제소금","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2201","품목보고번호20150375129264","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오리진 아미네이드  N˚6 멜팅라인","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","정제수","콜라겐","드링크향","비타민C","프락토올리고당","프로테아제","과.채가공품","과라나추출물분말","사과맛분말","레몬맛분말","","","","","","브로멜라인","멜팅 콤플렉스","과라나추출분말","","","11","타우린","","12","13","14","15","16","17","18","19","비타민미네랄혼합제제","효소처리스테비아","L-시스틴","L-카르니틴","사과향분말","레몬향분말","밀크씨슬","비오틴","비타민미네랄믹스","","","","","레몬향분말H","","",NA,NA,NA,NA,NA,NA
"5","번호2200","품목보고번호20050332145131","업소명(주)천보바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명오리진 아미네이드 N˚6 GLU","분류식품","업체명","(주)천보바이오","소재지","경기도 남양주시 화도읍 경춘로2177번길 69","1","2","3","4","5","6","7","8","9","10","정제수","프락토올리고당","올리고당","콜라겐","아미노산혼합제제","사과맛분말","레몬맛분말","효소처리스테비아","글리신","L-프롤린","","분말","네오고스-피70(2016027504574)/(주)네오크레마익산공장","","","","","","","","11","L-아르지닌","","12","13","14","15","16","17","18","19","비타민C","구연산","사과향분말","레몬향분말","체리향분말","히알루론산","엘라스틴","비오틴","","","","","","","","","20","효모추출물","글루타치온20(20190559114181)/농업회사법인주식회사내츄럴엔",NA,NA,NA
"6","번호2199","품목보고번호20110084489484","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오리진포스 블랙마카 2000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","정제수","마카뿌리분말","대추야자농축액","사양벌꿀","복분자추출물분말","비수리분말","허니향","잔탄검","기타가공품","효소처리스테비아","","블랙마카분말","","","복분자추출분말","비수리농축분말","천연향료/천연허니향","","복합황금추출물","","11","쌀배아추출물","쌀배아추출액","12","13","14",NA,NA,NA,NA,NA,"녹용분말","혼합제제","흑마늘분말",NA,NA,NA,NA,NA,"녹용엑기스분말","비타민혼합제제","흑마늘농축분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2198","품목보고번호20090242118130","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오마뎅 단호박식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6","7",NA,NA,NA,"정제수","설탕","엿기름","쌀","과.채가공품","과.채가공품","생강",NA,NA,NA,"","","","","단호박 페이스트","단호박 분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2197","품목보고번호20090242118129","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오마뎅 우리쌀식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","설탕","엿기름","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2196","품목보고번호1983024201731","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오미자 감식초믹스","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9","10","기타과당","오미자추출액","올리고당","감식초","현미식초","설탕","구연산","스테비안45에스","카라멜색소 Ⅲ","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","DL-사과산",NA,"12","13",NA,NA,NA,NA,NA,NA,"사카린나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2195","품목보고번호2019056213160","업소명엠케이2바이오(MK2BIO)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오미자뱅쇼","분류식품","업체명","엠케이2바이오(MK2BIO)","소재지","경상북도 문경시 신기산단2길 39(신기동)","1","2","3","4","5","6","7","8","9","10","포도원액","정제수","백설탕","오미자청","프락토올리고당","퍼플칼라","천연향료(Pepper, white)","팔각향잎","천연 클로브향","천연향료(Cardamom seed(Cardamon))","","","","","","쉐이드","1910552","DR221207","22046045","YJ912","11","천연계피향","YJ914","12","13","14","15","16","17","18","19","천연향료(Ginger)","구연산","DL-사과산","홍차추출분말","정제소금","와인향","오미자향","천연향료(Cork, oak)","YJ911","","","","","DR8066C","DR8075B","1705416","20","황금추출물분말","","21","향료","막걸리향"
