"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호2014","품목보고번호2012057308050","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명울진해양암반수","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2013","품목보고번호20040275056693","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명울트라아르기닌5000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","정제수","L-아르지닌","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","프락토올리고당","구연산","레몬농축액","효소처리스테비아","블루베리농축액","세븐베리농축액","레몬향","마카추출분말","블루베리향","γ-시클로덱스트린","펙틴","황금혼합추출물","타우린","산화아연","","함수구연산","","","","","레몬향#6","","혼합제제","감마시클로덱스트린","펙틴JMJ","복합황금추출물","",""
"3","번호2012","품목보고번호2001043909833","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명울트라파인버블 (UFB)","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","정제수","산소","먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2011","품목보고번호19960458039589","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명웅진 내사랑 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"알로에베라겔즙","덱스트린","구연산","혼합제제","젖산칼슘","알로에베라겔농축분말","혼합제제","혼합제제","비타민C","탄산칼슘","구연산삼나트륨","젤란검","혼합제제",NA,"","","","드링크에센스 K-70188","","100:1(알로에베라겔로서 4%)","화이트그레이프에센스","청포도향 FAC-04041","","","","","치자그린-비에스엘",NA
"5","번호2010","품목보고번호19960458039322","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명웅진 내사랑 유자C","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","유자청징농축액","유자과즙","","","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"사과농축액","백설탕","덱스트린","비타민C","구연산","효소처리루틴","정제수","혼합제제류","치자황색소","혼합제제류","혼합제제류","천연향료",NA,NA,"","","","","","","","베타카로텐-엘","치자황색소100","유자후레바(SC-30947)","유자후레바(MF-120341)","천연유자향(SK-19-03162)",NA,NA
"6","번호2009","품목보고번호200703582241155","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명웅진 동충하초","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","배농축과즙","기타 농산가공품","","식물혼합농축액","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"기타가공품","대추추출농축액","정제수","액상차","기타가공품","기타가공품","구연산(무수)","효모식품","글루콘산아연","기타가공품","잔탄검","비타민C",NA,NA,"성재모동충하초추출물","","","영지혼합추출농축액","도라지농축액","상황버섯복합추출물","","맥주효모추출물","","인삼추출농축분말(인삼추출분말), 백미삼 100%","","",NA,NA
"7","번호2008","품목보고번호2019041307993","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명웅진 아침햇살","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","쌀추출액","현미추출액","고형분9%이상, 국산","고형분0.2%이상","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"백설탕","액상과당","식물성크림","덱스트린","자당지방산에스테르","글리세린호박산지방산에스테르","글리세린지방산에스테르","비타민C","혼합제제","혼합제제","정제수",NA,NA,NA,"","","식물성크림W","","P-1670","Almax-5100","Almax-1000","","현미후레바(2801128)","현미후레바(SC-130220)","",NA,NA,NA
"8","번호2007","품목보고번호19960458039393","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월(페트, 유리병) / 제조일로부터 24개월(캔)","제품명웅진 자연은 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","알로에베라겔농축분말","알로에베라겔즙","100:1(알로에베라겔로서 33%)","","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"백설탕","구연산","젖산칼슘","비타민C","구연산삼나트륨","탄산칼슘","젤란검","정제수","혼합제제","혼합제제","혼합제제","혼합제제","스테비올배당체",NA,"","","","","","","","","드링크에센스 K-70188","화이트그레이프에센스","청포도향 FAC-04041","치자그린-비에스엘","",NA
"9","번호2006","품목보고번호2012049904230","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명011워터","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2","지하수","산소",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2005","품목보고번호20070443110551","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한24개월","제품명워터라이트 비긴스","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","포도당","구연산칼륨","함수결정포도당","","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,"기타가공품","정제소금","구연산","구연산삼나트륨","수크랄로스","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,"제주용암해수 맑은소금 리퀴드","한주소금","","","","","",NA,NA,NA,NA,NA,NA,NA
