"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16"
"1","번호5722","품목보고번호19960458039548","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명가야농장 정성담은 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","알로에베라겔즙","알로에베라겔농축분말","구연산","젖산칼슘","젤란검","비타민C","구연산삼나트륨","혼합제제","혼합제제","혼합제제","혼합제제","","","","100:1(알로에베라겔로서 14%)","","","","","","그린칼라 K-3526/C","드링크 후레바 K-0806081","화이트그레이프후레바","청포도향 FAC-04041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5721","품목보고번호19920562023291","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명가야농장 정성담은 알로에","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라겔분말","알로에베라겔즙액함유절편","설탕","구연산","비타민C","젤란검","구연산삼나트륨","젖산칼슘","그린칼라","정제수","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","","","","","","","","","","청포도후레바","드링크후레바","화이트그레이프후레바",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5720","품목보고번호19960458039661","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명가야농장 정성담은 청포도","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","설탕","백포도농축액","덱스트린","구연산","혼합제제","혼합제제","스테비올배당체",NA,NA,NA,NA,NA,"","","68Brix","","","청포도향 K-110010","청포도향 1112030","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5719","품목보고번호20030563012112","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명가을대추100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13","대추엑기스","액상과당","효소처리스테비아","구연산","대추향","안식향산나트륨","사과농축액","구연산삼나트륨","니코틴산아미드","카라멜색소","글리신","비타민B2","정제수","국산, 65Brix","","","함수","합성착향료","합성보존료","72Brix, 국내산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5718","품목보고번호20110527046105","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명가족사랑 냉식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","백설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"국산","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5717","품목보고번호19890528010123","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명간개무량","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","올리고당","배농축과즙","구연산","밀크씨슬추출물","울금추출물분말","단풍당시럽","효모추출분말","심황색소","합성향료","효소처리스테비아","비타민 C(고시형)","","","프락토올리고당","Brix 72%","","밀크씨슬추출물에스","","Brix 65%","글루타치온 8% 함유","커큐민","벌꿀드링크향","스테비텐 리치","","14","15","16","오리나무농축액","헛개나무열매농축액","비타민B6염산염혼합제제","Brix 60%","Brix 65%",""
"7","번호5716","품목보고번호20050555180609","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명간신","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타발효음료","벌꿀","식물혼합농축액","소스류",NA,NA,NA,NA,NA,NA,NA,NA,"","[솔순발효원액(소나무잎55%,설탕45%)]","","[고형분60%이상]","[엘에스티10(음용수94.0%,인진쑥추출액3.0%,표고버섯추출액2.0%,홍삼농축액1.0%]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5715","품목보고번호201604562772","업소명(주)케이엔자임","품목유형혼합음료","유통/소비기한1년","제품명간큰친구","분류식품","업체명","(주)케이엔자임","소재지","충청남도 당진시 순성면 본리로 200-7","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타식물효소함유제품","한약추출액","에리스리톨","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5714","품목보고번호19860443015140","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월  실온","제품명간편안 인생","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","유산균발효다시마추출물","다크스위트체리농축액","아가베시럽","벌꿀","적포도농축액","감식초","매실농축액","결정과당","타우린","발효홍삼","체리향","자몽종자추출물","비타민B1염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15",NA,"비타민B6염산염","정제수",NA,NA,NA,NA
"10","번호5713","품목보고번호2009015604918","업소명(주)에이치비티","품목유형혼합음료","유통/소비기한12개월","제품명간편안땡큐","분류식품","업체명","(주)에이치비티","소재지","부산광역시 기장군 일광읍 횡계길 7(B동 102호 재부산테크노파크 해양생물산업육성센터)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"유산균발효다시마추출물(기능성원료인정제2011-22호)","과당","대추농축액","당시럽","구연산","프락토올리고당","타우린","자몽종자추출물","홍삼향","안식향산나트륨","정제수",NA,NA,"","","","카라멜당시럽","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
