"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15"
"1","번호1893","품목보고번호1987055800386","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명유어스 추억의 미숫가루","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","11","설탕","곡류가공품","두류가공품","카복시메틸셀룰로스나트륨","당류가공품","탄산수소나트륨","식염","합성향료","합성향료","혼합제제","정제수","","오곡분말","볶은콩분말","","밀크프리","","정제소금","미숫가루향 SF-38581","인절미향 SF-34240","보리향 HF-AH27229","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1892","품목보고번호20000614238475","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유어스 콜라겐 자두에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","자두농축액","기타가공품","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","안식향산나트륨","혼합제제","혼합제제","","크리스탈펄","","","","","","","","프로필렌글리콜,글리세린,주정,합성향료,트리아세틴,산도조절제","프로필렌글리콜,트리아세틴,합성향료,산도조절제,천연향료","12","13","14","15","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","주정,프로필렌글리콜,트리아세틴,합성향료,산도조절제","","",""
"3","번호1891","품목보고번호20000614238474","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유어스 콜라겐 청사과에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","기타가공품","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","안식향산나트륨","혼합제제","식용색소황색제4호","청사과농축액","크리스탈펄","","","","","","","","프로필렌글리콜,합성향료,주정,천연향료","","12","13",NA,NA,"식용색소청색제1호","정제수",NA,NA,"","",NA,NA
"4","번호1890","품목보고번호20000614238405","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명유어스 타트체리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","식품첨가물혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","타트체리쥬스농축액","","","","","","","타트체리향20064044","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1889","품목보고번호1987055800391","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명유어스 타트체리에이드 제로","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","11","식품첨가물","구연산","과.채가공품","구연산삼나트륨","기타가공품","식품첨가물","식품첨가물","식품첨가물","혼합제제","향료","향료","에리스리톨","함수구연산","타트체리농축액 (65'BX, 터키산)","","벚꽃추출분말","수크랄로스(감미료)","아세설팜칼륨","효소처리스테비아","레드파우더 YC-180006","벚꽃향 HF-AG11298","체리블라썸향 SF-37883","12","13",NA,NA,"향료","정제수",NA,NA,"시트러스향 SF-19188","",NA,NA
"6","번호1888","품목보고번호1987055800393","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명유어스 파인코코에이드","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","11","백설탕","과.채가공품","혼합제제","구연산","과.채가공품","식품첨가물","혼합제제","합성향료","합성향료","합성향료","정제수","","파인애플주스농축액, 65'Bx, 베트남산","유화제","함수구연산","코코넛크림파우더","수크랄로스","시트러스향","피나콜라다향","파인애플향","위스키향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1887","품목보고번호20070464094461","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명유어스 허니자몽블랙티","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9",NA,NA,"홍차추출분말","자몽농축액","사양벌꿀","설탕","구연산(무수)","비타민C","자몽향","곡류가공품","정제수",NA,NA,"","","","","","","","맥아추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1886","품목보고번호1987055800380","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명유어스 흑당밀크티","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","7","8","9","10","11","우유","설탕","혼합분유","당류가공품","기타과당","당류가공품","탄산수소나트륨","홍차추출분말","합성향료","합성향료","정제수","","","혼합탈지분유","흑당베이스","고과당(에프-55)","밀크프리","","","브라운슈가향(HF-BA11402)","흑당향(SF-31606)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1885","품목보고번호20140395066238","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명유이라 곤약젤리 깔라만시","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","과채주스","혼합제제","구연산삼나트륨","구연산","곤약분말","천연오렌지향","수크랄로스","비타민C",NA,NA,"","(깔라만시 원액)","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1884","품목보고번호20140395066237","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명유이라 곤약젤리 청포도","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10",NA,"정제수","혼합제제","곤약분말","구연산","청포도향","구연산삼나트륨","청포도농축액","수크랄로스","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
