"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호1773","품목보고번호202206831294","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월(실온)","제품명이지프로틴 초코","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","13","코코아분말","분리유단백","탈지분유","분리유단백분말","이소말토올리고당","난소화성말토덱스트린(고시형)","수크랄로스","혼합제제","카라기난","정제소금","초콜릿향","바닐라향","정제수","","미셀라카제인","","","","","","결정셀룰로스, 카라기난, CMC","","","","",""
"2","번호1772","품목보고번호1993062500656","업소명현대약품(주)","품목유형혼합음료","유통/소비기한12개월","제품명이지화이바","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"기타과당","폴리덱스트로스(고시형)","과당","구연산","오렌지향","구연산삼나트륨","비타민 C(고시형)","감귤추출물분말","오렌지향","락색소","정제수",NA,NA,"액상과당","","결정과당","","BD1-4022-5R","","","","NF9328","M6251","",NA,NA
"3","번호1771","품목보고번호2008033218043","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉동 1년","제품명이차돌식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕","프락토올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1770","품목보고번호2008033218047","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 6개월","제품명이천가든 전통쌀식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1769","품목보고번호2016035818920","업소명농업회사법인 태선F&B(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이천쌀 단호박 식혜","분류식품","업체명","농업회사법인 태선F&B(주)","소재지","경기도 이천시 대월면 대월로 734-47(1동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","백설탕","쌀","엿기름","호박",NA,NA,NA,NA,NA,NA,NA,NA,"천연광천수(먹는샘물)","","","","단호박",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1768","품목보고번호2016035818919","업소명농업회사법인 태선F&B(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이천쌀 식혜","분류식품","업체명","농업회사법인 태선F&B(주)","소재지","경기도 이천시 대월면 대월로 734-47(1동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","백설탕","쌀","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,"천연광천수(먹는샘물)","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1767","품목보고번호201703580236","업소명꿈꾸는 유니팜","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명이천쌀 식혜","분류식품","업체명","꿈꾸는 유니팜","소재지","경기도 이천시 장호원읍 복숭아로 16-3","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"정제수","쌀","엿기름","올리고당","백설탕","생강","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","이천쌀","","","","","",NA,NA,NA,NA,NA,NA
"8","번호1766","품목보고번호201703580232","업소명꿈꾸는 유니팜","품목유형혼합음료","유통/소비기한1년","제품명이천쌀로 만든 복숭아식혜","분류식품","업체명","꿈꾸는 유니팜","소재지","경기도 이천시 장호원읍 복숭아로 16-3","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","쌀","엿기름","과.채가공품류",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","이천쌀","","복숭아퓌레",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1765","품목보고번호2001043909844","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이투케어(E TWO CARE)","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","이산화규소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1764","품목보고번호19780614001240","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한(갠) 제조일로부터24개월 (PET) 제조일로부터 12개월","제품명이프로 부족할때 사과","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"사과청징농축액","Bx72.0","액상과당","구연산","구연산삼나트륨","사과향1","사과향2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
