"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15"
"1","번호1563","품목보고번호202307321144","업소명청 나라","품목유형혼합음료","유통/소비기한해당없음.","제품명장미에이드","분류식품","업체명","청 나라","소재지","전라남도 나주시 우정로 72(더클래스빌딩 7층 B호 빛가람동)","1","2","장미농축액","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1562","품목보고번호2017050927928","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한24개월","제품명장바다","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","해조류복합추출물","난소화성말토덱스트린(고시형)","해조류효소추출액","","3","4","5","6","7","8","9","10","폴리덱스트로스","프락토올리고당","D-소르비톨액","구연산","자몽종자추출물","잔탄검","비타민믹스혼합제제","아미노산혼합제제","","","","","","","","복합아미노산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1561","품목보고번호1989044501496","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명장수오가피동충하초","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","오가피추출액","눈꽃동충하초추출액",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"누에가루추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1560","품목보고번호2010049401816","업소명(주) 담수연","품목유형혼합음료","유통/소비기한제조일로부터 365일","제품명장수오미자차","분류식품","업체명","(주) 담수연","소재지","전라북도 완주군 양화로 129-31","1","2","오미자진액","사과농축액",NA,NA,"3","4","5","6","7","8","9",NA,"액상과당","구연산","잔탄검","멀티미타민B1","프로필렌글리콜","오미자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1559","품목보고번호2007037202235","업소명숭인내추럴팜 주식회사","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명장수해석류사랑","분류식품","업체명","숭인내추럴팜 주식회사","소재지","경기도 포천시 일동면 영일로764번길 57","1","2","석류농축액","프락토올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1558","품목보고번호2017050927938","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명장앤톡","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","해조류복합추출물","폴리덱스트로스","","","3","4","5","6","7","8","9","10","난소화성말토덱스트린분말(고시형)","프락토올리고당","D-소비톨액","구연산","자몽추출액","잔탄검","아미노산혼합분말","비타민혼합분말","화이바솔","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1557","품목보고번호202103731442","업소명(주)채일푸드","품목유형혼합음료","유통/소비기한12개월","제품명장인식혜","분류식품","업체명","(주)채일푸드","소재지","경기도 파주시 운정2길 45-5(가, 나동 상지석동)","1","2","설탕","쌀",NA,NA,"3","4",NA,NA,NA,NA,NA,NA,"정제수","맥아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1556","품목보고번호2013037221930","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명장케어플러스","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","천일염","보이차추출물분말","염화나트륨","보이차추출물","3","4","5",NA,NA,NA,NA,NA,"기타가공품","효소처리스테비아","정제수",NA,NA,NA,NA,NA,"맥스복합미네랄[탄산나트륨, 탄산칼륨, 염화칼륨, 규소수지]","스테비오사이드","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1555","품목보고번호20070464094451","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 까페리얼 꿀복숭아 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","복숭아농축액","과.채가공품","68Brix","배쥬스농축액(70Brix)","3","4","5","6","7","8","9","10","사양벌꿀","설탕","기타과당","구연산","비타민C","구연산삼나트륨","혼합제제","혼합제제","","","","","","","복숭아향","꿀향","11","12","13","14","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","시트러스향","","","",NA,NA,NA
"10","번호1554","품목보고번호20070464094450","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 까페리얼 딸기피치 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","복숭아농축액","딸기농축액","68Brix","","3","4","5","6","7","8","9","10","백포도농축액","설탕","기타과당","구연산","DL-사과산","비타민C","구연산삼나트륨","혼합제제","칠레산","","","무수구연산","","","","복숭아향","11","12","13","14","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제4호","딸기향","시트러스향","","","15","정제수",""
