"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호1503","품목보고번호2007055811124","업소명농업회사법인주식회사 한농","품목유형혼합음료","유통/소비기한12개월","제품명전통엄마손맛식혜","분류식품","업체명","농업회사법인주식회사 한농","소재지","경상북도 문경시 농암면 승리동길 9","1","2","3","4","엿기름","멥쌀","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1502","품목보고번호2009039717863","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한18개월(0~10℃냉장보관, -18℃이하 냉동보관)","제품명전통우리쌀식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4","멥쌀","정제수","엿기름","백설탕","유기농","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1501","품목보고번호201803789332","업소명(주)승혜식품","품목유형혼합음료","유통/소비기한제조일로부터 45일","제품명전통우리집식혜","분류식품","업체명","(주)승혜식품","소재지","경기도 김포시 양촌읍 불당로 54(가동)","1","2","3","4","쌀","백설탕","엿기름","정제수","국내산","국내산","국산","음용수","5","안식향산나트륨","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1500","품목보고번호20080358277256","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명전통음료베이스","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","백설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1499","품목보고번호19970464172340","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명전통홍삼","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","홍삼농축액","대추농축액","계피농축액","중국당귀농축물","","","","당귀농축액","5","액상과당","","6","7","8","9","10","11","12","13","14","15","카라멜색소","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","홍삼향","허브향","정제소금","덱스트린","정제수","","","","","","","","정제염","말토덱스트린","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1498","품목보고번호20090242118194","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명절미당 전통식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","정제수","설탕","엿기름","쌀",NA,NA,NA,NA,"5","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1497","품목보고번호19990364004114","업소명블루원","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명절세미인장미초","분류식품","업체명","블루원","소재지","경기도 화성시 서신면 염전길 30-14(1동 1층,2층)","1","2","3","4","정제수","이소말토올리고당","장미추출액","감발효초",NA,NA,NA,NA,"5","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1496","품목보고번호2019056448057","업소명농업회사법인(주)프레쉬벨","품목유형혼합음료","유통/소비기한1년 6개월","제품명젊은 기운 그대로 석류&복분자","분류식품","업체명","농업회사법인(주)프레쉬벨","소재지","경상북도 경산시 진량읍 대구대로 201(경북테크노파크 대구대특화센터 1111호)","1","2","3","4","정제수","설탕","프락토올리고당","석류농축액","","","","(석류 100%, 스페인산)","5","에리스리톨","","6","7","8","9","10","11","12","13",NA,NA,"복분자농축액","구연산","식물혼합발효액","산겨릅나무추출액","타우린","헛개나무농축액","석류향","효소처리스테비아",NA,NA,"(복분자추출액 93%, 국산)","","새싹보리유산발효액","(벌나무추출액 , 고형분 0.18%)","","(헛개나무열매 100%, 국산)","(합성향료)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1495","품목보고번호20060445110680","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명점프업","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","정제수","구연산칼슘","프락토올리고당","포도농축액","","","","","5","사양벌꿀","","6","7","8","9","10","11","12","13","14","15","구연산","L-아르지닌","포도향","오르니틴염산염","황기추출분말","비타민E혼합제제분말","효소처리스테비아","글루콘산아연","비타민C","초유분말","","","","","황기추출물분말","","","","","","16","17","18","19","20","21","22","구아검","비타민D3혼합제제분말","퍼플칼라","수크랄로스","비타민B12혼합제제분말","비타민B6염산염","체리농축분말","","","퍼플베리칼라","","","","타트체리농축분말"
"10","번호1494","품목보고번호202207244322","업소명썬푸드 주식회사","품목유형혼합음료","유통/소비기한냉동(-18℃이하) 1년, 해동후 냉장보관시 3일","제품명정가비법식혜","분류식품","업체명","썬푸드 주식회사","소재지","전라남도 나주시 교육길 13(스마트파크 지식산업센터 제씨동 403호 빛가람동)","1","2","3","4","정제수","멥쌀","찹쌀","엿기름","","국내산","국내산","국내산","5","설탕","","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"생강","둥굴레",NA,NA,NA,NA,NA,NA,NA,NA,"국내산","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
