"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호1147","품목보고번호2021055909218","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명체리액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","체리농축분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수","타트체리농축분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1146","품목보고번호20000614238493","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명체리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","체리농축액","설탕","음료베이스","구연산","구연산삼나트륨","비타민C","수크랄로스","","","","","","","","8","9","혼합제제","정제수","[프로필렌글리콜, 주정, 혼합제제2(합성향료, 프로필렌글리콜, 빙초산, 천연향료), 혼합제제3(주정, 프로필렌글리콜, 합성향료, 글리세린)]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1145","품목보고번호20180491044163","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명체리에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","정제수","백설탕","음료베이스","구연산","혼합제제","체리농축액","구연산삼나트륨","","","음료베이스(분말제품)/쿨-에이드 체리향(합성 체리향 0.07%함유),미국산","주용도:산도조절제","체리향AC19260","오스트리아산,65Br","주용도:산도조절제","8","9","비타민C","수크랄로스","","주용도:감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1144","품목보고번호200306143071391","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명체리에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","정제수","설탕","음료베이스","구연산","향료","과.채가공품","구연산삼나트륨","","","쿨에이드 체리향","","체리향","체리농축액","","8","9","비타민C","수크랄로스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1143","품목보고번호2014039506673","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장 60일, 냉동1년","제품명초록이단호박식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5",NA,NA,"멥쌀","엿기름","설탕","단호박퓌레","정제수",NA,NA,"유기농멥쌀","","유기농설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1142","품목보고번호200402945017","업소명미산식품","품목유형혼합음료","유통/소비기한6개월","제품명초록참나원","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","3","4",NA,NA,NA,"정제수","백설탕","엿기름","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1141","품목보고번호2004029450110","업소명미산식품","품목유형혼합음료","유통/소비기한6개월","제품명초록참나원","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","3","4",NA,NA,NA,"정제수","백설탕","엿기름","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1140","품목보고번호2016051811753","업소명녹차원(주)","품목유형혼합음료","유통/소비기한제조일로부터 730일 (24개월,2년)","제품명초록향매실","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","3","4","5","6","7","매실원액","액상과당","매실농축액","구연산","비타민C","매실향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1139","품목보고번호20070464094524","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명초유탄탄프로틴 패밀리","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","원유","설탕","카제인칼슘","덱스트린","분리대두단백","채종유(유채유 또는 카놀라유)","프락토올리고당","","","","말토덱스트린","","","","8","9","초유단백질","글리세린지방산에스테르","","알맥스 1000","10","11","12","13","14","15","16","17","18","젤란검","정제소금","제삼인산칼슘","비타민미네랄혼합분말","땅콩향","기타가공품","기타가공품","L-로이신","정제수","","","","","","씨트러스화이버","검은깨페이스트","",""
"10","번호1138","품목보고번호19970368029360","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명초이스엘 느리게만든수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","7","계피추출액","백설탕","기타설탕","소스류","소스류","합성향료","카라멜색소","","","흑설탕","살균제품, 생생강농축액(생생강추출액98.18%,말토덱스트린1.27%,정제염0.55%)","살균제품, 곶감엑기스(곶감농축추출액70%, 액상과당30%)","계피향","","8",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
