"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16"
"1","번호997","품목보고번호20100543066402","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명코코팜 화이트 요구르트","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","나타드코코","요구르트분말","탈지분유","구연산","대두","구연산","합성착향료","혼합제제","당시럽","","나타드코코젤리 80%, 백설탕, 구연산","요구르트베이스(탈지분유,백설탕,구연산,유산균)","","","대두다당류","구연산삼나트륨","요구르트향,혼합과일향,우유향","타피오카전분시럽, 유화제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호996","품목보고번호20020623009988","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터:PET(9개월까지) / CAN(12개월까지)","제품명코코팜 화이트 요구르트","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9",NA,"정제수","당시럽","식품첨가물혼합제제","과.채가공품","탈지분유","식품첨가물혼합제제","식품첨가물혼합제제","대두","음료베이스",NA,"","67% 고형분","요구르트 베이스(백설탕, 탈지분유, 구연산, 유산균)","나타드코코(나타드코코 젤리 80%, 백설탕, 정제수, 구연산)","","아와브레이크(타피오카전분시럽,글리세린지방산에스테르,d-토코페롤(혼합형))","코코팜 화이트 요구르트 원제 제1A부","대두다당류","코코팜 화이트 요구르트 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호995","품목보고번호19920562023306","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명코코팜 화이트 요구르트","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9",NA,"샤베트믹스","당시럽","탈지분유","두류가공품","식품첨가물혼합제제","식품첨가물혼합제제","정제수","음료베이스","과.채가공품류",NA,"요구르트베이스","67% 고형분","","대두다당류","아와브레이크","코코팜 화이트 요구르트 원제 제1A부","","코코팜 화이트 요구르트 원제 제2부","나타드코코",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호994","품목보고번호19710570001503","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12월","제품명코코팜 화이트 요구르트-스쿨","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7","8","9","10","요구르트베이스","나타드코코","정제수","당시럽","탈지분유","구연산","대두다당류","구연산삼나트륨","아세설팜칼륨","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","합성착향료","소포제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호993","품목보고번호19710570001491","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12월","제품명코코팜 화이트요구르트","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7","8","9",NA,"요구르트베이스","나타드코코","정제수","당시럽","탈지분유","대두다당류","식품첨가물혼합제제","식품첨가물혼합제제","음료베이스",NA,"백설탕,탈지분유,구연산,유산균","나타드코코젤리80%,백설탕,정제수,구연산","","67%고형분","","","아와브레이크","코코팜 화이트 요구르트 원제 제1A부","코코팜 화이트 요구르트 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호992","품목보고번호19710570001513","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12월","제품명코코팜라이트포도","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7","8","9","10","백포도농축과즙","나타드코코","정제수","백설탕","구연산","구연산삼나트륨","비타민C","아세설팜칼륨","수크랄로스","착향료(포도향)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호991","품목보고번호19710570001504","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24월","제품명코코팜포도","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6",NA,NA,NA,NA,"청포도농축과즙","나타드코코","정제수","당시럽","식품첨가물혼합제제","음료베이스",NA,NA,NA,NA,"68bx(청포도과즙으로3%)","나타드코코젤리80%,백설탕,정제수,구연산","","67%고형분","코코팜 포도 원제 제1A부","코코팜 포도 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호990","품목보고번호19980449002509","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한금속캔 : 제조일로부터 24개월까지 /  합성수지제 : 제조일로부터 12개월까지","제품명코코팜포도","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7",NA,NA,NA,"청포도농축과즙","나타드코코","당시럽","식품첨가물혼합제제","구연산삼나트륨","음료베이스","정제수",NA,NA,NA,"","","","코코팜 포도 원제 제1A부","","코코팜 포도 원제 제2부","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호989","품목보고번호20020623009132","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명코티즌알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","알로에베라겔즙","함유절편","액상과당","구연산","벌꿀","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호988","품목보고번호2006039411279","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명콜디션골드","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3","4","5","6","7","8","9","10","기타가공품","과.채가공품","물엿","프락토올리고당","키위과즙","자일리톨","추출가공식품","갈대뿌리줄기추출분말","비타민 C(고시형)","식용달팽이추출물분말","저분자피쉬콜라겐","타트체리농축액","저당","","키위과즙분말","","붕어추출물","갈대뿌리추출분말","","식용달팽이추출분말","11","12","효소처리스테비아","DL-메티오닌","","","13","14","15","16","잔탄검","타우린","기타가공품","정제수","","","복합황금추출물",""
