"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호897","품목보고번호2017037259072","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월 이내","제품명타트체리젤리","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","정제수","과.채가공품","프락토올리고당","포도당","혼합제제","체리향","구연산","생선콜라겐","히알루론산","수크랄로스","기타가공품","","타트체리착즙액","","","푸드겔H-A","","","피쉬콜라겐","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호896","품목보고번호20170614111290","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명탐나는 석류콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,NA,NA,"석류농축액","생선콜라겐분말","로커스트콩검","카라기난","잔탄검","분말한천(고시형)","타마린드검",NA,NA,NA,NA,"고형분40%","피쉬분말","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호895","품목보고번호20170614111291","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명탐나는 타트체리콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,NA,NA,"체리농축액","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,NA,NA,"고형분40%,타트체리100%)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호894","품목보고번호2018049100866","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월(1년)","제품명탐미유 내 사과를 받아줘","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","10","11","과당","백설탕","사과농축액","DL-사과산","구연산(무수)","구연산삼나트륨","사과향","비타민E","수크랄로스","혼합제제","정제수","","","","","","","SF-38325","","","로커스트콩검, 젤란검, 잔탄검, 젖산칼슘, 구연산나트륨, 카라기난","","12","13","울금덩이뿌리","혼합제제비타민B","","",NA,NA,NA
"5","번호893","품목보고번호2018049100868","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월(1년)","제품명탐미유 내가 보고시포도 참아","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","10","11","과당","포도농축액","DL-주석산","비타민C","구연산(무수)","포도향","포도과피색소","비타민D3","수크랄로스","비타민A혼합분말","혼합제제","","","","","","SF-38333","SF-38474","","","","로커스트콩검, 젤란검, 잔탄검, 젖산칼슘, 구연산나트륨, 카라기난","12","13","정제수","혼합제제비타민B","","","14","울금덩이뿌리",""
"6","번호892","품목보고번호2018049100867","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월(1년)","제품명탐미유 널 사랑할 수박에","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","10","11","백설탕","수박농축액","구연산(무수)","구연산삼나트륨","수크랄로스","수박향","레드색소","카로틴색소","비타민B6염산염","비타민B12","혼합제제","","","","","","SF-38387","SC-38548","SC-38475","","","로커스트콩검, 젤란검, 잔탄검, 젖산칼슘, 구연산나트륨, 카라기난","12","13","정제수","혼합제제비타민B","","","14","울금덩이뿌리",""
"7","번호891","품목보고번호2018049100849","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명탐미유 미요트","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8",NA,NA,NA,"과당","백설탕","구연산","구연산삼나트륨","쌀향","혼합제제","정제수","혼합음료",NA,NA,NA,"","","","","","제이단ES-1018","","삼성농원발효식혜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호890","품목보고번호202206830832","업소명농업회사법인 주식회사 삼성농원 제2공장","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월","제품명탐미유 미요트","분류식품","업체명","농업회사법인 주식회사 삼성농원 제2공장","소재지","전라북도 익산시 반월길 27(1~2층 월성동)","1","2","3","4","5","6","7","8",NA,NA,NA,"과당","백설탕","구연산(무수)","구연산삼나트륨","쌀향","식품첨가물혼합제제","기타발효음료","정제수",NA,NA,NA,"","","","","","젤란검, 잔탄검, 로커스트콩검, 젖산칼슘, 구연산삼나트륨, 카라키난, 포도당, 덱스트린, 제이인암모늄","유산균발효액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호889","품목보고번호2022068308314","업소명농업회사법인 주식회사 삼성농원 제2공장","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월","제품명탐미유 블루베리에이드","분류식품","업체명","농업회사법인 주식회사 삼성농원 제2공장","소재지","전라북도 익산시 반월길 27(1~2층 월성동)","1","2","3","4","5","6","7","8","9","10","11","기타과당","프락토올리고당(고시형)","블루베리농축액","비타민C","구연산(무수)","블루베리향","포도과피색소","비타민D3혼합제제분말","수크랄로스","분말비타민A혼합제제","혼합제제","","프락토올리고당분말","블루베리주스농축액","","","블루베리향#28","포도과피색소#1","","","","제이단es-1018","12","13","혼합제제","프로바이오틱스(고시형)","비타민B복합분말","혼합유산균알파","14","정제수",""
"10","번호888","품목보고번호2018049100873","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월(1년)","제품명탐미유 빠져빠져 너에게 빠져","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","과당","폴리덱스트로스","생선콜라겐","구연산","비타민C","수크랄로스","카로틴색소","감귤향","울금덩이뿌리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
