"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16","번호17","번호18","번호19","번호20","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고17","비고18","비고19","비고20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","번호36","번호37","번호38","번호39","번호40","번호41","번호42","번호43","번호44","번호45","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","성분 및 원료36","성분 및 원료37","성분 및 원료38","성분 및 원료39","성분 및 원료40","성분 및 원료41","성분 및 원료42","성분 및 원료43","성분 및 원료44","성분 및 원료45","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35","비고36","비고37","비고38","비고39","비고40","비고41","비고42","비고43","비고44","비고45"
"1","번호5462","품목보고번호20010515081478","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명그린덴마크 아몬드","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","혼합음료","정제소금","설탕","젤란검","탄산칼슘","구연산칼륨","레시틴","혼합제제","혼합제제","혼합제제","수크랄로스","나한과농축액","꽃이끼","기타가공품","정제수","아몬드추출액","","","","","","해바라기레시틴","볶은아몬드향","볶은아몬드향","볶은아몬드향","","몽크후르츠농축과즙","꽃이끼추출물","포스트바이오틱스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5461","품목보고번호20180491044250","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월(소비기한 선적용)","제품명그린드 아몬드 캘리","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","아몬드추출물","난소화성말토덱스트린분말(고시형)","정제수","당류가공품","땅콩 또는 견과류가공품","해조칼슘","너트향","기타소금","글리세린지방산에스테르","수산화마그네슘","레시틴","제3인산칼슘","두유향","제이인산칼륨","비타민C","아몬드액,고형분 2.5%이상","화이버솔","","마스코바도","아몬드프로틴파우더","아쿠아민에프","FC아로마,너트향#3(FC-127302)","히말라야 핑크솔트","Almax-1000","","대두레시틴","","FC아로마,두유향#3(FC-84301)","","","16","분리대두단백","Newpro180k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5460","품목보고번호19840415001377","업소명(주)정.식품","품목유형혼합음료","유통/소비기한7개월","제품명그린비아 멀티밸런스","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","원액두유","분리대두단백","콩기름(대두유)","글리세린지방산에스테르","덱스트린","난소화성말토덱스트린(고시형)","설탕","혼합제제","표고버섯엑기스분말","혼합제제","탄산칼슘혼합제제","제이인산칼슘","구연산칼륨","황산제일철","구연산삼나트륨","두류고형분 7%이상","","","","말토덱스트린","","","조류DHA추출유지","표고버섯추출물","비타민믹스-밸런스","","","","","","16","정제소금","","17","18","19","20","효모식품","합성향료","합성향료","정제수","효모식품(셀렌)","로스티드라이스향","바닐라너트향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5459","품목보고번호20010515081397","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명그린비아 키즈모아","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","카제인나트륨","농축유단백","분리대두단백","콩기름(대두유)","해바라기유","PALM MCT OIL","소르비탄지방산에스테르","글리세린지방산에스테르","염화콜린","덱스트린","식용유지가공품","초유단백분말","백설탕","프락토올리고당","비타민A혼합분말","","","","","","","","","","말토덱스트린","아라키돈산","CBP","","","","16","비타민B1염산염","","17","18","19","20","비타민B2","비타민B6염산염","비타민B12","비타민C","","","","","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","비타민D3","d-α-토코페릴아세테이트","비타민K1혼합제제","엽산","니코틴산아미드","비오틴","판토텐산칼슘","탄산칼슘혼합제제","제이인산칼슘","구연산칼륨","산화아연","황산제일철","염화마그네슘","염화칼륨","구연산삼나트륨","타우린","L-카르니틴","이노시톨","요오드칼륨","건조효모","황산망간","건조효모(셀렌함유)","바닐린","바닐라향","정제수","","비타민E초산에스테르","","","","0.0000036%","","","","","","","","","","","","M-이노시톨","","건조효모(Cu)","","","","",""
"5","번호5458","품목보고번호20010515081395","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명그린비아 프로틴밀 검은참깨","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","카제인나트륨","대두추출물","콩기름(대두유)","백설탕","분리대두단백","소르비탄지방산에스테르","글리세린지방산에스테르","덱스트린","비타민미네랄혼합제제","탄산칼슘혼합제제","제이인산칼슘","구연산칼륨","황산제일철","염화마그네슘","정제소금","","대두추출액(고형분7%)","","","","","","말토덱스트린(15-20)","비타민미네랄믹스-프로틴밀","","","","","","","16","검정깨페이스트","","17","18","19",NA,"검은깨향","난소화성말토덱스트린(고시형)","정제수",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5457","품목보고번호20010515081394","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명그린비아 프로틴밀 아몬드와 호두","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","카제인나트륨","대두추출물","콩기름(대두유)","백설탕","분리대두단백","소르비탄지방산에스테르","글리세린지방산에스테르","덱스트린","비타민미네랄혼합제제","탄산칼슘혼합제제","제이인산칼슘","구연산칼륨","황산제일철","염화마그네슘","정제소금","","대두추출액(고형분7%)","","","","","","말토덱스트린(15-20)","비타민미네랄믹스-프로틴밀","","","","","","","16","땅콩 또는 견과류가공품","호두혼합견과페이스트","17","18","19","20","호두향","호두향","난소화성말토덱스트린(고시형)","정제수","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5456","품목보고번호19840415001376","업소명(주)정.식품","품목유형혼합음료","유통/소비기한7개월","제품명그린비아 프로틴밸런스","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","원액두유","분리대두단백","콩기름(대두유)","글리세린지방산에스테르","덱스트린","난소화성말토덱스트린(고시형)","설탕","혼합제제","탄산칼슘혼합제제","제이인산칼슘","구연산칼륨","황산제일철","구연산삼나트륨","정제소금","합성향료","두류고형분 7%이상","","","","말토덱스트린","","","비타민믹스-밸런스","","","","","","","로스티드라이스향","16","합성향료","바닐라너트향","17",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5455","품목보고번호20100543066817","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명그린스무디","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","기타과당","백설탕","탈지분유","망고퓌레","사과농축액","키위농축액","샤베트믹스","카복시메틸셀룰로스나트륨","구연산","합성향료","두류가공품","구연산삼나트륨","정제소금","자당지방산에스테르","","","","혼합탈지분유(우유, 네덜란드산)","국산, 배합함량 : 망고 100%, 망고과즙으로 환원기준 : 1%","국산, 배합함량 : 사과 100%, 사과과즙으로 환원기준 : 6%","이탈리아산, 배합함량 : 키위 100%, 키위과즙으로 환원기준 : 3%","요구르트베이스","","","요구르트향, 골드키위향","대두다당류(대두)","","국산","","16","식용색소황색제4호","착색료","17","18",NA,NA,"식용색소청색제1호","혼합제제",NA,NA,"착색료","비타민C, 비타민E혼합제제, 니코틴산아미드, 비타민A혼합제제, 비타민B6염산염, 비타민B1염산염, 비타민B2, 엽산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5454","품목보고번호20130415052245","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명그린스토어 라임 액상","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"정제수","프락토올리고당","라임농축액","γ-시클로덱스트린","라임추출물","라임향","구연산","황금혼합추출물","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","프락토올리고당F250","","카바맥스더블유8","라임과피추출물","천연향료, 천연라임향","","복합황금추출물-2","레바텐프리미엄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5453","품목보고번호19860435013863","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명그린스토어프로콜라겐","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","콜라겐가수분해물","망고농축액","과당","열대과일혼합농축액","자일리톨","바나나추출분말","DL-사과산","파인애플향","오렌지향","히알루론산혼합제제","비타민C","효소처리스테비아","비오틴 혼합분말",NA,"","콜라겐펩타이드","(고형분 55%)","","(고형분 60%)","","","","(천연향료)","(천연향료)","","","","비오틴혼합제제(비오틴 1% 함유)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
