"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16"
"1","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","사과농축액","당근농축액","레드비트농축액","정제수","수크랄로스","구연산","에리스리톨","13brix","13brix","13brix","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","과채주스","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","사과당근비트혼합과즙액[63brix, 사과농축액(국산) 70%, 당근농축액(국산) 20%, 레드비트농축액(베트남산) 10%","베트남산","","","","","","8","9","염화칼륨","히알루론산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","7","정제수","사과농축액","프락토올리고당","레드비트농축액","당근농축액","덱스트린","생선콜라겐","","유기농사과100%","","유기농레드비트100%","유기농당근농축액100%","말토덱스트린","","8","9","검 베이스 혼합제제","구연산","","","10","11","시클로덱스트린","효소처리스테비아","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","알로에베라겔주스","알로에베라겔건조분말","백설탕","구연산","구연산삼나트륨","젖산칼슘","비타민C","알로에베라겔","알로에베라겔파우다","","구연산함수","","","","8","9","비타민B6염산염","비타민B12","","","10","11","덱스트린","젤란검","말토덱스트린","","12","13","14","15","16","β-카로틴","망고향","망고향","망고농축액","정제수","","18404","31570","",""
"5","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","고과당","알로에베라잎(껍질제외)","포도향","젖산칼슘","구연산","포도향","알로에베라겔 파우다",NA,NA,NA,NA,NA,NA,NA,"8","9","비타민C","젤란검",NA,NA,"10","11","구연산삼나트륨","산그린 LT",NA,NA,"12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","코코넛젤리","알로에베라파우더","젤란검","구연산삼나트륨","액상과당","구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","9","젖산칼슘","시트러스향",NA,NA,"10","11","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","브루베라농축액","젤란검","구연산삼나트륨","백설탕","구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","9","젖산칼슘","레드칼라",NA,NA,"10","11","지씨원칼라","블루베리향",NA,NA,"12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","업체명","주식회사 보성녹차인 1공장","소재지","전라남도 보성군 미력면 농공길 28-20","1","2","3","4","5","6","7","알로에베라(고시형)","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"8","9","젤란검","알로에향",NA,NA,"10","11","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","정제수","설탕","레몬농축액","구연산","혼합제제","혼합제제","구연산삼나트륨","","","65Brix","","레몬향 TF-37096","레몬향 K-171115","","8","9","비타민C","수크랄로스","","","10",NA,"식용색소청색제1호",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
