"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","알로에베라겔즙액함유절편","백설탕","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","알로에베라겔즙","함유절편","구연산","비타민-C O","구연산삼나트륨","젤란검","젖산칼슘","그린칼라","치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","수크랄로스","알로에향","정제수",NA,NA,NA,NA,NA,NA
"3","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","알로에베라겔즙액함유절편","백설탕","구연산","벌꿀","비타민C","구연산삼나트륨","젤란검","젖산칼슘","치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","레드칼라","석류향","정제수",NA,NA,NA,NA,NA,NA
"4","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6",NA,NA,NA,"정제수","프락토올리고당","칡발효액","자몽농축액","폴리덱스트로스","사과농축액",NA,NA,NA,"","","칡발효원액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","업체명","주식회사오리온제주용암수","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-27(1,3층)","1","2",NA,NA,NA,NA,NA,NA,NA,"정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","주식회사오리온제주용암수","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-27(1,3층)","1","2",NA,NA,NA,NA,NA,NA,NA,"정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8",NA,"기타 수산물가공품","해양심층수미네랄농축수","연꽃씨앗(심)","연잎","으름덩굴","옥수수수염","계피","감초",NA,"후코이단추출물(고형분6%)국내산완도미역귀,정제수","","","","으름나무","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","업체명","도담 주식회사","소재지","충청남도 금산군 진산면 진산로 643","1","2","3","4","5","6","7","8","9","액상차","난황펩타이드","유산균발효추출분말","비타민 C 분말","가시오갈피농축액","대추농축액","매실농축액","지황농축액","프락토올리고당","스트렁049(품목제조보고번호20190086073106)","","(가바20%함유)","","고형분60%","고형분60%","고형분60%","고형분60%","","10","11","12","박하향","정제수","효소처리스테비아","","","",NA,NA,NA
"9","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","고과당","구연산","정제소금","자몽향","구연산삼나트륨","자몽향","DL-사과산","염화칼륨","자몽향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","젖산칼슘","화이트크라우디 J","글루코노-δ-락톤",NA,NA,NA,"13","염화마그네슘",NA
"10","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2",NA,NA,NA,NA,NA,NA,NA,"지하수","산소",NA,NA,NA,NA,NA,NA,NA,"(먹는물)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
