"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","결정과당","키토올리고당(고시형)","사과","알로에베라향","구연산","안식향산나트륨","비타민믹스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","업체명","농업회사법인(주)힐링팜","소재지","경상남도 거창군 남상면 밤티재로 1007(창고 : 남상면 수남로 1861-54)","1","2","3","4","5","6","7","8","정제수","신양벚나무열매농축과즙","프락토올리고당","시클로덱스트린시럽","상추추출물","보검선인장추출물분말","구연산","구연산삼나트륨","","타트체리농축액,터키산","","","상추추출분말","","","","9","10","L-테아닌(고시형)","비타민혼합제제","","멀티비타민혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","약모밀지상부농축액","기타과당","사과농축액","감추출농축액","헛개나무열매농축액","밀크씨슬추출물","구연산","구연산삼나트륨","어성초혼합농축액","","","","","","","","9","10","타우린","L-아스파라진","","","11","12","13","14","15","16","17","18","19","20","21","니코틴산아미드","비타민B1염산염","비타민B6염산염","비타민 C(고시형)","정제소금","시클로덱스트린시럽","녹차추출물분말가루","글리신","L-아르지닌","자몽향","정제수","","","","","","","","","","",""
"4","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","약모밀지상부농축액","기타과당","사과농축액","감추출농축액","헛개나무열매농축액","밀크씨슬추출물","구연산","구연산삼나트륨","어성초혼합농축액","","","","","","","","9","10","타우린","L-아스파라진","","","11","12","13","14","15","16","17","18","19","20","21","니코틴산아미드","비타민B1염산염","비타민B6염산염","비타민 C(고시형)","정제소금","시클로덱스트린시럽","녹차추출물분말가루","글리신","L-아르지닌","복숭아향","정제수","","","","","","","","","","",""
"5","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","알로에","절편","알로에분말","백설탕","액상과당","스크랄로스","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","젤란검","젖산칼슘",NA,NA,"11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","기타가공품","혼합제제","혼합제제","설탕","구연산(무수)","수크랄로스","식용색소청색제1호","정제수","게토레이원액A","게토레이원액B","게토레이원액C","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","정제수","설탕","구연산(무수)","혼합제제","혼합제제","수크랄로스","혼합제제","식용색소청색제1호","","","","게토레이원액A","게토레이원액B","","게토레이원액C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","혼합제제","혼합제제","혼합제제","설탕","구연산(무수)","수크랄로스","식용색소청색제1호","정제수","게토레이원액A","게토레이원액B","게토레이원액C","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,NA,NA,NA,NA,NA,"지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
