"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고19","비고20","비고21","비고22"
"1","번호4742","품목보고번호2011056501328","업소명농업회사법인 영양그린푸드(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레듀","분류식품","업체명","농업회사법인 영양그린푸드(주)","소재지","경상북도 영양군 일월면 주실1길 80","1","2","3","4","식물혼합추출물","올리고당","홍고추추출액","산수유추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4741","품목보고번호20110084489202","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명레드 객 GAC","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","정제수","목별열매주스","필리핀레몬열매퓨레","바나나농축액","","객쥬스/객주스","깔라만시퓨레","","5","6","7","8","9","10","11","파인애플농축액","에둘리스시계꽃주스","피타야열매퓨레","오렌지농축액","레드비트농축액","망고스틴열매농축액","자몽종자추출물","","패션프루츠주스/HPP 패션프루츠주스","적용과퓨레/냉동적용과퓨레","블러드오렌지농축과즙","","망고스틴농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4740","품목보고번호20100543066690","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레드 스무디","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","기타과당","백설탕","망고농축퓌레","","","","인도산,망고과즙으로환원기준1.2%","5","6","7","8","9","10","11","레드자몽농축액","딸기농축액","탈지분유","두류가공품","샤베트믹스","카복시메틸셀룰로스나트륨","혼합제제","이스라엘산,적자몽과즙환원기준으로2.8%","이스라엘산,딸기과즙환원기준으로2.7%","혼합탈지분유,우유,네덜란드산","대두다당류","요구르트베이스","","비타민C,E,A,B3,B2,B6,B1,엽산","12","13","14","15","16","17","18","구연산","구연산삼나트륨","정제소금","자당지방산에스테르","식용색소적색제40호","식용색소황색제5호","합성향료","","","국내산","","착색료","착색료","요구르트향,믹스베리향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4739","품목보고번호19890445014711","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월(실온)","제품명레드 크러쉬","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","석류과즙농축액","호프추출물","액상과당","백설탕","석류(이란산) Bx:65%기준, 석류과즙 환원시(Bx:12%기준) 10%","(호프:수입산, 고형분 0.2%","","","5","6","7","8","9","10","11","구연산","비타민C","식염","식용색소적색제40호","치자황색소","석류향","정제수","","","","합성착색소","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4738","품목보고번호19970464172260","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명레드갈-석류","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","흑마늘농축액","레드비트농축액","적포도농축액","구연산","유산균발효흑마늘농축액","","","","5","6","7","8","9","10","11","구연산삼나트륨","타우린","비타민B1염산염","판토텐산칼슘","니코틴산아미드","효소처리스테비아","자일리톨","","","","","","","","12","13",NA,NA,NA,NA,NA,"석류향","정제수",NA,NA,NA,NA,NA,"[합성(15P249(가향)]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4737","품목보고번호19970464172261","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명레드갈-자몽애플망고","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","흑마늘농축액","레드비트농축액","적포도농축액","구연산","유산균발효흑마늘농축액","","","","5","6","7","8","9","10","11","구연산삼나트륨","타우린","비타민B1염산염","판토텐산칼슘","니코틴산아미드","효소처리스테비아","자일리톨","","","","","","","","12","13","14",NA,NA,NA,NA,"애플망고향 st8014","자몽향","정제수",NA,NA,NA,NA,"합성[16M141(가향)]","합성[16G198(가향)]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4736","품목보고번호200603682149","업소명삼남매식품","품목유형혼합음료","유통/소비기한12개월","제품명레드비트식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","정제수","백설탕","엿기름","레드비트분말","","정백당","","","5",NA,NA,NA,NA,NA,NA,"쌀",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4735","품목보고번호20100376046190","업소명(주)한국지네틱바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레드엔젤진생베리드링크","분류식품","업체명","(주)한국지네틱바이오팜","소재지","경기도 연천군 백학면 장백로 877","1","2","3","4","정제수","분말결정포도당","인삼열매추출농축액","이산화탄소","","","사증사포 20brix (국산)","","5","6","7","8","9","10","11","타우린","구연산(무수)","합성향료","DL-사과산","과라나추출물분말","구연산삼나트륨","비타민C","","","패션후르츠향","","","","","12","13","14","15",NA,NA,NA,"수크랄로스","제3인산칼슘","식물혼합농축액","비타민B2",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4734","품목보고번호19880607021237","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레드오렌지 뷰티엔클","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","정제수","에리스리톨","오렌지농축액","생선콜라겐","","","블러드오렌지농축액(고형분40%)","","5","6","7","8","9","10","11","오렌지향코톤","구아검","카라기난","구연산","망고향분말","블러드오렌지향","곤약분말","","","","","","블러드오렌지향분말","","12","13","14","15","16","17","18","파인애플향분말","구연산삼나트륨","젖산칼슘","염화칼륨","잔탄검","오렌지추출물분말","효소처리스테비아","","","","","","레드오렌지추출물분말","","19","20","21","22","로커스트콩검","치커리식이섬유","폴리덱스트로스","수크랄로스","","","","감미료"
"10","번호4733","품목보고번호20030614307914","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명레드체리에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","정제수","액상과당","백설탕","체리농축액","","","","","5","6","7","8","9","10","11","구연산","합성착향료","구연산삼나트륨","비타민C","화학적합성품","식품첨가물혼합제제","수크랄로스","","체리향 엠에프-070464","","","식용색소적색제40호","분말 카라멜 색소","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
