"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호4612","품목보고번호2012057308048","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명리얼프랜드마시는미네랄리얼마미수600","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4611","품목보고번호2012057308049","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명리얼프랜드마시는미네랄리얼마미수플러스","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4610","품목보고번호20130415052241","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리에잇 프리미엄 콜라겐 7500","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","정제수","생선콜라겐","","저분자피쉬콜라겐300D","3","4","5","6","7","8","9","10","11","12","13","14","15","라즈베리농축액","프락토올리고당","이소말토올리고당","당류가공품","구연산","라즈베리향","브로콜리추출물","과채주스","잔탄검","황금혼합추출물","효소처리스테비아","스테비올배당체","두나리엘라추출물분말","라즈베리농축액HR","","뉴오리고","바이타민","","라즈베리향#3 SF-26381, 혼합제제","복합브로콜리추출물2","베지주스R","켈트롤","복합황금추출물-2","","","건조두나리엘라바디웰분말"
"4","번호4609","품목보고번호2016037232653","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한12개월","제품명리우먼 바이탈","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","혼합음료","기타가공품","리우먼 바이탈L[정제수,액상알룰로스,프락토올리고당,석류농축액,열대혼합과일농축액,망고농축액,시트러스혼합농축액,피쉬콜라겐펩타이드,젖산칼슘,베리쥬스]","바이탈 환[풀무원식물비타혼합분말,폴리감마글루탐산,정제수,쉘락에이엠,카나우바왁스,찹쌀분,비타민D3혼합제제,복합허브추출물C]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4608","품목보고번호2016037232652","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한12개월","제품명리우먼 바이탈L","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","정제수","당류가공품","정제수","액상알룰로스","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"프락토올리고당","과.채가공품","과.채가공품","과.채가공품","과.채가공품","기타가공품","식품첨가물","과.채가공품",NA,NA,NA,NA,NA,"프락토올리고당","석류농축액","열대혼합과일농축액","망고농축액","시트러스혼합농축액","피쉬콜라겐펩타이드","젖산칼슘","베리쥬스",NA,NA,NA,NA,NA
"6","번호4607","품목보고번호19860443015100","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월(실온보관)","제품명리재니캐어 레몬(Regeni Care Lemon)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","글루코사민","메틸설퍼닐메탄",NA,NA,"3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"콘드로이친황산염","스테비아추출물","액티브알로애","악마의발톱분말","미분구연산","비타민C","말토덱스트린","레몬향분말","레시틴","이산화규소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4606","품목보고번호20080395120537","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 300일","제품명리쥬브네이트 드링크","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","혼합제제","구연산","아미노산믹스10","함수구연산","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"구아검","아세설팜칼륨","수크랄로스","효소처리스테비아","향료","향료","혼합제제","혼합제제","정제수",NA,NA,NA,NA,"","","","","라즈베리향","","퍼플칼라","화이트크라우디","",NA,NA,NA,NA
"8","번호4605","품목보고번호20110618121261","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명리즈핏","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","정제수","자몽농축액","","스위트 자몽농축액 60Brix","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"난소화성말토덱스트린(고시형)","프락토올리고당","서양자두농축액","합성향료","구연산","유산균","유산균","비타민C","효소처리스테비아","자색고구마색소","포도농축액",NA,NA,"","","푸룬농축액(70Brix)","자몽향","","락토바실러스플란타럼","아시토플러스","","","","샤인머스켓농축액",NA,NA
"9","번호4604","품목보고번호20050555180723","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명리치 에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","정제수","설탕","","","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"리치농축","구연산","리치향","구연산삼나트륨","잔탄검","시트러스향","수크랄로스",NA,NA,NA,NA,NA,NA,"리치농축액","함수구연산","","","","","",NA,NA,NA,NA,NA,NA
"10","번호4603","품목보고번호2017055519560","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명리치 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","정제수","설탕","","","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"리치농축","구연산","리치향","구연산삼나트륨","잔탄검","시트러스향","수크랄로스",NA,NA,NA,NA,NA,NA,"리치농축액","함수구연산","","","","","",NA,NA,NA,NA,NA,NA
