"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","번호21","성분 및 원료21","비고21"
"1","번호5927","품목보고번호201205280133","업소명(주)우리물","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Q water(큐워터) 漁","분류식품","업체명","(주)우리물","소재지","전라남도 장성군 장성읍 단풍로 30","1","2","정제수","약모밀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5926","품목보고번호201205280135","업소명(주)우리물","품목유형혼합음료","유통/소비기한24개월","제품명Q water(큐워터) 美","분류식품","업체명","(주)우리물","소재지","전라남도 장성군 장성읍 단풍로 30","1","2","정제수","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5925","품목보고번호19970464172224","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명RACC숙취해소를위한신의한수오케이모닝","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","L-아르기닌","건조효모","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","타우린","비타민C","비타민B2","비타민B6염산염","엽산","비타민 B12 혼합제제분말","글루콘산아연","염화마그네슘","결정과당","구연산(무수)","트레할로스","효모추출분말","바나나농축액","과채주스","자몽종자추출물","발효홍삼농축액","천연블루베리향","정제수","","","","","","비타민B12혼합제제","","","","","","","","세븐베리농축액","","","","",NA,NA,NA
"4","번호5924","품목보고번호19990555093399","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명REDUP(레드업)","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","오미자추출액","분리유단백분말","","WPI","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","효소처리스테비아","수크랄로스","합성향료","혼합허브추출물","사양벌꿀","타우린","오미자발효추출액","식염","과라나추출물분말","비타민 B1(고시형)","콜라겐","비타민B6염산염","니코틴산아미드","염화마그네슘","염화칼륨","판토텐산칼슘","비타민 C(고시형)","식용색소적색제40호","","","오미자향","복합허브추출물","","","","","","","","","","","","","","","21","식용색소청색제1호",""
"5","번호5923","품목보고번호20130358242434","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명RKR 슈퍼콜라겐 드링크","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","정제수","생선콜라겐","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,"에리스리톨","사양벌꿀","펙틴","히알루론산혼합제제","구연산(무수)","DL-사과산","비타민B1염산염","아스파탐","팔라티노스","청포도향","키위향","비타민B6염산염","기타가공품","수크랄로스",NA,NA,NA,NA,"","","","","","","","","","","","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA
"6","번호5922","품목보고번호19920624042514","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Red Ginseng Plus Health Drink","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","액상과당","홍삼농축액",NA,NA,"3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"카라멜색소BA","구연산","홍삼향","혼합농축액","인삼향","헛개농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5921","품목보고번호19860443015170","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월  실온","제품명Red Ginseng Tonic Gold","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","홍삼농축액","","","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"프락토올리고당","시클로덱스트린시럽","폴리인산나트륨","펙틴","알로에베라겔분말","가시오갈피농축액","황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","분말","","","알로에베라겔 200:1분말","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5920","품목보고번호19920624042616","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명Rejoyce","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","백설탕","파인애플농축액","","","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"구연산","코코넛농축액","피나콜라다향","화이트크라우디","파인애플향","혼합제제","크림소다향","비타민C","구연산삼나트륨","파인애플향","천연카로틴엘","알로에분말","정제수",NA,NA,NA,NA,NA,"","","","","","코코넛크림소다향(SF-17444)","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5919","품목보고번호20010515081409","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명S-아르만씨 아르지닌워터","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","정제수","과.채가공품","","깔라만시원액","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"망고농축퓌레","오렌지농축액","L-아르지닌","타우린","베타인","구연산","레몬밤잎추출분말","효소처리스테비아","과.채가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","수박과피추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5918","품목보고번호201705180381","업소명참샘 유한회사","품목유형혼합음료","유통/소비기한365일(12개월,1년)","제품명SANARE","분류식품","업체명","참샘 유한회사","소재지","전라남도 고흥군 포두면 천마로 3408-112","1","2","정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
