"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호5742","품목보고번호2011049003447","업소명(유)신우 S&F","품목유형혼합음료","유통/소비기한12개월","제품명가나아이스초콜렛드링크","분류식품","업체명","(유)신우 S&F","소재지","전라북도 정읍시 고부면 고부농단길 30","1","2","3","4","5","6","7","8","9","코코아분말","백설탕","혼합분유","식품첨가물혼합제제","혼합제제","자당지방산에스테르","탄산수소나트륨","합성착향료","정제수","코코아분말(D-11-S)","","혼합분유(SMP8812)","말토덱스트린","혼합제제(Sunsoft K-230)","자당지방산에스테르(P-1570)","","합성착향료(초콜릿향)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5741","품목보고번호19780614001233","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명가나초코라떼","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","설탕","코코아분말","혼합분유","말토덱스트린","혼합제제","자당지방산에스테르","탄산수소나트륨","초콜릿향","천연향료(Vanilla)","","","","","Sunsoft K230","","","","","10","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5740","품목보고번호19930242053391","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명가나초코라떼","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9","설탕","코코아분말","혼합분유","덱스트린","혼합제제","자당지방산에스테르","탄산수소나트륨","합성향료","합성향료","","","","말토덱스트린","","","","코코아향","바닐라향","10","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5739","품목보고번호19780368002449","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월(실온)","제품명가나초콜렛드링크마일드","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","코코아분말","D-11-S","7.143BDD","혼합탈지분유","말토덱스트린","혼합제제","Sunsoft Super K-230","자당지방산에스테르","P-1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","탄산수소나트륨",NA,"11","12","13","코코아향","식물혼합농축액 Pmo-180","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5738","품목보고번호19940474018550","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명가네스 알파","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","L-아르지닌","기타과당","설탕","구연산","올리고당","농축사과과즙","벌꿀","이소말토올리고당","자일리톨","","","","","말토올리고당 G4","","","","","10","베타인","","11","12","13","합성향료","비타민C","과라나추출물분말","오렌지향","","과라나추출분말","14","15","16","17","18","19","20","21","22","23","합성향료","펙틴","타우린","효소처리스테비아","나한과농축액","비타민B2","비타민 B12 혼합제제분말","비타민B6염산염","정제수","기타가공품","과일향","","","","몽크후르츠농축과즙","","말토덱스트린,구연산나트륨,구연산,비타민B12, 합계 100%","","","미배아복합발효추출액"
"6","번호5737","품목보고번호202305620063","업소명농업회사법인가람농원주식회사","품목유형혼합음료","유통/소비기한1년","제품명가람농원 오미자주스","분류식품","업체명","농업회사법인가람농원주식회사","소재지","강원도 홍천군 서석면 군두리길 49-6","1","2",NA,NA,NA,NA,NA,NA,NA,"오미자청","정제수",NA,NA,NA,NA,NA,NA,NA,"자사제품 오미자청","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5736","품목보고번호200903553623","업소명가마골식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명가마골 전통식혜","분류식품","업체명","가마골식품","소재지","경기도 파주시 매바위길 184-20","1","2","3","4","5","6","7","8",NA,"백설탕","멥쌀","정제수","안식향산나트륨","구연산","곡류가공품","글리신","젖산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5735","품목보고번호200903553622","업소명가마골식품","품목유형혼합음료","유통/소비기한6개월(상온)","제품명가마골전통수정과","분류식품","업체명","가마골식품","소재지","경기도 파주시 매바위길 184-20","1","2","3","4","5","6","7","8","9","백설탕","기타설탕","계피나무껍질","생강","안식향산나트륨","구연산","젖산","글리신","정제수","","흙설탕","","","합성보존료","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5734","품목보고번호200903553621","업소명가마골식품","품목유형혼합음료","유통/소비기한6개월","제품명가마골호박식혜","분류식품","업체명","가마골식품","소재지","경기도 파주시 매바위길 184-20","1","2","3","4","5","6","7","8","9","엿기름","백설탕","멥쌀","정제수","안식향산나트륨","글리신","구연산","젖산","호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5733","품목보고번호19810606006502","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월까지","제품명가바라이스밸리","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7",NA,NA,"곡류가공품","곡류가공품","천일염","현미유","곡류가공품","천연향료","정제수",NA,NA,"가바현미알파분","가바쌀알파분","","","현미호분추출분말","천연바닐라추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
