"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호5702","품목보고번호2021055909229","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명감귤액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","감귤농축분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5701","품목보고번호20140395066287","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명감귤이 반한 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","정제수","기타과당","감귤농축액","에리스리톨","알룰로오스","구연산(무수)","카라기난",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","13","14","15","16","17","18","19","곤약분말","로커스트콩검","구연산삼나트륨","천연감귤향","젖산칼슘","염화칼륨","잔탄검","젤란검","수크랄로스","아세설팜칼륨","비타민C","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5700","품목보고번호1971061800184","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명감귤청 단호박 식혜","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5","6","7","서양호박","쌀","설탕","엿기름","정제수","태움용융소금","액상차","[단호박]","","","","","[천일염]","[감귤청]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5699","품목보고번호19970570162129","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명감발효초버몬트","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","감식초","액상과당","폴리덱스트로스","배농축액","사양벌꿀","드링크향","구연산",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","13","14","15","16","17",NA,NA,"구연산삼나트륨","젖산칼슘","비타민C","효소처리스테비아","니코틴산아미드","레드L-500색소","l-멘톨","비타민B2","정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5698","품목보고번호2007052007927","업소명농업회사법인(주)고려홍삼공사","품목유형혼합음료","유통/소비기한제조일로부터 2년 까지","제품명감식초드링크 몸사랑","분류식품","업체명","농업회사법인(주)고려홍삼공사","소재지","전라남도 화순군 무리길 1","1","2","3","4","5","6","7","감식초","액상과당","홍삼액","파인애플추출물","당근추출액","구연산","정제수","(총산농도2.6w/v%)","(50%)","(홍삼성분0.1mg/g)","(고형분1%)","(고형분1%)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5697","품목보고번호202001761477","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명감향 진 식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4",NA,NA,NA,"정제수","엿기름","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5696","품목보고번호202001761475","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명감향 진 호박식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5",NA,NA,"정제수","엿기름","찹쌀","서양호박","설탕",NA,NA,"","","","단호박","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5695","품목보고번호2020017614711","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명감향수정과식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","6","7","정제수","엿기름","찹쌀","계피","백설탕","생강","기타설탕","","","","","","","비정제사탕수수당","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5694","품목보고번호2020017614723","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 150일(냉장)","제품명감향수정과식혜(냉장)","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","6","7","정제수","엿기름","찹쌀","계피","백설탕","생강","기타설탕","","","","","","","비정제사탕수수","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5693","품목보고번호2020017614721","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 150일(냉장)","제품명감향진식혜(냉장)","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4",NA,NA,NA,"정제수","엿기름","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
