"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30"
"1","번호5632","품목보고번호2008056020030","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명경산대추 발효초","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","대추농축액","정제수","이소말토올리고당","액상과당","주정","사과농축액","구연산","비타민C","효소처리스테비아","10Brix 국산 경북경산","","","고과당","","72Brix 국산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5631","품목보고번호200805602005","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명경산맛나베대추초","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","대추엑기스","주정","사과농축액","구연산","비타민C","정제수","이소말토올리고당","액상과당","효소처리스테비아","","","","","","","","고과당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5630","품목보고번호2008033218011","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명경양식혜 400ml","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5629","품목보고번호19890445014816","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명경옥골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","숙지황등혼합농축액","사양벌꿀","식물혼합농축액","인삼농축액","액상과당","구연산","효소처리스테비아","구연산삼나트륨","카라멜색소","숙지황등혼합추출액","","","","","","","","","10","11","12","13","14","정제소금","잔탄검","안식향산나트륨","합성향료","정제수","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5628","품목보고번호20180379618207","업소명(주)세종바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명경희 황제 후코이단액VIP 골드600","분류식품","업체명","(주)세종바이오팜","소재지","경기도 김포시 대곶면 대곶로382번길 54","1","2","3","4","5","6","7","8","9","기타 수산물가공품","식물혼합추출물","대추농축액","감초농축액","시클로덱스트린","프락토올리고당","이소말토올리고당","효소처리스테비아","산삼배양근분말","자사품목보고, 후코이단추출물, 고형분 8.8%","고형분 20% 이상","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5627","품목보고번호19860443015190","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명경희 후코이단 1200","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3",NA,NA,NA,NA,NA,NA,"오카무라큰실말","개똥쑥추출물","어성초추출물",NA,NA,NA,NA,NA,NA,"후코이단혼합액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5626","품목보고번호19860443015192","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명경희후코이단 6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3",NA,NA,NA,NA,NA,NA,"오카무라큰실말","어성초추출물","개똥쑥추출물",NA,NA,NA,NA,NA,NA,"모즈쿠후코이단추출액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5625","품목보고번호20180491044194","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명계란 단백질 식사 코코아","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","우유","백설탕","채종유(유채유 또는 카놀라유)","분리대두단백","카제인칼슘","덱스트린","탈지분유","기타가공품","코코아분말","","","","수프로 661(분리대두단백)","","말토덱스트린","","엠피시 85","코코아 파우더 250-DP-11","10","11","12","13","14","당류가공품","L-로이신","제삼인산칼슘","탄산칼슘","초유분말","프락토 화이버","","","","","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","수산화마그네슘","혼합제제","자당지방산에스테르","자당지방산에스테르","혼합제제","난백액","제이인산칼륨","L-카르니틴","생선콜라겐","정제소금","인산철","식품첨가물혼합제제","혼합제제","혼합제제","혼합제제","정제수","","비타믹스","자당지방산에스테르 S-570","자당지방산에스테르 P-1670","라르고BS-15 / 용도:식품의 증점 및 안정제","","","","","","","필수아미노산혼합제제9종","아이비씨에이에이","폼크린200/용도:소포제","초코렛향15",""
"9","번호5624","품목보고번호20200401439154","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명고:굿 오트 리치","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7",NA,NA,"정제수","물엿","미강유(현미유)","혼합제제","제이인산칼륨","정제소금","혼합제제",NA,NA,"","오트시럽","","고:굿 오트 리치 원제 제1A부","","","고:굿 오트 리치 원제 제1D부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5623","품목보고번호20200401439153","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명고:굿 오트 플레인","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7",NA,NA,"정제수","물엿","미강유(현미유)","혼합제제","제이인산칼륨","정제소금","혼합제제",NA,NA,"","오트시럽","","고:굿 오트 플레인 원제 제1A부","","","고:굿 오트 플레인 원제 제1D부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
