"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","번호23","번호24","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고22","비고23","비고24"
"1","번호5532","품목보고번호19890445014254","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명굿데이365","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","오리나무추출액","액상과당","구연산","허브향","칡꽃농축액","타우린","안식향산나트륨","스테비올배당체","엘-아스파라긴","니코틴산아미드","구연산삼나트륨","비타민C","비타민B2","감초농축액","헛개나무열매농축액","구기자농축액","비타민 B1(고시형)","비타민 B6(고시형)","당귀농축액","천궁농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5531","품목보고번호2014061226647","업소명영농조합법인 물댄동산","품목유형혼합음료","유통/소비기한12개월","제품명굿모닝","분류식품","업체명","영농조합법인 물댄동산","소재지","경상남도 거제시 거제면 옥산금성길 23(다동 1~2층)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물성혼합추출액","사과농축액","배농축액","프락토올리고당","타우린","홍삼추출액","밀크씨슬추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","사과100%","배100%","","","고형분60%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5530","품목보고번호202104510966","업소명농업회사법인 주식회사 자연이 정답이다","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명굿모닝","분류식품","업체명","농업회사법인 주식회사 자연이 정답이다","소재지","충청북도 괴산군 칠성면 자연드림길 245-10","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물성혼합추출액","사과농축액","배농축액","프락토올리고당","타우린","홍삼추출액","밀크씨슬추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","사과(국산) 100%","배(국산) 100%","","","6년근(국내산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5529","품목보고번호19990555093365","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터      24 개월(2년)","제품명굿모닝 UP","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,"식물혼합추출액","액상과당","사양벌꿀","사과농축액","오렌지농축액","타우린","구연산","드링크향","과라나추출물분말","구연산삼나트륨","혼합허브추출물","이노시톨","효소처리스테비아","니코틴산아미드","비타민 B2(고시형)",NA,NA,NA,NA,NA,NA,"","","","","","","","","","구연산나트륨","복합허브추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5528","품목보고번호19970464172349","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명굿모닝 두꺼비","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,"농축사과과즙","기타과당","구연산","구연산삼나트륨","타우린","L-아스파라진","니코틴산아미드","비타민B2","정제소금","혼합과일향","허브향","헛개나무농축액","비타민B1염산염","비타민B6염산염","비타민C","감추출농축액","강황추출액","밀크씨슬추출물","젖산칼슘","정제수",NA,"","","","","","","","","","","","","","","","","수용성 커큐민(사용부위:뿌리줄기)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5527","품목보고번호19860443015143","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월  실온","제품명굿모닝 바이탈","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","비타민B1염산염","니코틴산","비타민B6염산염","비타민B2인산에스테르나트륨","가수분해추출물분말","타우린","수용성밀크씨슬추출물","벌꿀","결정과당","에리스리톨","식물혼합추출물","황금복합추출물","난소화성말토덱스트린(고시형)","정제수","헛개나무열매추출물","대두발효추출물","대두발효추출분말","맥아추출물","나린진","허브향","DL-사과산","","","","","간가수분해추출물분말","","","","","","","","난소화성말토덱스트린액상","","","미배아","미배아","","추출물","","","22","23","24","계피농축액","식물혼합발효추출액","허니향","","혼합발효추출농축액",""
"7","번호5526","품목보고번호2014061226656","업소명영농조합법인 물댄동산","품목유형혼합음료","유통/소비기한12개월","제품명굿모닝2","분류식품","업체명","영농조합법인 물댄동산","소재지","경상남도 거제시 거제면 옥산금성길 23(다동 1~2층)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물성혼합추출액","사과농축액","대추농축액","에둘리스시계꽃농축액","프락토올리고당","구아바농축액","기타가공품","밀크씨슬추출물분말","비타민C","비타민B2","효모식품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","사과100%","대추100%","패션프루트100%","","","수용성커큐민12%","","","","L-글루타치온효모추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5525","품목보고번호1989044501488","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명굿모닝에프","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"참당귀","영지버섯","천궁","칡추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5524","품목보고번호20040275056524","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명굿브라더스 링퀴드 부스트","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","분말결정포도당","과채주스","혼합제제","구연산","L-아르지닌","타우린","비타민C","볶은마카분말","식용색소적색제40호","혼합제제","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","함수결정포도당","패션후르츠주스","혼합과일향#3","함수구연산","","","","","","멀티비타민미네랄믹스-1","아미노믹스","BCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5523","품목보고번호20040275056525","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명굿브라더스 링퀴드 포도당","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","분말결정포도당","혼합제제","구연산","정제소금","염화칼륨","염화마그네슘","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","청포도향#6","함수구연산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
