"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16"
"1","번호5412","품목보고번호2009043503511","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한1년","제품명글루코플러스Ⅰ","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","무수결정포도당","구연산","비타민C","판토텐산칼슘","니코틴산아미드","비타민B1염산염","비타민B6염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5411","품목보고번호198803550331209","업소명(주)한미양행","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명50 글루타치온","분류식품","업체명","(주)한미양행","소재지","경기도 파주시 문산읍 통일로1888번길 44-20(, 18-22, 18-23)","1","2","3","4","5","6","7","8","효모식품","과.채가공품","비타민C","기타가공품","L-시스테인염산염","기타가공품","비오틴","혼합제제","엘-글루타치온 효모추출물","사과농축액","","생선콜라겐분말","","엘라스틴가수분해물","","사과향혼합제제","9","10","11","12","수크랄로스","효소처리스테비아","올리고당","정제수","","","프락토올리고당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5410","품목보고번호20110149027410","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명글루타치온 로즈힙 젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","로즈힙열매농축물","체리농축액","건조효모","로커스트콩검","잔탄검","한천","타마린드검","카라기난","","타트체리농축액 65 brix, 터키산","글루타치온","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5409","품목보고번호20110149027409","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명글루타치온 링곤베리 젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","과.채가공품","포도농축액","건조효모","로커스트콩검","잔탄검","한천","타마린드검","카라기난","링곤베리추출분말","","글루타치온","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5408","품목보고번호20130368349455","업소명주식회사소울네이처푸드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명글루타치온 혼합액","분류식품","업체명","주식회사소울네이처푸드","소재지","충청남도 천안시 동남구 성남면 석곡2길 80(1동, 2동, 3동)","1","2","3","4","5","6","7","8","정제수","효모식품","니코틴산아미드","DL-사과산","비타민B6염산염","비타민B2","유함유가공품","엘라스틴가수분해물","","글루타치온 50%","","","","","밀크세라마이드","","9",NA,NA,NA,"히알루론산",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5407","품목보고번호20040445073175","업소명(주)대일","품목유형혼합음료","유통/소비기한24월(실온)","제품명금농홍차","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","백설탕","액상과당","구연산","비타민C","구연산삼나트륨","카라멜색소","DL-사과산","복숭아향","","","함수 구연산","","구연산 나트륨","","","","9","10","11",NA,"효소처리스테비아","정제수","홍차분말",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5406","품목보고번호202103789443","업소명선도식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명금별식혜","분류식품","업체명","선도식품","소재지","경기도 김포시 고촌읍 상미로9번길 31","1","2","3","4",NA,NA,NA,NA,"엿기름","정제수","멥쌀","백설탕",NA,NA,NA,NA,"국내산","","국내산","수입산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5405","품목보고번호2021049137917","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명금빛호박식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","6","7",NA,"정제수","쌀","늙은호박","백설탕","엿기름","생강","치자분말",NA,"","","","정백당","","","열매",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5404","품목보고번호19970464172275","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명금사연골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","제비집추출분말","생선콜라겐분말","자일리톨","프락토올리고당(고시형)","구연산","DL-사과산","구연산삼나트륨","비타민 C(고시형)","","2나노콜라겐","","","","","","","9","10","11","12","히알루론산(고시형)","비타민B6염산염","비타민 B1염산염(고시형)","효소처리스테비아","","","","","13","14","15","16","엽산(고시형)","애플망고향","잔탄검","정제수","","","",""
"10","번호5403","품목보고번호2015037512975","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명기(氣)차오름진액","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","동식물혼합추출물","프락토올리고당","비타민미네랄혼합분말","잔탄검","타우린","과라나추출물분말","옥타코사놀(고시형)","자몽종자추출물","장어동충하초식물혼합추출물","","비타민미네랄믹스-FS1","","","과라나추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
