"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호5182","품목보고번호200604671147","업소명주식회사 현가","품목유형혼합음료","유통/소비기한냉장보관 20일","제품명눈꽃수정과","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","계피","생강","백설탕","흑설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5181","품목보고번호200604671143","업소명주식회사 현가","품목유형혼합음료","유통/소비기한냉장보관 10일","제품명눈꽃식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","엿기름","쌀","설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5180","품목보고번호19890445014480","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명눈사랑블루베리","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","블루베리과즙","정제수","액상과당","이소말토올리고당","구연산",NA,NA,NA,NA,NA,"6","블루베리향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5179","품목보고번호20060392223278","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴 골드 상쾌한 변화","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","정제수","알로에혼합추출물","D-소르비톨액","혼합분유","요거트혼합분말","","14Bx","","스킴밀크파우더","요거트혼합분말-100엘","6","만니톨","","7","8","9","10","11","12","13","14","15","구연산(결정)","글루코만난","폴리덱스트로스","요구르트향","포도농축액","사과농축액","딸기농축액","석류농축액","유산균혼합분말","","","","","","","","","9종알파혼합유산균",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5178","품목보고번호20090440068184","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 730일(2년)까지","제품명뉴 밀키샤벳","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","정제수","기타과당","설탕","옥수수전분","카라기난혼합제제","","","","","","6","DL-사과산","합성산미료","7","8","9","10","11","12","13","14","15","딸기향","포도향","파인애플향","망고향","딸기농축과즙","포도농축과즙","파인애플농축과즙","망고농축액","포도당","합성향료","합성향료","합성향료","합성향료","","","","","","16","17","18","19","20","21","레드칼라","홍화황색소","혼합제제","탈지분유","효소처리스테비아","안식향산나트륨","","","(적포도색소)","","","(합성보존료)"
"6","번호5177","품목보고번호2013037221943","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명뉴 비린내 제로 큐","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","탄산칼륨(무수)","염화칼륨(고시형)","탄산나트륨","규소수지혼합제제","백설탕",NA,NA,NA,NA,NA,"6","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5176","품목보고번호20090440068185","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 730일(2년)까지","제품명뉴 샤벳꽁꽁","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","정제수","기타과당","설탕","카라기난혼합제제","카복시메틸셀룰로스나트륨","","","","","증점제","6","DL-사과산","합성산미료","7","8","9","10","11","12","13","14","15","딸기향","망고향","파인애플향","포도향","딸기농축과즙","망고농축액","파인애플농축과즙","포도농축과즙","포도당","합성향료","합성향료","합성향료","합성향료","","","","","","16","17","18","19","20",NA,"홍화황색소","레드칼라","혼합제제","효소처리스테비아","안식향산나트륨",NA,"","","(적포도색소)","","합성보존료",NA
"8","번호5175","품목보고번호2003025701110","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명뉴-글라세","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","3",NA,NA,"정제수","L-카르니틴","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5174","품목보고번호2003025701126","업소명(주)아너텍","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명뉴글라세","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2",NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5173","품목보고번호20040275056929","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴로액티브 모닝업 男","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","덱스트린","정제수","기타 농산가공품","식물혼합농축액","홍삼농축액","","","api농축분말","식물혼합농축액HR-2646","","6","블루베리농축액","","7","8","9","10","11","12","13","14","15","L-아르지닌","타우린","혼합제제","구연산","과라나추출물분말","복분자농축액","자몽종자추출물","헛개나무열매분말","마카추출분말","L-아르기닌","","홍삼향","함수구연산","과라나추출분말","","DF-100","헛개나무열매농축분말","","16","17","18",NA,NA,NA,"비타민미네랄혼합분말","글루콘산아연","니코틴산아미드",NA,NA,NA,"비타민미네랄믹스","","",NA,NA,NA
