"","Price"
"2017-04-05",12964
"2017-04-06",13013
"2017-04-07",12964
"2017-04-10",12287
"2017-04-11",12384
"2017-04-12",12190
"2017-04-13",12190
"2017-04-14",12239
"2017-04-17",12626
"2017-04-18",12529
"2017-04-19",12480
"2017-04-20",12432
"2017-04-21",12384
"2017-04-24",11900
"2017-04-25",12190
"2017-04-26",12190
"2017-04-27",11900
"2017-04-28",11900
"2017-05-02",11610
"2017-05-04",11803
"2017-05-08",11948
"2017-05-10",12626
"2017-05-11",12626
"2017-05-12",12432
"2017-05-15",12480
"2017-05-16",12239
"2017-05-17",12867
"2017-05-18",12819
"2017-05-19",12771
"2017-05-22",12722
"2017-05-23",12722
"2017-05-24",12529
"2017-05-25",12384
"2017-05-26",12577
"2017-05-29",12239
"2017-05-30",12142
"2017-05-31",12190
"2017-06-01",12287
"2017-06-02",12239
"2017-06-05",12190
"2017-06-07",12335
"2017-06-08",12674
"2017-06-09",12722
"2017-06-12",12432
"2017-06-13",12239
"2017-06-14",12384
"2017-06-15",12093
"2017-06-16",12142
"2017-06-19",12142
"2017-06-20",11900
"2017-06-21",11610
"2017-06-22",11561
"2017-06-23",11658
"2017-06-26",11465
"2017-06-27",11465
"2017-06-28",11465
"2017-06-29",11271
"2017-06-30",11174
"2017-07-03",10981
"2017-07-04",10884
"2017-07-05",10933
"2017-07-06",10787
"2017-07-07",10352
"2017-07-10",9868
"2017-07-11",9491
"2017-07-12",9539
"2017-07-13",9423
"2017-07-14",9143
"2017-07-17",9336
"2017-07-18",9336
"2017-07-19",9520
"2017-07-20",9520
"2017-07-21",9443
"2017-07-24",9414
"2017-07-25",9210
"2017-07-26",9288
"2017-07-27",9181
"2017-07-28",8920
"2017-07-31",8591
"2017-08-01",8775
"2017-08-02",8949
"2017-08-03",8727
"2017-08-04",8562
"2017-08-07",8611
"2017-08-08",8620
"2017-08-09",8572
"2017-08-10",8407
"2017-08-11",8117
"2017-08-14",8020
"2017-08-16",8069
"2017-08-17",8204
"2017-08-18",8272
"2017-08-21",8049
"2017-08-22",8069
"2017-08-23",8040
"2017-08-24",8233
"2017-08-25",8282
"2017-08-28",8456
"2017-08-29",8398
"2017-08-30",8446
"2017-08-31",8320
"2017-09-01",10787
"2017-09-04",10449
"2017-09-05",10449
"2017-09-06",10304
"2017-09-07",9820
"2017-09-08",9655
"2017-09-11",9278
"2017-09-12",9133
"2017-09-13",9307
"2017-09-14",9278
"2017-09-15",9162
"2017-09-18",9230
"2017-09-19",9414
"2017-09-20",9259
"2017-09-21",8736
"2017-09-22",8224
"2017-09-25",7566
"2017-09-26",7643
"2017-09-27",7691
"2017-09-28",7740
"2017-09-29",8020
"2017-10-10",7866
"2017-10-11",8030
"2017-10-12",8098
"2017-10-13",7904
"2017-10-16",8843
"2017-10-17",8910
"2017-10-18",8340
"2017-10-19",8601
"2017-10-20",8620
"2017-10-23",8736
"2017-10-24",8775
"2017-10-25",9036
"2017-10-26",9675
"2017-10-27",9723
"2017-10-30",10304
"2017-10-31",10207
"2017-11-01",10062
"2017-11-02",9820
"2017-11-03",9820
"2017-11-06",9965
"2017-11-07",9917
"2017-11-08",10013
"2017-11-09",9965
"2017-11-10",10400
"2017-11-13",10642
"2017-11-14",10642
"2017-11-15",9965
"2017-11-16",10159
"2017-11-17",10159
"2017-11-20",10255
"2017-11-21",10013
"2017-11-22",9675
"2017-11-23",12577
"2017-11-24",12964
"2017-11-27",13303
"2017-11-28",13496
"2017-11-29",13787
"2017-11-30",13593
"2017-12-01",13254
"2017-12-04",14028
"2017-12-05",13593
"2017-12-06",13545
"2017-12-07",15141
"2017-12-08",13932
"2017-12-11",13835
"2017-12-12",13109
"2017-12-13",13303
"2017-12-14",12674
"2017-12-15",12529
"2017-12-18",12529
"2017-12-19",11900
"2017-12-20",11900
"2017-12-21",11174
"2017-12-22",11416
"2017-12-26",11900
"2017-12-27",12000
"2017-12-28",12100
"2018-01-02",12450
"2018-01-03",12250
"2018-01-04",11950
"2018-01-05",12200
"2018-01-08",11800
"2018-01-09",11800
"2018-01-10",12750
"2018-01-11",12750
"2018-01-12",12400
"2018-01-15",13150
"2018-01-16",13050
"2018-01-17",13050
"2018-01-18",13350
"2018-01-19",14350
"2018-01-22",15700
"2018-01-23",14900
"2018-01-24",14650
"2018-01-25",14600
"2018-01-26",15000
"2018-01-29",15000
"2018-01-30",15300
"2018-01-31",15250
"2018-02-01",15250
"2018-02-02",14800
"2018-02-05",13950
"2018-02-06",13750
"2018-02-07",13100
"2018-02-08",13700
"2018-02-09",13550
"2018-02-12",13450
"2018-02-13",12750
"2018-02-14",12600
"2018-02-19",13000
"2018-02-20",13200
