"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호5997","품목보고번호20190391582102","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명LJG해양심층수혼합액","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","정제수","해양심층수원수","구연산(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5996","품목보고번호19780368002251","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터12월","제품명LOTTE비타파워","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","정제수","액상과당","비타민C","","","","4","5","6","7","8","9","10","구연산","합성향료","구연산삼나트륨","효소처리스테비아","타우린","수크랄로스","비타민B2","","드링크향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5995","품목보고번호20070443110578","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명Labnosh DRINK ROOT 스윗포테이토&펌킨","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","기타가공품","난소화성말토덱스트린(고시형)","프락토올리고당","고구마원액","","","4","5","6","7","8","9","10","고올레산해바라기유","두류가공품","과.채가공품","혼합제제","기타가공품","제이인산칼륨","레시틴","하이올레익해바라기유","-C9","단호박농축액","영양강화제프리믹스-Ⅰ","제주용암해수 리퀴드","","해바라기 레시틴 분말","11","12","13","14","15","16","17","18","혼합제제","정제소금","젤란검","카로틴","비타민E","수크랄로스","기타가공품","정제수","군고구마향","한주소금","-B","JS-","","","열처리 유산균 엔에프원","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5994","품목보고번호20070443110577","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명Labnosh DRINK ROOT 포테이토&솔티드카라멜","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","기타가공품","난소화성말토덱스트린(고시형)","프락토올리고당","감자원액","","","4","5","6","7","8","9","10","고올레산해바라기유","두류가공품","기타가공품","혼합제제","당류가공품","레시틴","제이인산칼륨","하이올레익해바라기유","-C9","제주용암해수리퀴드","영양강화제 프리믹스-Ⅰ","생카라멜 시럽","해바라기 레시틴 분말","","11","12","13","14","15","16","17","18","합성향료","탄산수소나트륨","젤란검","기타소금","비타민E","수크랄로스","기타가공품","정제수","카라멜향","","","히말라야핑크솔트","","","열처리 유산균 엔에프원","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5993","품목보고번호20020623009413","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명Life 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","알로에베라겔즙액함유절편","구연산","벌꿀",NA,NA,NA,"4","5","6","7","8","9","10","액상과당","비타민C","구연산삼나트륨","젖산칼슘","젤란검","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5992","품목보고번호19780614001244","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Lotte비타파워","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","기타과당","구연산","효소처리스테비아",NA,NA,NA,"4","5","6","7","8","9","10","수크랄로스","타우린","비타민C","비타민B2","구연산삼나트륨","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5991","품목보고번호20020623009162","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Lovers Aloe","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","알로에베라겔즙","함유절편","액상과당",NA,NA,NA,"4","5","6","7","8","9","10","구연산","벌꿀","구연산삼나트륨","젤란검","젖산칼슘","알로에향","비타민C",NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5990","품목보고번호20110084489377","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명L아르기닌6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","정제수","L-아르지닌","구연산","","","함수구연산","4","5","6","7","8","9","10","Red grape농축액","레몬농축액","효소처리스테비아","블루베리주스농축액","비타민C","타우린","아미드펙틴","적포도주스농축액","","","","","","","11","12","13","14",NA,NA,NA,NA,"천연향료","혼합제제","기타가공품","혼합제제",NA,NA,NA,NA,"천연레몬향","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5989","품목보고번호2020055928319","업소명농업회사법인(주)동서건강","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명M 워터","분류식품","업체명","농업회사법인(주)동서건강","소재지","경상북도 영천시 한방로 269(주1동 작산동)","1","2",NA,"정제수","비오틴",NA,"","비타민 B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5988","품목보고번호19970464172304","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명M9","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","자일리톨","헛개나무열매농축액","헛개나무과병추출분말","","","","4","5","6","7","8","9","10","배농축액","대추농축액","밀크씨슬추출물","사양벌꿀","L-아스파라진","타우린","구연산","","","","","","","","11","12","13","14","15","16","17","18","구연산삼나트륨","비타민 B1염산염(고시형)","비타민 B2(고시형)","니코틴산아미드","비타민B6염산염","판토텐산칼슘","산화아연","황산마그네슘","","","","","","","","","19","20","21","22","23","24","25","26","27","복숭아향","비타민 B12(고시형)","보검선인장열매농축","엽산","아미노산혼합분말","효소처리스테비아","수크랄로스","정제소금","정제수","","","백년초농축액","","로이신,발린,이소로이신","","","",""
