"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호4227","품목보고번호19890449002141","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명미담은 이화 드림초 파인애플 허니","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","음료베이스","정제수","혼합제제","미담은 이화 파인애플초","","파인애플향 B06596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4226","품목보고번호1980053801825","업소명남양유업주식회사 경주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미담은 이화 드림초 파인애플 허니","분류식품","업체명","남양유업주식회사 경주공장","소재지","경상북도 경주시 산업로 4443-7(용강동)","1","2","3","음료베이스","파인애플향","정제수","미담은 이화 파인애플초 허니","B 06596","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4225","품목보고번호2021052507638","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명미래 모과생강","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","정제수","액상과당","모과농축액",NA,NA,NA,"4","5","6","7","8","9","10","생강농축액","구연산","구연산삼나트륨","합성향료","수크랄로스","아세설팜칼륨","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4224","품목보고번호2021052507641","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명미래 애플키위","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","정제수","액상과당","키위농축액",NA,NA,NA,"4","5","6","7","8","9","10","사과농축액","구연산","구연산삼나트륨","합성향료","시트러스향","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,"11","12","식용색소황색제5호","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4223","품목보고번호199805601328","업소명미래참푸드","품목유형혼합음료","유통/소비기한제조일로부터 17일","제품명미래참식혜","분류식품","업체명","미래참푸드","소재지","경상북도 경산시 압량읍 내리길19길 53-8","1","2","3","엿기름","멥쌀","백설탕","국내산","국내산","","4",NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4222","품목보고번호19860443015616","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명미를 담다 콜라겐 5000 DAMDA BEAUTY COLLAGEN 5000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","생선콜라겐","자일리톨","과.채가공품","피쉬콜라겐","","샤인머스캣혼합농축액","4","5","6","7","8","9","10","대추야자농축액","구연산","매실농축액","혼합제제","황금혼합추출물","효소처리스테비아","복숭아향","","무수구연산","","샤인머스캣향","복합황금추출물","","","11","12","녹차추출물분말가루","히알루론산혼합제제","녹차추출분말","","13","14","15","16","17","18","19","20","21","22","23","24","비타민C","엘라스틴가수분해물","테아닌","수크랄로스","비오틴 혼합분말","복합효모분말","토마토추출물분말","우유단백","연어추출분말","비타민D3","비타민 A 혼합제제","정제수","","","","","","효모분말","","우유단백질농축(밀크세라마이드)","연어코연골추출분말, 프로테오글리칸","","",""
"7","번호4221","품목보고번호20090242118121","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미미 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","정제수","설탕","엿기름","","","국산","4","5",NA,NA,NA,NA,NA,"쌀","생강",NA,NA,NA,NA,NA,"국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4220","품목보고번호2008033218014","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명미미고식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4219","품목보고번호20090397178173","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명미미네유기농컵식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","정제수","설탕","엿기름","","유기농설탕","유기농엿기름","4",NA,NA,NA,NA,NA,NA,"쌀",NA,NA,NA,NA,NA,NA,"유기농쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4218","품목보고번호20090242118186","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미미다방 단호박식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","정제수","설탕","엿기름","","","","4","5","6","7",NA,NA,NA,"쌀","과.채가공품","과.채가공품","생강",NA,NA,NA,"","단호박 페이스트","단호박 분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
