"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12"
"1","번호4157","품목보고번호2017014715522","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명미토리비트사과당근즙","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","비트레드","사과농축액","당근","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4156","품목보고번호201904679485","업소명송악농협식품사업부","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명민들레액","분류식품","업체명","송악농협식품사업부","소재지","충청남도 아산시 송악면 도송로 372","1","2","3","4","민들레","대추","감초","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4155","품목보고번호2008038390463","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명민들레엑기스","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","민들레추출액","벌꿀","대추농축액","구연산",NA,NA,NA,NA,"5","6","7","8","9","비타민C","타우린","카르복시메틸셀룰로오스나트륨","자몽종자추출물","숙지황농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4154","품목보고번호20000614238403","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명민생 복숭아에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","복숭아농축액","홍차추출분말","설탕","수크랄로스","","","","","5","6","7","8","9","아세설팜칼륨","구연산","비타민C","혼합제제","복숭아향","","","","정제수,규소수지,글리세린지방산에스테르, 소르비탄지방산에스테르, CMC","","10","11","12","복숭아향","홍차향","정제수","","",""
"5","번호4153","품목보고번호2001051508132","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명민속식혜","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","쌀","생강엑기스","설탕","수크랄로스","","","","","5","6",NA,NA,NA,"곡류가공품","정제수",NA,NA,NA,"엿기름추출액(고형분6.5%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4152","품목보고번호202307321143","업소명청 나라","품목유형혼합음료","유통/소비기한해당없음.","제품명민트유자","분류식품","업체명","청 나라","소재지","전라남도 나주시 우정로 72(더클래스빌딩 7층 B호 빛가람동)","1","2",NA,NA,"유자농축액","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4151","품목보고번호20180491044139","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명밀스 방탄드링크","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","아몬드","PALM MCT OIL","탄산칼슘","알룰로오스","아몬드액(고형분7%이상)","","","","5","6","7",NA,NA,"정제소금","효소처리스테비아","정제수",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4150","품목보고번호201005430661113","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 그린애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","설탕","혼합분유","합성향료","","","혼합탈지분유(네덜란드산)","청사과향","5","6","7","8","9","구연산","혼합제제","두류가공품","구연산삼나트륨","사과농축액","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","대두다당류","","청사과농축액(칠레산/배합함량 : 청사과 100%, 청사과과즙으로 환원기준 : 0.07%)","10","11","12","수크랄로스","천연향료","기타가공품","감미료","청사과향","열처리혼합유산균3종"
"9","번호4149","품목보고번호201005430661070","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 딸기","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","설탕","혼합분유","합성향료","","","혼합탈지분유(네덜란드산)","딸기향","5","6","7","8","9","구연산","두류가공품","구연산삼나트륨","혼합제제","딸기농축액","","대두다당류","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","이스라엘산/배합함량 : 딸기 100%, 딸기과즙으로 환원기준 : 0.1%","10","11","12","수크랄로스","천연향료","기타가공품","감미료","딸기향","열처리혼합유산균3종"
"10","번호4148","품목보고번호201005430661068","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 리치","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","설탕","혼합분유","합성향료","","","혼합탈지분유(네덜란드산)","리치향","5","6","7","8","9","구연산","두류가공품","구연산삼나트륨","혼합제제","과.채가공품","","대두다당류","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","리치농축액/중국산/고형분 함량 70%","10","11","12","수크랄로스","천연향료","기타가공품","감미료","리치향","열처리혼합유산균3종"
