"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17","번호18","번호19","번호20","번호21","번호22","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고18","비고19","비고20","비고21","비고22"
"1","번호3620","품목보고번호2022062605459","업소명주식회사건영비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타민열매주스","분류식품","업체명","주식회사건영비앤에프","소재지","충청남도 천안시 서북구 직산읍 부송1길 62(1동, 2동, 3동)","1","2","3","4","5","6","7","8","9","비타민나무열매농축액","프락토올리고당","백설탕","물엿","구연산","구연산삼나트륨","비타민C","오렌지향","정제수","","","정백당","","","구연산나트륨","","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3619","품목보고번호19940474018459","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한18개월","제품명비타밍글 산수유","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","산수유농축액","액상과당","구연산","구연산삼나트륨","DL-사과산","정제염","L-아스파라긴","니코틴산아미드","레드칼라 CR8411",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13","14","15","16","판토텐산칼슘","벌꿀","산수유향J","비타민C","펙틴","효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3618","품목보고번호19970464172239","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명비타바란스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","비타민 C(고시형)","농축사과과즙","백설탕","니코틴산아미드","구연산","타우린","비타민B2","비타민B6염산염","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13",NA,NA,NA,"정제수","사과향","효소처리스테비아","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3617","품목보고번호20100543066763","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명비타베라워터 밸런스","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","백설탕","결정과당","포도과피색소","블루베리농축액","구연산(무수)","합성향료","석류농축액","알로에분말","","","","","배합함량 100%, 미국산","","블루베리향, 아사이베리향","65Bx, 이스라엘산","오가닉알로에베라겔분말(멕시코산/유기농알로에베라겔파우더200:1)","10","11","12","13","14","15","16","적양배추색소","비타민C","만니톨","판토텐산칼슘","니코틴산아미드","글루콘산칼슘","비타민B12","","","","","","","","17","비타민B6염산염","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3616","품목보고번호20100543066764","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명비타베라워터 울트라-C","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","백설탕","결정과당","구연산(무수)","합성향료","레몬농축액","알로에분말","비타민나무열매농축액","합성향료","","","","","그레이프후르츠향","레몬청징농축액, 이스라엘산, 레몬과즙으로 환원기준 0.37%","오가닉알로에베라겔분말(멕시코산/유기농알로에베라겔파우더200:1)","국산, 배합함량 100%","사극향","10","11","12","13","14","15","16","β-카로틴","아라비아검","비타민C","니코틴산아미드","글루콘산칼슘","염화마그네슘","판토텐산칼슘","","","","","","","","17","만니톨","","18","19","20","21","22","제이인산칼륨","엽산","비타민B6염산염","비타민E","비타민B12","","","","",""
"6","번호3615","품목보고번호2018062221560","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한12개월","제품명비타슬러","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19","1","2","3","4","5","6","7","8","9","정제수","백설탕","레몬착즙액","구연산","감귤농축액","구연산삼나트륨","비타민C","기타가공품","레몬향","염지하수(용암해수)","정백당","","","60Brix 이상","","","엘라스틴S","","10","11","12",NA,NA,NA,NA,"자몽향","비타민B2","비오틴",NA,NA,NA,NA,"","","D-비오틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3614","품목보고번호2014060761418","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명비타씨","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","과당옥수수시럽","사과농축액","비타민C혼합분말","타우린분말","파인향","구연산","DL-사과산나트륨","비타민B2혼합제제","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12",NA,NA,NA,NA,"정제수","사카린나트륨","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3613","품목보고번호19970464172469","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타씨골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","백설탕","농축사과과즙","비타민C","구연산","구연산삼나트륨","효소처리스테비아","비타민B2","비타민B1염산염","타우린","","72brix","","","","","","","","10","11",NA,NA,NA,NA,NA,"파인애플향","정제수",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3612","품목보고번호2008038390483","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한18","제품명비타씨플러스600(수출용)","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","6","7","8","9","액상과당","비타민C","사과농축액","구연산","드링크향","구연산삼나트륨","오렌지","엑기스","연잎혼합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13","14","15",NA,"효소처리스테비아","타우린","L-카르니틴","판토텐산칼슘","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3611","품목보고번호19990555093416","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타아르기닌","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","정제수","기타과당","사과농축액","오렌지농축액","비타민C","구연산","구연산삼나트륨","타우린","니코틴산아미드","","","","","","","","","","10","11","12","13","14",NA,NA,"효소처리스테비아","비타민B2","향료","혼합허브추출물","L-아르지닌",NA,NA,"","","혼합과일향","복합허브추출물","L-아르기닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
