"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호3570","품목보고번호20110214381496","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명빠지는죽 늙은호박","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4","5","6","7","정제수","늙은호박","설탕","찹쌀","자주양배추꽃","정제소금","효소처리스테비아","","","","","(콜리플라워)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3569","품목보고번호19890445014745","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한9개월","제품명빨간볼오미자허니","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","정제수","백설탕","오미자농축액","당근추출액","벌꿀","구연산","구연산삼나트륨","","","오미자추출농축액,국산","이탈리아산","국산,아카시아꿀","결정","","8","9","효소처리루틴","오미자향","","천연착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3568","품목보고번호200905241043","업소명삼성식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명빨간양파즙골드","분류식품","업체명","삼성식품(주)","소재지","전라남도 영암군 삼호읍 용앙로 160","1","2","3","4","5","6",NA,"적양파","소나무잎","감초","대추","참당귀","계피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3567","품목보고번호20110527046133","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명빵장수 식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,"엿기름","백설탕","멥쌀","생강농축액","정제수",NA,NA,"엿기름분말(국산)","","무농약,국산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3566","품목보고번호20110084489141","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뺄리오 콜라겟 워터젤리 복숭아맛","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","정제수","에리스리톨","혼합제제","복숭아농축액","복숭아향","구연산","복숭아향","","","수퍼겔","","","함수구연산","","8","9","생선콜라겐펩타이드","치자적색소","피쉬콜라겐펩타이드","","10","11","12","13","14","15","16","17","서류가공품","구연산삼나트륨","수크랄로스","타우린","혼합제제","혼합제제","L-시스틴","히알루론산","곤약검","","","","아미노산혼합제제/아미노믹스","비타민혼합제제","",""
"6","번호3565","품목보고번호20110084489142","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뺄리오 콜라겟 워터젤리 청사과맛","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","정제수","에리스리톨","혼합제제","사과농축액","청사과향","구연산","생선콜라겐펩타이드","","","수퍼겔","청사과농축액","","함수구연산","피쉬콜라겐펩타이드","8","9","서류가공품","구연산삼나트륨","곤약검","","10","11","12","13","14","15","16",NA,"혼합제제","수크랄로스","타우린","혼합제제","혼합제제","L-시스틴","히알루론산",NA,"그린칼라","","","아미노산혼합제제/아미노믹스","비타민혼합제제","","",NA
"7","번호3564","품목보고번호20060464002214","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명뽀로로 비타플러스 딸기","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","정제수","백설탕","액상과당","딸기농축액","비타민 C(고시형)","구연산(무수)","구연산삼나트륨","","","","국산, 과즙으로 7%","","","","8","9","효소처리스테비아","합성향료","스테비온 100S","딸기향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3563","품목보고번호20060464002207","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명뽀로로 비타플러스 오렌지","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","정제수","백설탕","액상과당","오렌지농축액","비타민 C(고시형)","구연산(무수)","구연산삼나트륨","","","","과즙으로 7%,이스라엘산","","","","8","9","효소처리스테비아","합성착향료","","오렌지향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3562","품목보고번호20060464002206","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명뽀로로 비타플러스 포도","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","정제수","백설탕","액상과당","포도농축액","비타민 C(고시형)","구연산(무수)","구연산삼나트륨","","","","과즙으로7%,칠레산","","","","8","9","효소처리스테비아","합성착향료","","포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3561","품목보고번호20010383923104","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명뽀로로딸기맛(수출용)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","백설탕","딸기농축액","젖산칼슘","대두다당류","탈지분유","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,"8","9","식품첨가물혼합제제분말","비타민D3",NA,NA,"10","11","12","13",NA,NA,NA,NA,"밀크향","딸기향","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
