"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호3230","품목보고번호19780368002203","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 PET12개월, 캔24개월","제품명솔의눈","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","구연산","기타가공품","기타가공품","비타민C","구연산삼나트륨","솔싹향","DL-사과산","NATURAL BLUE J","","","","솔싹추출물[스위스산]","솔싹추출물[라트비아산]","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3229","품목보고번호19780614001211","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한병,PET:12개월, 캔:24개월","제품명솔의눈","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","PINE BUD EXTRACT","기타가공품","백설탕","구연산(결정)","DL-사과산","구연산삼나트륨","비타민C","치자청색소","솔싹향","정제수","","PINE BUD EXTRACT","","","","","","","(합성향료)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3228","품목보고번호20190413079106","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명솔의눈 Pine bud Drink","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9",NA,"기타가공품","백설탕","구연산","DL-사과산","구연산삼나트륨","비타민C","치자청색소","합성향료","정제수",NA,"솔싹추출농축액","","","","","","","솔싹향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3227","품목보고번호20020623009815","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명솔티드 파워에너지 사과오이","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","오이추출물","백설탕","구연산","혼합제제","구연산삼나트륨","태움용융소금","염화칼륨","염화마그네슘","젖산칼슘","식용색소청색제1호","5Brix","","","아미노액티브 BCAA(L-발린, L-로이신, L-이소로이신)","","죽염","","","","","11","12","13","14","15","16","17","18","식용색소황색제4호","사과농축액","비타민B6염산염","타우린","수크랄로스","합성향료","합성향료","정제수","","사과농축과즙(72Brix)","","","합성감미료","시트러스향","오이향",""
"5","번호3226","품목보고번호20020623009816","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명솔티드 파워에너지 자몽","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","자몽농축액","백설탕","구연산","비타민C","구연산삼나트륨","태움용융소금","염화칼륨","혼합제제","염화마그네슘","젖산칼슘","64Brix","","","","","죽염","","아미노액티브 BCAA(L-발린, L-로이신, L-이소로이신","","","11","12","13","14","15","16","17","18","에리스리톨","비타민B6염산염","타우린","폴리글리세린지방산에스테르","수크랄로스","합성향료","합성향료","정제수","","","","","합성감미료","시트러스향","자몽향",""
"6","번호3225","품목보고번호2013050901930","업소명농업회사법인순천송광주식회사","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명송광전통식혜","분류식품","업체명","농업회사법인순천송광주식회사","소재지","전라남도 순천시 송광면 쌍향수길 1352(가~라동 1층)","1","2","3","4",NA,NA,NA,NA,NA,NA,"혼합음료","혼합음료","혼합음료","혼합음료",NA,NA,NA,NA,NA,NA,"찹쌀","엿기름","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3224","품목보고번호2003025701137","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명송담함초죽염수","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"가공소금","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"함초죽염","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3223","품목보고번호2019046794811","업소명송악농협식품사업부","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명송악천마","분류식품","업체명","송악농협식품사업부","소재지","충청남도 아산시 송악면 도송로 372","1","2","3","4","5","6","7","8","9","10","찐천마","참당귀뿌리","칡뿌리","천궁뿌리줄기","사철쑥","감귤껍질","감초","계피","대추","지황포제가공한뿌리","천마","당귀","갈근","천궁","인진","진피","","","","숙지황","11","12",NA,NA,NA,NA,NA,NA,"맥아","녹용",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA
"9","번호3222","품목보고번호202105210655","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명쇠무릎","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","감초","두충쇠무릅추출액","셀레늄(고시형)","콜라겐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3221","품목보고번호2012049904229","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명132수","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
