"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호3103","품목보고번호20080614259603","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한12개월","제품명스위트몬스터 워터젤리 청포도","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","10","11","정제수","발효식초","에리스리톨","폴리덱스트로스","과.채가공품","식품첨가물혼합제제","식품첨가물혼합제제","구연산","수크랄로스","젖산칼슘","카라멜색소","","","","","백포도농축액","검믹스","청포도향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3102","품목보고번호20090440068163","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스위트쿨1","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"혼합음료","혼합음료","혼합음료","혼합음료",NA,NA,NA,NA,NA,NA,NA,"스위트쿨1(사과향)","스위트쿨1(포도향)","스위트쿨1(딸기향)","스위트쿨1(복숭아향)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3101","품목보고번호2009044006871","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스위트쿨1(딸기향)","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","딸기향","딸기농축액","구연산","효소처리스테비아","식용색소적색제40호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3100","품목보고번호2009044006872","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스위트쿨1(복숭아향)","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","복숭아향","구연산","복숭아농축액","효소처리스테비아","식용색소황색5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3099","품목보고번호2009044006870","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스위트쿨1(사과향)","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","사과농축액","사과향","구연산","효소처리스테비아","식용색소혼합녹색",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3098","품목보고번호2009044006869","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스위트쿨1(포도향)","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","포도향","구연산","포도농축액","효소처리스테비아","식용색소적색제40호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3097","품목보고번호1993046102297","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일부터 9개월","제품명스위플 레드오렌지","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","유청분말","레드오렌지농축과즙","액상과당","백설탕","말토덱스트린","구연산","펙틴","정제소금","구연산삼나트륨","수크랄로스","오렌지향","","","","","","","","","","","","12","자몽향","","13","14","15","레몬향","정제수","혼합제제","","","엘에스-303",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3096","품목보고번호19930461022284","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명스위플 샤인머스캣","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","액상과당","백설탕","혼합농축액","탈지분유","구연산","펙틴","리치향","정제소금","구연산삼나트륨","수크랄로스","정제수","","","샤인머스켓 농축액","","","","","","","","","12","합성향료","샤인머스켓 향","13","14","15","열처리유산균","비타민C","비타민E혼합제제","","","","16","17","18","비타민D3혼합제제분말","니코틴산아미드","비타민B6염산염","","",""
"9","번호3095","품목보고번호20020612459217","업소명거제사슴영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스윗딸바","분류식품","업체명","거제사슴영농조합법인","소재지","경상남도 거제시 거제면 옥산금성길 23","1","2","3","4","5","6",NA,NA,NA,NA,NA,"딸기퓌레","정제수","바나나퓌레","설탕","천연딸기향","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3094","품목보고번호19930571069565","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스윗허그 매실","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","매실농축액","사과농축액","기타과당","설탕","덱스트린","구연산","구연산삼나트륨","글리신","카라멜색소","수크랄로스","비타민C","","","","","말토","함수","","","","","","12","청사과향","","13","14",NA,"매실향","정제수",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
