"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호2753","품목보고번호19890445014415","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명아이비타","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","비타민 A","결명자추출액","백설탕","D-솔비톨액상","구연산","블루베리농축액","블루베라향","복합호아금추출물","카르복시메틸셀룰로오스나트륨","Dl-사과산","젖산칼슘","이노시톨","효소처리스테비아","판토텐산칼슘","비타민B6염산염","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2752","품목보고번호2014039506648","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장 60일, 냉동 1년","제품명아이사랑 유기농식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","정제수","엿기름","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2751","품목보고번호20090397178101","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한18개월( 냉장보관)","제품명아이사랑 유기농식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"설탕","엿기름","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농","유기농","유기농","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2750","품목보고번호20180491044235","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명아이스 레몬자두","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"과.채가공품","레몬농축액","설탕","구연산(결정)","구연산삼나트륨","수크랄로스","비타민C","베타카로틴혼합제제","레몬향","라임향","정제수",NA,NA,NA,NA,NA,NA,"레몬스윗플럼농축액(60Bx)","65Bx","","","","용도:감미료","","","레몬향#1","라임향#2","",NA,NA,NA,NA,NA,NA
"5","번호2749","품목보고번호20030614307982","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명아이스 수박레몬에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"정제수","액상과당","백설탕","수박농축액","레몬주스농축액","혼합제제","혼합제제","구연산","혼합제제","적양배추색소","락색소","수크랄로스",NA,NA,NA,NA,NA,"","","","","","수박향 엠에프-171114","화이트 크라우디","","레몬향 엠에프-120547","적양배추색소-엠","락색소-엘에이","",NA,NA,NA,NA,NA
"6","번호2748","품목보고번호20030614307953","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명아이스 요구르트 에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"정제수","액상과당","백설탕","샤베트믹스","혼합분유","구연산","식품첨가물혼합제제","합성착향료","구연산삼나트륨","합성착향료","비타민C","코치닐추출색소","홍화황색소","수크랄로스",NA,NA,NA,"","","","유산균배양액베이스","스킴밀크 프리퍼레이션 에스엠피 8515","","엠아이에스(MIS)-66600","요거트후레바","","요구르트향 엠에프-140263","","","","",NA,NA,NA
"7","번호2747","품목보고번호20180491044234","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스 자몽오렌지","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"과.채가공품","자몽농축액","설탕","구연산(결정)","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소적색제40호","자몽향","자몽향","정제수",NA,NA,NA,NA,NA,NA,"자몽네이블오렌지농축액(60Bx)","클라우디","","함수구연산","","용도:감미료","","","자몽향#3","자몽향#10","",NA,NA,NA,NA,NA,NA
"8","번호2746","품목보고번호20070464094263","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이스 쵸코","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"코코아분말","설탕","혼합분유","정제소금","카라기난","탄산수소나트륨","향료","정제수","탈지분유","잔탄검","자당지방산에스테르","자당지방산에스테르","기타과당","말토덱스트린혼합제제","카복시메틸셀룰로스나트륨","향료",NA,"","","혼합전지분유","","","","초콜릿향1","","","","슈가에스테르 P-1670","슈가에스테르 S-570","","","","",NA
"9","번호2745","품목보고번호2022078026615","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이스 쵸코","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"설탕","기타과당","코코아분말","전지분유","탈지분유","말토덱스트린혼합제제","카복시메틸셀룰로스나트륨","잔탄검","정제소금","탄산수소나트륨","카라기난","자당지방산에스테르","자당지방산에스테르","향료","향료","정제수",NA,"","","","혼합전지분유","","","CMC FH-1000","","","","K-100","슈가에스테르 P-1670","슈가에스테르 S-570","초콜릿향1","초콜릿향2","",NA
"10","번호2744","품목보고번호20070464094462","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이스 쵸코","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"코코아분말","설탕","혼합분유","정제소금","카라기난","탄산수소나트륨","향료","정제수","탈지분유","잔탄검","자당지방산에스테르","자당지방산에스테르","향료","기타과당","카복시메틸셀룰로스나트륨","말토덱스트린혼합제제",NA,"","","혼합전지분유","","","","초콜릿향1","","","","슈가에스테르 P-1670","슈가에스테르 S-570","초콜릿향2","","CMC FH-1000","",NA
