"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15"
"1","번호2564","품목보고번호20100543066139","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명알로티 녹차","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라잎(껍질제외)","절편","녹차농축액","액상과당","백설탕","벌꿀","구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","녹차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2563","품목보고번호19970464172136","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알바린D","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"알바린농축액","이소말토올리고당","벌꿀","비타민C","스테비올배당체","구연산","젤란검","젖산칼슘","자몽종자추출물","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2562","품목보고번호20180379618237","업소명(주)세종바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명알부민골드플러스","분류식품","업체명","(주)세종바이오팜","소재지","경기도 김포시 대곶면 대곶로382번길 54","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"실크알부민","프락토올리고당","D-소비톨","비타민C","사과농축액","구연산","드링크향","L-아르지닌","L-아스파트산","구연산삼나트륨","차가버섯자실체추출물",NA,NA,"자사원료/ 알부민복합물","액상","","","","","","","","","제한적사용가능부위 : 자실체",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2561","품목보고번호20000614238479","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명알알이 과일의 보석류 석류에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"석류농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","식용색소적색제40호","정제수",NA,NA,"","","","","","","","프로필렌글리콜,합성향료,트리아세틴,천연향료,산도조절제,D-토코페롤","프로필렌글리콜,주정,정제수,합성향료,천연향료","","",NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2560","품목보고번호20060415215259","업소명주식회사 노바렉스 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명알츠100","분류식품","업체명","주식회사 노바렉스 2공장","소재지","충청북도 청주시 청원구 오창읍 각리1길 60(64)","1","2","3","4","5","6","7","8","9","10","11","12","13","식물혼합추출액","정제수","구연산(무수)","마그네슘(고시형)","잔탄검","L-카르니틴","비타민 E(고시형)","셀레늄(고시형)","산화아연(고시형)","홍삼농축액(고시형)","비타민 B12(고시형)","비타민 B6(고시형)","비타민 B1(고시형)","","","","","","","비타민E혼합제제","건조효모(셀렌함유)","","","비타민B12혼합제제","비타민B6염산염","비타민B1질산염",NA,NA,NA,NA,NA,NA
"6","번호2559","품목보고번호201005430661004","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알카라인 워터","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","탄산칼륨(무수)","자일리톨","D-소비톨","염화칼륨","글루콘산아연","니코틴산아미드","판토텐산칼슘","비타민B6염산염","글루콘산마그네슘","혼합제제","혼합제제","혼합제제","","","","","","","","","","","BCAA혼합제제(L-이소로이신, L-발린, L-로이신)","비타민E혼합제제(dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소)","비타민D3혼합제제(아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E)","14","15","혼합제제","비타민 A","비타민 B12(혼합제제)",""
"7","번호2558","품목보고번호20100543066752","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알카라인워터","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)","자일리톨","D-소비톨","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2557","품목보고번호2013062801978","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알칼리 M300","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2556","품목보고번호2009037514936","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명알칼리 빙계수","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2555","품목보고번호20100543066286","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명알코스타 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"알로에베라잎(껍질제외)","알로에분말","벌꿀","백설탕","액상과당","구연산","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
