"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고13","비고14","비고15","비고16","비고17"
"1","번호2544","품목보고번호1986044301544","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명애구정(수출용)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","알코틴엑스","액상과당","프락토올리고당","매실농축액","베타싸이클로덱스트린","잔탄검","구연산(무수)","안식향산나트륨","감초분말","자몽종자추출물","식물혼합추출분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2543","품목보고번호19880442004797","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로 부터 18개월 까지","제품명애니타임 석류","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"석류농축과즙","라즈베리농축과즙","칡농축액","정제수","메이플시럽분말","용설란시럽",NA,NA,NA,NA,NA,NA,"","","(칡:국산)","","메이플시럽","아가베시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2542","품목보고번호20120543109124","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명애치재치올치","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"액상차","액상차","액상차","도라지분말","벌꿀","건생강분말",NA,NA,NA,NA,NA,NA,"개복숭아청","돌배청","모과청","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2541","품목보고번호20070443110656","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명애터미 프로틴 이온워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","유청단백분말","인산","L-카르니틴","구연산(무수)","정제소금","구연산삼나트륨","향료","향료","향료","향료","염화칼륨","젖산칼슘","유청분리단백","","","","","","파인애플향 B-","망고향 TN-","자몽향 21-","천연트로피칼향","","","13","14","15","16","17","염화마그네슘","아세설팜칼륨","수크랄로스","카로틴","정제수","","","","",""
"5","번호2540","품목보고번호19930571069358","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명애플 그린티","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10",NA,NA,"사과농축액","녹차농축액","백설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","사과향","녹차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2539","품목보고번호20110493072257","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명애플 망고","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","백설탕","망고퓌레","구연산","애플망고향","구연산삼나트륨","비타민 C(고시형)","베타카로틴(고시형)","아세설팜칼륨","수크랄로스",NA,NA,"","","애플망고퓌레,인도산","산도조절제","향료","산도조절제","영양강화제","FC,착색제","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2538","품목보고번호19940474018647","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명애플&도라지(Apple & Balloon Flower Roots)","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9",NA,NA,NA,"기타과당","사과추출물","구연산삼나트륨","효소처리스테비아","구연산","DL-사과산","합성향료","기타가공품","정제수",NA,NA,NA,"","사과추출액","","","","","사과향","도라지등복합발효농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2537","품목보고번호20000614238409","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명애플그린에이드 시원한맛","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","사과농축액","녹차농축액","타우린","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","사과향","녹차향","라임향","","","","","","","","","","프로필렌글리콜,합성향료,주정,천연향료","프로필렌글리콜,주정,트리아세틴,합성향료,천연향료","주정,정제수,합성향료","13","14","15",NA,NA,"식용색소황색제4호","식용색소청색제1호","정제수",NA,NA,"","","",NA,NA
"9","번호2536","품목보고번호2011044502970","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명애플망고","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9",NA,NA,NA,"백설탕","과채퓨레 페이스트","구연산","비타민C","수크랄로스","젤란검","β-카로틴","애플망고향","정제수",NA,NA,NA,"","애플망고퓨레(13'bx)","함수구연산","","","","베타카로틴FC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2535","품목보고번호2014049317133","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명애플망고","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","설탕","과.채가공품","구연산","구연산삼나트륨","비타민C","펙틴","수크랄로스","카로틴","아세설팜칼륨","식품첨가물혼합제제",NA,"","","애플망고퓨레","산도조절제","산도조절제","","","감미료","","감미료","혼합제제(프로필렌글리콜,정제수,주정,합성향료,글리세린,트리아세틴)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
